#Recorded data from Servotor32
#datetime: 20-11-2020_18h-58m-21s
#filename: tripod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_18h-58m-21s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,971,497,-26,13,507,990
1,0,0,110,0,5100,-5100,5100,-5100,5100,-5100,2880,1480,2880,1480,2880,1480,980,503,-26,13,513,1000
2,1,114,111,-1,5100,-5100,5100,-5100,5100,-5100,3213,1258,3213,1258,3213,1258,990,510,13,-13,493,981
3,2,227,110,8,5100,-5100,5100,-5100,5100,-5100,3543,1038,3543,1038,3543,1038,804,391,351,38,567,680
4,3,340,110,6,5100,-5100,5100,-5100,5100,-5100,3873,818,3873,818,3873,818,755,205,636,152,653,252
5,4,454,111,-1,5098,-5098,5098,-5098,5098,-5098,4205,596,4205,596,4205,596,765,166,766,127,747,155
6,5,568,111,9,5090,-5090,5090,-5090,5090,-5090,4531,374,4531,374,4531,374,804,126,844,63,807,97
7,6,681,110,7,5048,-5048,5048,-5048,5048,-5048,4822,154,4822,154,4822,154,824,99,857,76,847,107
8,7,794,110,0,4789,-4789,4789,-4789,4789,-4789,4854,-66,4854,-66,4854,-66,951,79,896,38,893,-19
9,8,908,111,9,2696,-2696,2696,-2696,2696,-2696,4632,-288,4632,-288,4632,-288,941,93,909,51,927,39
10,9,1021,110,7,415,-415,415,-415,415,-415,4412,-317,4412,-317,4412,-317,931,73,909,0,920,58
11,10,1134,111,-1,-1449,1449,-1449,1449,-1449,1449,4190,16,4190,16,4190,16,941,93,909,0,927,49
12,11,1250,111,8,-4566,4566,-4566,4566,-4566,4566,3968,349,3968,349,3968,349,990,79,922,0,900,39
13,12,1362,110,9,-5018,5018,-5018,5018,-5018,5018,3748,679,3748,679,3748,679,922,86,909,25,920,39
14,13,1474,111,1,-5088,5088,-5088,5088,-5088,5088,3526,1012,3526,1012,3526,1012,892,86,896,38,893,58
15,14,1588,110,10,-5098,5098,-5098,5098,-5098,5098,3306,1342,3306,1342,3306,1342,882,99,883,38,833,107
16,15,1701,110,9,-5100,5100,-5100,5100,-5100,5100,3086,1672,3086,1672,3086,1672,814,139,909,177,807,78
17,16,1814,110,0,-5100,5100,-5100,5100,-5100,5100,2866,2002,2866,2002,2866,2002,775,179,792,177,733,204
18,17,1928,110,10,-5100,5100,-5100,5100,-5100,5100,2646,2332,2646,2332,2646,2332,686,272,714,241,727,272
19,18,2040,110,8,-5100,5100,-5100,5100,-5100,5100,2426,2662,2426,2662,2426,2662,686,358,675,316,647,330
20,19,2153,110,10,-5100,5100,-5100,5100,-5100,5100,2206,2992,2206,2992,2206,2992,588,437,558,456,580,437
21,20,2270,112,10,-5100,5100,-5100,5100,-5100,5100,1982,3328,1982,3328,1982,3328,510,510,545,456,513,505
22,21,2382,110,9,-5100,5100,-5100,5100,-5100,5100,1762,3657,1762,3657,1762,3657,441,642,481,570,433,573
23,22,2494,111,1,-5099,5099,-5099,5099,-5099,5099,1540,3990,1540,3990,1540,3990,382,695,377,709,400,699
24,23,2607,110,9,-5097,5097,-5097,5097,-5097,5097,1320,4318,1320,4318,1320,4318,314,788,351,747,327,738
25,24,2720,110,8,-5083,5083,-5083,5083,-5083,5083,1100,4636,1100,4636,1100,4636,255,834,234,722,273,835
26,25,2834,111,-1,-5004,5004,-5004,5004,-5004,5004,878,4893,878,4893,878,4893,176,874,247,899,213,845
27,26,2949,112,9,-4485,4485,-4485,4485,-4485,4485,654,4734,654,4734,654,4734,157,907,156,886,167,913
28,27,3062,110,8,-1186,1186,-1186,1186,-1186,1186,434,4514,434,4514,434,4514,216,927,130,899,140,913
29,28,3174,111,2,-173,173,-173,173,-173,173,238,4292,238,4292,238,4292,98,940,143,899,67,922
30,29,3289,111,7,174,-174,174,-174,174,-174,249,4070,249,4070,249,4070,59,934,65,924,73,932
31,30,3402,110,7,1843,-1843,1843,-1843,1843,-1843,579,3850,579,3850,579,3850,49,940,65,911,20,922
32,31,3514,111,1,4622,-4622,4622,-4622,4622,-4622,912,3628,912,3628,912,3628,39,960,65,911,67,893
33,32,3628,110,8,5027,-5027,5027,-5027,5027,-5027,1242,3408,1242,3408,1242,3408,49,881,65,937,53,874
34,33,3740,110,8,5089,-5089,5089,-5089,5089,-5089,1572,3188,1572,3188,1572,3188,39,854,78,785,73,835
35,34,3854,111,-1,5098,-5098,5098,-5098,5098,-5098,1905,2966,1905,2966,1905,2966,108,821,156,835,93,816
36,35,3968,111,9,5100,-5100,5100,-5100,5100,-5100,2238,2744,2238,2744,2238,2744,167,762,169,810,193,777
37,36,4081,110,9,5100,-5100,5100,-5100,5100,-5100,2568,2524,2568,2524,2568,2524,275,709,312,747,280,699
38,37,4194,110,0,5100,-5100,5100,-5100,5100,-5100,2898,2304,2898,2304,2898,2304,333,669,390,684,327,573
39,38,4308,111,10,5100,-5100,5100,-5100,5100,-5100,3231,2082,3231,2082,3231,2082,461,589,481,595,447,515
40,39,4421,110,8,5100,-5100,5100,-5100,5100,-5100,3561,1862,3561,1862,3561,1862,627,523,558,532,553,495
41,40,4534,110,0,5100,-5100,5100,-5100,5100,-5100,3891,1642,3891,1642,3891,1642,676,477,701,468,667,456
42,41,4648,111,8,5098,-5098,5098,-5098,5098,-5098,4223,1420,4223,1420,4223,1420,775,404,766,380,740,398
43,42,4761,110,7,5089,-5089,5089,-5089,5089,-5089,4546,1200,4546,1200,4546,1200,814,344,818,329,833,350
44,43,4874,111,-1,5042,-5042,5042,-5042,5042,-5042,4836,978,4836,978,4836,978,863,305,844,278,867,184
45,44,4988,111,8,4756,-4756,4756,-4756,4756,-4756,4837,756,4837,756,4837,756,931,232,883,241,927,252
46,45,5101,110,7,2464,-2464,2464,-2464,2464,-2464,4617,536,4617,536,4617,536,951,192,909,190,947,184
47,46,5214,111,-1,360,-360,360,-360,360,-360,4395,320,4395,320,4395,320,902,179,909,152,913,146
48,47,5328,111,7,4,-4,4,-4,4,-4,4173,190,4173,190,4173,190,941,126,909,76,933,117
