#Recorded data from Servotor32
#datetime: 20-11-2020_18h-58m-21s
#filename: tripod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_18h-58m-21s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,0.971,0.497,-0.026,0.013,0.507,0.99,0.971,0.497,-0.026,0.013,0.507,0.99,1.0,-1.0,2.0,-2.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,0.98,0.503,-0.026,0.013,0.513,1.0,0.98,0.503,-0.026,0.013,0.513,1.0,3.0,-3.0,3.0,-3.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,4.998,2.565,-0.133,0.066,2.616,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.114,0.111,-0.001,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.213,1.258,3.213,1.258,3.213,1.258,0.99,0.51,0.013,-0.013,0.493,0.981,0.99,0.51,0.013,-0.013,0.493,0.981,3.0,-3.0,3.0,-3.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.683,0.184,0.683,0.184,0.683,0.184,5.049,2.601,0.066,-0.066,2.514,5.003,1.155,1.155,1.155,1.155,1.155,1.155
3,2,0.227,0.11,0.008,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.543,1.038,3.543,1.038,3.543,1.038,0.804,0.391,0.351,0.038,0.567,0.68,0.804,0.391,0.351,0.038,0.567,0.68,3.0,-3.0,3.0,-3.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.759,0.149,0.759,0.149,0.759,0.149,4.1,1.994,1.79,0.194,2.892,3.468,1.155,1.155,1.155,1.155,1.155,1.155
4,3,0.34,0.11,0.006,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.873,0.818,3.873,0.818,3.873,0.818,0.755,0.205,0.636,0.152,0.653,0.252,0.755,0.205,0.636,0.152,0.653,0.252,3.0,-3.0,3.0,-3.0,3.0,-3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.822,0.119,0.822,0.119,0.822,0.119,3.85,1.046,3.244,0.775,3.33,1.285,1.155,1.155,1.155,1.155,1.155,1.155
5,4,0.454,0.111,-0.001,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.205,0.596,4.205,0.596,4.205,0.596,0.765,0.166,0.766,0.127,0.747,0.155,0.765,0.166,0.766,0.127,0.747,0.155,2.999,-2.999,2.999,-2.999,2.999,-2.999,0.998,0.0,0.998,0.0,0.998,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.871,0.095,0.871,0.095,0.871,0.095,3.902,0.847,3.907,0.648,3.81,0.79,1.155,1.155,1.155,1.155,1.155,1.155
6,5,0.568,0.111,0.009,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.531,0.374,4.531,0.374,4.531,0.374,0.804,0.126,0.844,0.063,0.807,0.097,0.804,0.126,0.844,0.063,0.807,0.097,2.993,-2.993,2.993,-2.993,2.993,-2.993,0.988,0.0,0.988,0.0,0.988,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.908,0.075,0.908,0.075,0.908,0.075,4.1,0.643,4.304,0.321,4.116,0.495,1.155,1.155,1.155,1.155,1.155,1.155
7,6,0.681,0.11,0.007,5.048,-5.048,5.048,-5.048,5.048,-5.048,4.822,0.154,4.822,0.154,4.822,0.154,0.824,0.099,0.857,0.076,0.847,0.107,0.824,0.099,0.857,0.076,0.847,0.107,2.965,-2.965,2.965,-2.965,2.965,-2.965,0.93,0.0,0.93,0.0,0.93,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.932,0.059,0.932,0.059,0.932,0.059,4.202,0.505,4.371,0.388,4.32,0.546,1.155,1.155,1.155,1.155,1.155,1.155
8,7,0.794,0.11,0.0,4.789,-4.789,4.789,-4.789,4.789,-4.789,4.854,-0.066,4.854,-0.066,4.854,-0.066,0.951,0.079,0.896,0.038,0.893,-0.019,0.951,0.079,0.896,0.038,0.893,-0.019,2.79,-2.79,2.79,-2.79,2.79,-2.79,0.459,0.0,0.459,0.0,0.459,0.0,2.55,2.517,2.55,2.517,2.55,2.517,0.0,-0.066,0.0,-0.066,0.0,-0.066,5.1,5.1,5.1,5.1,5.1,5.1,0.935,0.05,0.935,0.05,0.935,0.05,4.85,0.403,4.57,0.194,4.554,-0.097,1.155,1.14,1.155,1.14,1.155,1.14
9,8,0.908,0.111,0.009,2.696,-2.696,2.696,-2.696,2.696,-2.696,4.632,-0.288,4.632,-0.288,4.632,-0.288,0.941,0.093,0.909,0.051,0.927,0.039,0.941,0.093,0.909,0.051,0.927,0.039,1.377,-1.377,1.377,-1.377,1.377,-1.377,0.0,0.0,0.0,0.0,0.0,0.0,2.427,2.406,2.427,2.406,2.427,2.406,0.0,-0.288,0.0,-0.288,0.0,-0.288,4.854,5.1,4.854,5.1,4.854,5.1,0.936,0.05,0.936,0.05,0.936,0.05,4.799,0.414,4.636,0.197,4.728,0.135,1.213,1.093,1.213,1.093,1.213,1.093
10,9,1.021,0.11,0.007,0.415,-0.415,0.415,-0.415,0.415,-0.415,4.412,-0.317,4.412,-0.317,4.412,-0.317,0.931,0.073,0.909,0.0,0.92,0.058,0.931,0.073,0.909,0.0,0.92,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,0.0,0.346,0.0,0.346,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.917,0.05,0.917,0.05,0.917,0.05,4.519,0.105,4.412,-0.288,4.466,0.025,1.213,1.087,1.213,1.087,1.213,1.087
11,10,1.134,0.111,-0.001,-1.449,1.449,-1.449,1.449,-1.449,1.449,4.19,0.016,4.19,0.016,4.19,0.016,0.941,0.093,0.909,0.0,0.927,0.049,0.941,0.093,0.909,0.0,0.927,0.049,-1.039,1.039,-1.039,1.039,-1.039,1.039,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.895,0.07,0.895,0.07,0.895,0.07,4.568,0.187,4.412,-0.317,4.5,-0.052,1.213,1.087,1.213,1.087,1.213,1.087
12,11,1.25,0.111,0.008,-4.566,4.566,-4.566,4.566,-4.566,4.566,3.968,0.349,3.968,0.349,3.968,0.349,0.99,0.079,0.922,0.0,0.9,0.039,0.99,0.079,0.922,0.0,0.9,0.039,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.866,0.098,0.866,0.098,0.866,0.098,4.805,0.111,4.475,-0.317,4.369,-0.106,1.213,1.087,1.213,1.087,1.213,1.087
13,12,1.362,0.11,0.009,-5.018,5.018,-5.018,5.018,-5.018,5.018,3.748,0.679,3.748,0.679,3.748,0.679,0.922,0.086,0.909,0.025,0.92,0.039,0.922,0.086,0.909,0.025,0.92,0.039,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.832,0.135,0.832,0.135,0.832,0.135,4.475,0.149,4.412,-0.182,4.466,-0.106,1.213,1.087,1.213,1.087,1.213,1.087
14,13,1.474,0.111,0.001,-5.088,5.088,-5.088,5.088,-5.088,5.088,3.526,1.012,3.526,1.012,3.526,1.012,0.892,0.086,0.896,0.038,0.893,0.058,0.892,0.086,0.896,0.038,0.893,0.058,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.791,0.182,0.791,0.182,0.791,0.182,4.33,0.149,4.349,-0.111,4.335,-0.003,1.213,1.087,1.213,1.087,1.213,1.087
15,14,1.588,0.11,0.01,-5.098,5.098,-5.098,5.098,-5.098,5.098,3.306,1.342,3.306,1.342,3.306,1.342,0.882,0.099,0.883,0.038,0.833,0.107,0.882,0.099,0.883,0.038,0.833,0.107,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.744,0.242,0.744,0.242,0.744,0.242,4.281,0.219,4.286,-0.111,4.043,0.263,1.213,1.087,1.213,1.087,1.213,1.087
16,15,1.701,0.11,0.009,-5.1,5.1,-5.1,5.1,-5.1,5.1,3.086,1.672,3.086,1.672,3.086,1.672,0.814,0.139,0.909,0.177,0.807,0.078,0.814,0.139,0.909,0.177,0.807,0.078,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.69,0.314,0.69,0.314,0.69,0.314,3.951,0.436,4.412,0.642,3.917,0.106,1.213,1.087,1.213,1.087,1.213,1.087
17,16,1.814,0.11,0.0,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.866,2.002,2.866,2.002,2.866,2.002,0.775,0.179,0.792,0.177,0.733,0.204,0.775,0.179,0.792,0.177,0.733,0.204,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.63,0.396,0.63,0.396,0.63,0.396,3.762,0.653,3.844,0.642,3.558,0.788,1.213,1.087,1.213,1.087,1.213,1.087
18,17,1.928,0.11,0.01,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.646,2.332,2.646,2.332,2.646,2.332,0.686,0.272,0.714,0.241,0.727,0.272,0.686,0.272,0.714,0.241,0.727,0.272,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.566,0.484,0.566,0.484,0.566,0.484,3.33,1.156,3.466,0.988,3.529,1.156,1.213,1.087,1.213,1.087,1.213,1.087
19,18,2.04,0.11,0.008,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.426,2.662,2.426,2.662,2.426,2.662,0.686,0.358,0.675,0.316,0.647,0.33,0.686,0.358,0.675,0.316,0.647,0.33,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.5,0.573,0.5,0.573,0.5,0.573,3.33,1.622,3.276,1.395,3.141,1.471,1.213,1.087,1.213,1.087,1.213,1.087
20,19,2.153,0.11,0.01,-5.1,5.1,-5.1,5.1,-5.1,5.1,2.206,2.992,2.206,2.992,2.206,2.992,0.588,0.437,0.558,0.456,0.58,0.437,0.588,0.437,0.558,0.456,0.58,0.437,-3.0,3.0,-3.0,3.0,-3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,2.427,2.391,2.427,2.391,2.427,2.391,0.0,-0.317,0.0,-0.317,0.0,-0.317,4.854,5.1,4.854,5.1,4.854,5.1,0.433,0.658,0.433,0.658,0.433,0.658,2.854,2.05,2.709,2.153,2.815,2.05,1.213,1.087,1.213,1.087,1.213,1.087
