#Recorded data from Servotor32
#datetime: 20-11-2020_19h-01m-31s
#filename: wave_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_19h-01m-31s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,111,-1,7000,-7000,-4200,-1400,1400,4200,4461,379,1779,3179,4579,5979,1010,520,-88,-26,490,1010
1,2,228,110,8,6999,-7000,-4200,-1400,1400,4201,4940,308,1708,3108,4508,5908,814,413,88,156,614,920
2,3,341,110,6,6999,-7001,-4200,-1400,1401,4201,5418,236,1636,3036,4436,5837,775,133,162,299,669,900
3,4,454,110,0,6998,-7001,-4200,-1400,1401,4201,5897,165,1565,2965,4365,5765,784,127,103,390,655,900
4,5,570,112,8,6996,-6999,-4199,-1399,1401,4201,6382,92,1492,2892,4292,5693,833,73,132,377,648,900
5,6,682,110,7,6973,-6977,-4186,-1395,1397,4188,6833,21,1421,2821,4221,5621,951,60,132,377,683,900
6,7,794,111,1,6697,-6703,-4021,-1339,1342,4024,6948,-52,1348,2748,4148,5550,922,67,118,390,697,880
7,8,907,110,8,3023,-3027,-1816,-605,607,1818,6876,-123,1277,2677,4077,5478,951,60,132,351,669,870
8,9,1020,110,5,465,-466,-279,-93,93,280,6805,-111,1206,2605,4005,5407,951,47,88,364,628,870
9,10,1134,112,-2,618,858,-958,-568,-173,222,6732,372,1133,2533,3933,5334,941,53,74,325,641,880
10,11,1248,111,8,3648,6056,-6070,-3641,-1211,1219,6660,855,1061,2460,3860,5262,951,53,88,351,628,860
11,12,1361,110,7,4115,6855,-6857,-4114,-1371,1372,6588,1334,989,2389,3789,5190,951,67,59,351,600,850
12,13,1474,111,-1,4188,6979,-6979,-4187,-1396,1396,6516,1816,917,2317,3717,5118,951,53,118,299,517,870
13,14,1590,112,8,4198,6997,-6997,-4198,-1399,1399,6443,2304,844,2244,3644,5045,971,133,88,325,559,820
14,15,1702,110,8,4200,6999,-7000,-4200,-1400,1400,6372,2782,773,2172,3572,4974,980,233,88,312,566,820
15,16,1814,110,0,4200,7000,-7000,-4200,-1400,1400,6300,3261,701,2101,3501,4902,971,267,0,273,510,820
16,17,1928,111,9,4200,7000,-7000,-4200,-1400,1400,6228,3743,629,2029,3429,4830,961,333,59,247,462,800
17,18,2041,110,7,4200,7000,-7000,-4200,-1400,1400,6157,4222,558,1957,3357,4758,951,420,44,169,524,800
18,19,2154,110,0,4200,7000,-7000,-4200,-1400,1400,6085,4700,486,1886,3286,4687,990,513,29,221,476,790
19,20,2268,110,8,4200,7000,-7000,-4200,-1400,1400,6014,5179,415,1814,3214,4615,990,627,59,208,469,770
20,21,2381,110,6,4200,6999,-7000,-4200,-1400,1400,5942,5657,343,1743,3143,4544,980,707,59,208,379,750
21,22,2494,110,0,4200,6999,-7000,-4200,-1400,1400,5871,6135,272,1671,3071,4472,961,793,44,169,428,720
22,23,2610,113,8,4197,6991,-6993,-4196,-1398,1399,5798,6619,198,1598,2998,4399,951,880,44,182,414,730
23,24,2728,111,8,4152,6916,-6918,-4151,-1383,1384,5726,6999,126,1526,2926,4327,922,900,103,182,414,660
24,25,2841,110,7,3537,5890,-5893,-3536,-1178,1180,5654,6930,54,1454,2854,4255,931,940,-15,221,379,700
