#Recorded data from Servotor32
#datetime: 20-11-2020_19h-01m-31s
#filename: wave_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_19h-01m-31s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.114,0.111,-0.001,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.461,0.379,1.779,3.179,4.579,5.979,1.01,0.52,-0.088,-0.026,0.49,1.01,1.01,0.52,-0.088,-0.026,0.49,1.01,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,0.155,0.055,0.08,0.114,0.16,0.22,4.461,0.379,1.779,3.179,4.579,5.979,0.28,0.28,0.28,0.28,0.28,0.28
1,2,0.228,0.11,0.008,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.94,0.308,1.708,3.108,4.508,5.908,0.814,0.413,0.088,0.156,0.614,0.92,0.814,0.413,0.088,0.156,0.614,0.92,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,10.5,10.5,10.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,0.174,0.054,0.078,0.112,0.157,0.216,17.094,8.673,1.848,3.276,12.894,19.32,0.28,0.28,0.28,0.28,0.28,0.28
2,3,0.341,0.11,0.006,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.418,0.236,1.636,3.036,4.436,5.837,0.775,0.133,0.162,0.299,0.669,0.9,0.775,0.133,0.162,0.299,0.669,0.9,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.854,10.5,2.254,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.708,21.0,4.508,21.0,0.194,0.053,0.937,0.11,0.945,0.213,16.275,2.793,3.402,6.279,14.049,18.9,0.28,0.28,3.448,0.28,1.306,0.28
3,4,0.454,0.11,0.0,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.897,0.165,1.565,2.965,4.365,5.765,0.784,0.127,0.103,0.39,0.655,0.9,0.784,0.127,0.103,0.39,0.655,0.9,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.854,10.5,2.254,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.708,21.0,4.508,21.0,0.216,0.052,0.921,0.108,0.94,0.21,16.464,2.667,0.176,8.19,2.953,18.9,0.28,0.28,3.448,0.28,1.306,0.28
4,5,0.57,0.112,0.008,6.996,-6.999,-4.199,-1.399,1.401,4.201,6.382,0.092,1.492,2.892,4.292,5.693,0.833,0.073,0.132,0.377,0.648,0.9,0.833,0.073,0.132,0.377,0.648,0.9,0.999,-0.999,0.999,-0.999,0.999,-0.999,0.996,0.0,0.0,0.0,0.0,0.0,10.5,10.5,0.854,10.5,2.254,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.708,21.0,4.508,21.0,0.24,0.051,0.9,0.106,0.935,0.206,17.493,1.533,0.225,7.917,2.921,18.9,0.28,0.28,3.448,0.28,1.306,0.28
5,6,0.682,0.11,0.007,6.973,-6.977,-4.186,-1.395,1.397,4.188,6.833,0.021,1.421,2.821,4.221,5.621,0.951,0.06,0.132,0.377,0.683,0.9,0.951,0.06,0.132,0.377,0.683,0.9,0.996,-0.996,0.996,-0.996,0.996,-0.996,0.95,0.0,0.0,0.0,0.0,0.001,10.5,10.5,0.854,10.5,2.254,10.5,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,1.708,21.0,4.508,21.0,0.263,0.05,0.876,0.104,0.929,0.203,19.971,1.26,0.225,7.917,3.079,18.9,0.28,0.28,3.448,0.28,1.306,0.28
6,7,0.794,0.111,0.001,6.697,-6.703,-4.021,-1.339,1.342,4.024,6.948,-0.052,1.348,2.748,4.148,5.55,0.922,0.067,0.118,0.39,0.697,0.88,0.922,0.067,0.118,0.39,0.697,0.88,0.95,-0.95,0.95,-0.95,0.95,-0.95,0.336,0.0,0.0,0.0,0.0,0.0,10.5,10.474,0.854,10.5,2.254,10.5,0.0,-0.052,0.0,0.0,0.0,0.0,21.0,21.0,1.708,21.0,4.508,21.0,0.27,0.05,0.846,0.102,0.922,0.2,19.362,1.407,0.202,8.19,3.142,18.48,0.28,0.28,3.448,0.28,1.306,0.28
7,8,0.907,0.11,0.008,3.023,-3.027,-1.816,-0.605,0.607,1.818,6.876,-0.123,1.277,2.677,4.077,5.478,0.951,0.06,0.132,0.351,0.669,0.87,0.951,0.06,0.132,0.351,0.669,0.87,0.336,-0.336,0.336,-0.336,0.336,-0.336,0.0,0.0,0.0,0.0,0.0,0.0,3.474,10.438,0.854,10.5,2.254,10.5,0.0,-0.123,0.0,0.0,0.0,0.0,6.948,21.0,1.708,21.0,4.508,21.0,0.947,0.05,0.811,0.1,0.915,0.197,19.971,1.211,0.225,7.371,3.016,18.27,0.848,0.279,3.448,0.28,1.306,0.28
8,9,1.02,0.11,0.005,0.465,-0.466,-0.279,-0.093,0.093,0.28,6.805,-0.111,1.206,2.605,4.005,5.407,0.951,0.047,0.088,0.364,0.628,0.87,0.951,0.047,0.088,0.364,0.628,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,3.474,10.438,0.854,10.5,2.254,10.5,0.0,-0.123,0.0,0.0,0.0,0.0,6.948,21.0,1.708,21.0,4.508,21.0,0.944,0.05,0.771,0.099,0.908,0.193,6.608,0.87,0.15,7.644,2.831,18.27,0.848,0.279,3.448,0.28,1.306,0.28
9,10,1.134,0.112,-0.002,0.618,0.858,-0.958,-0.568,-0.173,0.222,6.732,0.372,1.133,2.533,3.933,5.334,0.941,0.053,0.074,0.325,0.641,0.88,0.941,0.053,0.074,0.325,0.641,0.88,-0.152,0.152,-0.152,0.152,-0.152,0.152,0.0,0.992,0.0,0.0,0.0,0.0,3.474,10.438,0.854,10.5,2.254,10.5,0.0,-0.123,0.0,0.0,0.0,0.0,6.948,21.0,1.708,21.0,4.508,21.0,0.941,0.057,0.724,0.097,0.9,0.19,6.538,0.997,0.126,6.825,2.89,18.48,0.848,0.279,3.448,0.28,1.306,0.28
