#Recorded data from Servotor32
#datetime: 20-11-2020_20h-00m-27s
#filename: identity_tetrapod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_20h-00m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,12000,0,0,0,0,0,10110,4110,4110,4110,4110,4110,971,513,-27,38,523,990
1,0,0,110,0,6923,0,0,0,0,0,9961,3961,3961,3961,3961,3961,990,513,0,13,497,980
2,1,112,110,7,1065,0,0,0,0,0,9813,3813,3813,3813,3813,3813,1000,526,14,-13,458,961
3,2,225,110,0,164,0,0,0,0,0,9664,3664,3664,3664,3664,3664,981,632,324,165,606,775
4,3,340,111,12,24,0,0,0,0,0,9514,3514,3514,3514,3514,3514,981,691,676,620,665,706
5,4,453,110,10,4,0,0,0,0,0,9366,3366,3366,3366,3366,3366,990,684,676,646,671,657
6,5,565,111,12,1,0,0,0,0,0,9216,3216,3216,3216,3216,3216,990,632,676,620,639,608
7,6,679,111,10,0,0,0,0,0,0,9066,3066,3066,3066,3066,3066,981,612,716,633,613,598
8,7,792,110,6,0,0,0,0,0,0,8918,2918,2918,2918,2918,2918,962,612,595,557,568,441
9,8,906,112,-2,0,0,0,0,0,0,8766,2766,2766,2766,2766,2766,943,539,541,557,535,539
10,9,1022,112,6,0,0,0,0,0,0,8615,2615,2615,2615,2615,2615,962,513,527,481,497,480
11,10,1137,110,6,0,0,0,0,0,0,8467,2467,2467,2467,2467,2467,971,480,486,456,458,441
12,11,1250,110,3,0,0,0,0,0,0,8318,2318,2318,2318,2318,2318,905,428,473,443,432,412
13,12,1365,113,-3,0,0,0,0,0,0,8166,2166,2166,2166,2166,2166,914,382,378,418,355,353
14,13,1480,111,6,0,0,0,0,0,0,8016,2016,2016,2016,2016,2016,895,355,338,354,284,343
15,14,1592,110,4,0,0,0,0,1,0,7867,1867,1867,1867,1867,1867,886,329,311,354,329,265
16,15,1707,113,-3,0,0,0,0,0,2,7715,1715,1715,1715,1715,1715,895,303,311,304,277,275
17,16,1822,112,6,0,1,1,1,1,2,7563,1564,1564,1564,1564,1564,905,276,257,304,277,235
