#Recorded data from Servotor32
#datetime: 20-11-2020_20h-00m-27s
#filename: identity_tetrapod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_20h-00m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.11,4.11,4.11,4.11,4.11,4.11,0.971,0.513,-0.027,0.038,0.523,0.99,0.971,0.513,0.0,0.038,0.523,0.99,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.999,0.748,0.748,0.748,0.748,0.748,10.11,4.11,4.11,4.11,4.11,4.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.923,0.0,0.0,0.0,0.0,0.0,9.961,3.961,3.961,3.961,3.961,3.961,0.99,0.513,0.0,0.013,0.497,0.98,0.99,0.513,0.0,0.013,0.497,0.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.95,0.72,0.72,0.72,0.72,0.72,5.94,3.078,0.0,0.078,2.982,5.88,0.591,0.981,0.981,0.981,0.981,0.981
2,1,0.112,0.11,0.007,1.065,0.0,0.0,0.0,0.0,0.0,9.813,3.813,3.813,3.813,3.813,3.813,1.0,0.526,0.014,-0.013,0.458,0.961,1.0,0.526,0.014,0.0,0.458,0.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.946,0.69,0.69,0.69,0.69,0.69,9.961,3.156,0.084,0.0,2.748,5.766,0.591,0.981,0.981,0.981,0.981,0.981
3,2,0.225,0.11,0.0,0.164,0.0,0.0,0.0,0.0,0.0,9.664,3.664,3.664,3.664,3.664,3.664,0.981,0.632,0.324,0.165,0.606,0.775,0.981,0.632,0.324,0.165,0.606,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.941,0.657,0.657,0.657,0.657,0.657,9.772,3.792,1.944,0.99,3.636,4.65,0.591,0.981,0.981,0.981,0.981,0.981
4,3,0.34,0.111,0.012,0.024,0.0,0.0,0.0,0.0,0.0,9.514,3.514,3.514,3.514,3.514,3.514,0.981,0.691,0.676,0.62,0.665,0.706,0.981,0.691,0.676,0.62,0.665,0.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.936,0.624,0.624,0.624,0.624,0.624,9.772,4.146,4.056,3.72,3.99,4.236,0.591,0.981,0.981,0.981,0.981,0.981
5,4,0.453,0.11,0.01,0.004,0.0,0.0,0.0,0.0,0.0,9.366,3.366,3.366,3.366,3.366,3.366,0.99,0.684,0.676,0.646,0.671,0.657,0.99,0.684,0.676,0.646,0.671,0.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.93,0.589,0.589,0.589,0.589,0.589,9.861,4.104,4.056,3.876,4.026,3.942,0.591,0.981,0.981,0.981,0.981,0.981
6,5,0.565,0.111,0.012,0.001,0.0,0.0,0.0,0.0,0.0,9.216,3.216,3.216,3.216,3.216,3.216,0.99,0.632,0.676,0.62,0.639,0.608,0.99,0.632,0.676,0.62,0.639,0.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.924,0.553,0.553,0.553,0.553,0.553,9.861,3.792,4.056,3.72,3.834,3.648,0.591,0.981,0.981,0.981,0.981,0.981
7,6,0.679,0.111,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9.066,3.066,3.066,3.066,3.066,3.066,0.981,0.612,0.716,0.633,0.613,0.598,0.981,0.612,0.716,0.633,0.613,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.918,0.516,0.516,0.516,0.516,0.516,9.772,3.672,4.296,3.798,3.678,3.588,0.591,0.981,0.981,0.981,0.981,0.981
8,7,0.792,0.11,0.006,0.0,0.0,0.0,0.0,0.0,0.0,8.918,2.918,2.918,2.918,2.918,2.918,0.962,0.612,0.595,0.557,0.568,0.441,0.962,0.612,0.595,0.557,0.568,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.911,0.48,0.48,0.48,0.48,0.48,9.582,3.672,3.57,3.342,3.408,2.646,0.591,0.981,0.981,0.981,0.981,0.981
9,8,0.906,0.112,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,8.766,2.766,2.766,2.766,2.766,2.766,0.943,0.539,0.541,0.557,0.535,0.539,0.943,0.539,0.541,0.557,0.535,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.904,0.443,0.443,0.443,0.443,0.443,9.393,3.234,3.246,3.342,3.21,3.234,0.591,0.981,0.981,0.981,0.981,0.981
