#Recorded data from Servotor32
#datetime: 20-11-2020_20h-02m-01s
#filename: identity_tripod_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_20h-02m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,11.9,4.25,4.25,4.25,4.25,4.25,0.98,0.52,0.026,0.042,0.557,1.01,0.98,0.52,0.026,0.042,0.557,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,1.0,0.877,0.877,0.877,0.877,0.877,11.9,4.25,4.25,4.25,4.25,4.25,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,6.669,0.0,0.0,0.0,0.0,0.0,11.68,4.03,4.03,4.03,4.03,4.03,0.99,0.527,0.039,0.014,0.521,0.99,0.99,0.527,0.039,0.014,0.521,0.99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.95,0.847,0.847,0.847,0.847,0.847,5.049,2.688,0.199,0.071,2.657,5.049,0.504,1.155,1.155,1.155,1.155,1.155
2,1,0.113,0.11,0.009,1.026,0.0,0.0,0.0,0.0,0.0,11.46,3.81,3.81,3.81,3.81,3.81,0.98,0.52,0.065,0.042,0.529,1.0,0.98,0.52,0.065,0.042,0.529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.944,0.811,0.811,0.811,0.811,0.811,11.446,2.652,0.332,0.214,2.698,5.1,0.504,1.155,1.155,1.155,1.155,1.155
3,2,0.23,0.111,0.009,0.15,0.0,0.0,0.0,0.0,0.0,11.238,3.588,3.588,3.588,3.588,3.588,1.0,0.622,0.247,-0.042,0.457,0.94,1.0,0.622,0.247,0.0,0.457,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.938,0.768,0.768,0.768,0.768,0.768,11.68,3.172,1.26,0.0,2.331,4.794,0.504,1.155,1.155,1.155,1.155,1.155
4,3,0.342,0.11,0.01,0.023,0.0,0.0,0.0,0.0,0.0,11.018,3.368,3.368,3.368,3.368,3.368,1.02,0.797,0.766,0.761,0.75,0.9,1.0,0.797,0.766,0.761,0.75,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.932,0.72,0.72,0.72,0.72,0.72,11.68,4.065,3.907,3.881,3.825,4.59,0.504,1.155,1.155,1.155,1.155,1.155
5,4,0.455,0.11,0.011,0.004,0.0,0.0,0.0,0.0,0.0,10.798,3.148,3.148,3.148,3.148,3.148,0.99,0.791,0.792,0.859,0.829,0.72,0.99,0.791,0.792,0.859,0.829,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.924,0.666,0.666,0.666,0.666,0.666,11.563,4.034,4.039,4.381,4.228,3.672,0.504,1.155,1.155,1.155,1.155,1.155
6,5,0.568,0.11,0.013,0.001,0.0,0.0,0.0,0.0,0.0,10.578,2.928,2.928,2.928,2.928,2.928,0.98,0.77,0.779,0.859,0.807,0.74,0.98,0.77,0.779,0.859,0.807,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.916,0.607,0.607,0.607,0.607,0.607,11.446,3.927,3.973,4.381,4.116,3.774,0.504,1.155,1.155,1.155,1.155,1.155
7,6,0.681,0.11,0.008,0.0,0.0,0.0,0.0,0.0,0.0,10.358,2.708,2.708,2.708,2.708,2.708,0.941,0.716,0.701,0.859,0.743,0.7,0.941,0.716,0.701,0.859,0.743,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.907,0.545,0.545,0.545,0.545,0.545,10.991,3.652,3.575,4.381,3.789,3.57,0.504,1.155,1.155,1.155,1.155,1.155
8,7,0.795,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.138,2.488,2.488,2.488,2.488,2.488,0.951,0.716,0.688,0.718,0.664,0.63,0.951,0.716,0.688,0.718,0.664,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.897,0.482,0.482,0.482,0.482,0.482,11.108,3.652,3.509,3.662,3.386,3.213,0.504,1.155,1.155,1.155,1.155,1.155
9,8,0.908,0.11,0.006,0.0,0.0,0.0,0.0,0.0,0.0,9.918,2.268,2.268,2.268,2.268,2.268,0.951,0.588,0.649,0.69,0.629,0.59,0.951,0.588,0.649,0.69,0.629,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.887,0.419,0.419,0.419,0.419,0.419,11.108,2.999,3.31,3.519,3.208,3.009,0.504,1.155,1.155,1.155,1.155,1.155
