#Recorded data from Servotor32
#datetime: 20-11-2020_18h-49m-33s
#filename: identity_wave_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-49m-33s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,0,0,0,0,0,3500,4023,4023,4023,4023,4023,1000,507,-85,37,497,1138
1,0,0,110,0,7000,0,0,0,0,0,3979,3951,3951,3951,3951,3951,990,493,-85,-74,510,1149
2,1,114,110,11,7000,0,0,0,0,0,4457,3880,3880,3880,3880,3880,1010,514,-85,0,497,1149
3,2,229,111,13,7000,0,0,0,0,0,4940,3808,3808,3808,3808,3808,772,595,437,358,559,805
4,3,342,110,9,7000,0,0,0,0,0,5418,3736,3736,3736,3736,3736,713,581,507,519,572,678
5,4,454,110,12,7000,0,0,0,0,0,5897,3665,3665,3665,3665,3665,743,574,521,519,579,644
6,5,569,111,12,6998,0,0,0,0,0,6377,3593,3593,3593,3593,3593,733,581,493,543,572,644
7,6,682,110,9,6976,0,0,0,0,0,6852,3521,3521,3521,3521,3521,851,561,521,556,545,621
8,7,795,112,1,6959,0,0,0,0,0,7208,3448,3448,3448,3448,3448,960,534,507,543,531,621
9,8,910,111,6,5592,0,0,0,0,0,7138,3376,3376,3376,3376,3376,931,527,535,506,517,575
10,9,1023,110,5,882,0,0,0,0,0,7067,3305,3305,3305,3305,3305,931,486,479,556,455,575
11,10,1136,113,-3,115,0,0,0,0,0,6993,3231,3231,3231,3231,3231,931,514,451,457,497,425
12,11,1252,111,7,17,0,0,0,0,0,6921,3159,3159,3159,3159,3159,941,500,451,481,448,517
13,12,1369,112,7,2,0,0,0,0,0,6848,3086,3086,3086,3086,3086,950,446,366,457,428,517
14,13,1482,110,5,0,0,0,0,0,0,6777,3015,3015,3015,3015,3015,960,446,394,444,441,494
15,14,1596,112,-2,0,0,0,0,0,0,6704,2942,2942,2942,2942,2942,941,432,423,444,421,460
16,15,1711,111,7,0,0,0,0,0,0,6632,2870,2870,2870,2870,2870,950,432,437,407,407,448
17,16,1823,110,6,0,0,0,0,0,0,6560,2798,2798,2798,2798,2798,960,399,394,420,400,460
18,17,1936,112,-2,0,0,0,0,0,0,6487,2726,2726,2726,2726,2726,941,378,338,333,386,460
19,18,2052,111,7,0,0,0,0,0,0,6415,2653,2653,2653,2653,2653,941,392,324,407,345,402
20,19,2167,110,5,0,0,0,0,0,0,6344,2582,2582,2582,2582,2582,950,372,366,383,290,391
21,20,2280,110,2,0,0,0,0,0,0,6272,2510,2510,2510,2510,2510,960,345,296,358,338,356
22,21,2395,114,-4,0,0,0,0,0,0,6198,2436,2436,2436,2436,2436,960,318,296,321,248,345
23,22,2510,112,5,0,0,0,0,1,0,6125,2364,2364,2364,2364,2364,921,365,310,284,262,356
24,23,2622,110,4,0,0,0,0,1,0,6054,2292,2292,2292,2292,2292,911,351,282,309,290,368
25,24,2736,113,-3,0,0,0,0,0,0,5980,2219,2219,2219,2219,2219,960,277,239,198,290,264
26,25,2851,111,7,0,0,1,6,0,1,5908,2147,2147,2147,2147,2147,911,291,254,272,283,276
27,26,2968,110,6,0,0,1,1,0,0,5837,2075,2075,2076,2076,2075,871,270,225,259,186,287
28,27,3081,110,4,0,1,2,1,9,0,5765,2004,2005,2004,2005,2004,881,338,197,272,234,333
29,28,3196,113,-3,0,0,7,1,3,0,5692,1930,1931,1931,1932,1930,861,236,239,272,214,276
30,29,3312,112,6,0,2,2,1,4,0,5619,1858,1859,1858,1859,1857,871,230,211,296,234,276
31,30,3427,111,6,0,2,4,0,2,0,5547,1786,1793,1786,1787,1785,881,230,127,198,207,241
32,31,3541,110,3,0,2,71,6,5,1,5475,1714,1725,1716,1716,1714,861,216,155,185,193,241
33,32,3656,114,-4,0,3,47,10,8,1,5401,1641,1653,1642,1652,1647,871,189,169,210,117,126
34,33,3773,112,7,0,9,27,6,103,72,5328,1569,1581,1570,1598,1574,891,209,211,222,110,218
35,34,3890,111,7,0,5,8,3,218,15,5256,1497,1511,1498,1530,1502,792,209,155,222,172,241
36,35,4002,110,4,0,5,28,3,75,4,5185,1426,1444,1426,1462,1431,772,182,141,222,152,218
37,36,4117,114,-4,0,11,54,3,53,3,5111,1354,1372,1355,1396,1364,792,169,169,148,131,126
38,37,4233,112,6,0,19,29,34,87,73,5038,1283,1311,1286,1328,1297,782,162,113,148,145,138
39,38,4349,110,7,0,25,134,44,70,79,4966,1214,1272,1219,1265,1230,792,162,99,148,131,149
40,39,4462,110,4,0,27,366,48,95,59,4895,1148,1391,1151,1207,1167,792,135,70,148,117,126
41,40,4576,113,-3,0,64,2159,49,170,104,4821,1083,1837,1082,1151,1110,802,128,70,148,124,115
42,41,4693,112,7,0,101,5836,50,201,191,4749,1018,2324,1015,1116,1090,782,135,42,136,103,92
43,42,4811,112,7,0,101,6839,73,439,593,4676,953,2811,1213,1152,1373,733,135,28,12,103,69
44,43,4923,110,6,0,101,6975,2872,1217,3851,4604,888,3290,1688,1341,1851,713,142,42,136,21,115
45,44,5037,112,-2,0,83,6997,6396,3029,6564,4532,839,3777,2175,1828,2339,703,101,113,74,28,0
46,45,5152,111,7,0,262,6999,6912,6419,6936,4459,820,4260,2658,2311,2821,733,101,183,99,55,34
47,46,5266,110,7,0,610,7000,6986,6911,6990,4388,957,4738,3137,2790,3300,693,101,394,62,21,92
48,47,5379,110,4,0,2336,7000,6998,6986,6998,4316,1430,5217,3615,3268,3778,673,95,465,173,90,195
49,48,5494,112,9,0,6298,7000,7000,6998,7000,4244,1917,5704,4102,3755,4266,683,61,648,198,166,264
50,49,5609,110,9,0,6892,7000,7000,7000,7000,4172,2396,6182,4581,4234,4744,634,68,718,309,186,402
51,50,5722,110,7,0,6983,6998,7000,7000,7000,4101,2874,6656,5059,4712,5223,673,122,831,432,379,540
52,51,5835,110,0,0,6997,6953,7000,7000,7000,4029,3353,7096,5538,5191,5701,614,149,901,556,510,736
53,52,5951,112,8,0,7000,6572,7000,7000,6998,3956,3840,7226,6025,5678,6175,624,216,930,667,614,874
54,53,6063,110,7,0,7000,3148,7000,7000,6860,3885,4319,7154,6503,6156,6539,644,311,1014,778,745,931
55,54,6175,111,-1,0,7000,460,6992,6997,5737,3813,4801,7082,6979,6638,6468,614,426,972,852,779,1011
56,55,6289,110,7,0,7000,71,6927,6990,890,3741,5280,7010,7404,7115,6396,574,547,944,914,807,1000
57,56,6401,110,4,0,7000,11,6408,6977,137,3670,5758,6939,7358,7500,6325,574,655,986,938,924,1057
58,57,6515,111,-1,0,7000,2,1218,5983,20,3597,6241,6867,7286,7432,6252,545,757,986,938,917,1092
59,58,6631,113,7,0,6997,0,159,826,3,3524,6729,6793,7212,7358,6179,564,838,958,975,966,1069
60,59,6749,112,7,0,6959,0,22,114,0,3451,7165,6720,7140,7286,6106,505,919,958,951,924,989
61,60,6862,110,5,0,6454,0,3,18,0,3380,7156,6649,7068,7214,6035,505,953,958,963,959,1057
62,61,6976,112,-2,0,1579,0,0,2,0,3307,7083,6576,6995,7141,5962,475,953,944,951,952,1057
63,62,7089,110,7,0,243,0,0,0,0,3235,7012,6505,6924,7070,5890,465,959,944,951,952,1103
64,63,7202,110,5,0,37,0,0,0,0,3164,6940,6433,6852,6998,5819,436,953,958,951,945,1080
65,64,7316,112,-2,0,5,0,0,0,0,3091,6867,6360,6779,6925,5746,446,939,972,951,952,1057
66,65,7430,111,7,0,1,0,0,0,0,3019,6795,6288,6707,6853,5674,436,939,930,975,966,954
67,66,7543,110,6,0,0,0,0,0,0,2947,6724,6217,6636,6782,5602,406,946,986,938,959,1046
68,67,7656,113,-3,0,0,0,0,0,0,2874,6650,6143,6562,6708,5529,376,939,915,963,959,1046
69,68,7771,111,7,0,0,0,0,0,0,2802,6578,6071,6490,6636,5457,386,953,958,926,945,1034
70,69,7886,110,7,0,0,0,0,0,0,2730,6507,6000,6419,6565,5385,356,946,930,975,952,1000
71,70,7999,110,3,0,0,0,0,0,0,2659,6435,5928,6347,6493,5314,347,939,859,963,945,977
72,71,8115,114,-4,0,0,0,0,0,0,2585,6361,5854,6273,6419,5240,337,959,873,938,917,1000
73,72,8231,112,7,0,0,0,0,0,0,2512,6288,5781,6200,6346,5167,366,953,901,926,917,943
74,73,8343,110,6,0,0,0,0,0,0,2441,6217,5710,6129,6275,5095,317,946,901,926,924,966
75,74,8456,112,-2,0,0,0,0,0,0,2368,6144,5637,6056,6202,5023,287,953,831,951,924,966
76,75,8570,111,7,0,0,0,0,0,0,2296,6072,5565,5984,6130,4951,307,919,817,938,903,931
77,76,8683,110,6,0,0,0,0,0,0,2224,6000,5493,5912,6058,4879,267,939,859,889,862,931
78,77,8796,112,-2,0,0,0,0,0,0,2151,5927,5420,5840,5986,4806,257,926,859,864,876,920
79,78,8909,110,7,1,0,0,0,0,0,2080,5856,5349,5768,5914,4735,267,926,789,864,876,851
80,79,9022,110,5,0,0,0,0,0,0,2009,5784,5277,5697,5843,4663,198,932,803,889,862,885
81,80,9135,113,-3,5,0,0,0,0,0,1936,5711,5204,5623,5769,4590,238,892,817,840,841,851
82,81,9251,112,7,2,0,0,0,0,0,1863,5638,5131,5550,5696,4517,208,885,746,889,855,816
83,82,9363,110,6,4,0,0,0,0,0,1792,5567,5060,5479,5625,4445,208,865,718,877,814,793
84,83,9476,111,-1,4,0,0,0,0,0,1720,5494,4988,5407,5553,4373,208,858,746,840,800,782
85,84,9592,112,7,4,0,0,0,0,0,1647,5422,4915,5334,5480,4301,228,858,676,840,786,770
86,85,9708,110,7,2,0,0,0,0,0,1576,5350,4843,5262,5408,4229,188,858,732,802,800,724
87,86,9821,110,5,7,0,0,0,0,0,1506,5279,4772,5191,5337,4158,178,824,648,815,779,736
88,87,9935,112,-2,11,0,0,0,0,0,1434,5206,4699,5118,5264,4085,178,838,676,802,759,736
89,88,10048,110,7,12,0,0,0,0,0,1371,5134,4627,5047,5193,4013,119,824,662,802,752,644
90,89,10161,110,4,87,0,0,0,0,0,1303,5063,4556,4975,5121,3942,149,777,606,802,745,644
91,90,10275,112,-2,56,0,0,0,0,0,1235,4990,4483,4902,5048,3869,139,804,606,716,717,644
92,91,10389,110,8,61,0,0,0,0,0,1169,4919,4412,4831,4977,3797,139,757,620,753,710,644
93,92,10502,110,5,63,0,0,0,0,0,1112,4847,4340,4759,4905,3726,109,757,620,704,697,598
94,93,10615,112,-2,168,0,0,0,0,0,1056,4774,4267,4686,4832,3653,119,743,676,630,648,586
95,94,10729,110,7,209,0,0,0,0,0,1014,4703,4196,4615,4761,3582,109,736,521,654,669,586
96,95,10842,110,5,347,0,0,0,0,0,971,4631,4124,4543,4689,3510,129,696,507,654,655,517
97,96,10955,112,-2,362,0,0,0,0,0,942,4558,4052,4471,4617,3437,119,689,535,630,621,483
98,97,11071,113,7,521,0,0,0,0,0,1025,4485,3978,4397,4543,3364,99,649,549,630,593,448
99,98,11187,110,7,1718,0,0,0,0,0,1166,4414,3907,4326,4472,3292,139,635,437,593,579,483
100,99,11299,110,3,2555,0,0,0,0,0,1643,4342,3835,4254,4400,3221,59,642,451,556,572,345
101,100,11415,113,-3,6407,0,0,0,0,0,2135,4269,3762,4181,4327,3147,79,622,408,556,545,402
102,101,11530,111,7,6913,0,0,0,0,0,2618,4196,3690,4109,4255,3075,59,608,437,519,545,299
103,102,11643,110,6,6987,0,0,0,0,0,3096,4125,3618,4037,4183,3004,99,574,408,531,503,356
104,103,11757,112,-2,6998,0,0,0,0,0,3584,4052,3545,3964,4110,2931,129,561,380,469,490,345
105,104,11872,111,6,7000,0,0,0,0,0,4066,3980,3473,3892,4038,2859,208,561,338,519,428,356
106,105,11987,110,6,7000,0,0,0,0,0,4545,3908,3402,3821,3967,2787,356,520,239,469,469,299
107,106,12099,110,2,7000,0,0,0,0,0,5023,3837,3330,3749,3895,2716,485,507,254,383,434,287
108,107,12215,113,-3,7000,0,0,0,0,0,5515,3764,3257,3676,3822,2642,564,514,282,469,434,218
109,108,12331,112,6,7000,0,0,0,0,0,6002,3691,3184,3603,3749,2570,693,473,254,432,386,241
110,109,12443,110,5,6999,0,0,0,0,0,6477,3619,3112,3531,3677,2498,802,473,268,444,359,207
111,110,12557,112,-2,6965,0,0,0,0,0,6891,3546,3040,3459,3605,2425,901,446,239,370,372,218
112,111,12673,112,7,6202,0,0,0,0,0,6889,3474,2967,3386,3532,2353,901,432,211,383,345,207
113,112,12788,110,6,1707,0,0,0,0,0,6818,3402,2895,3314,3460,2281,960,426,239,358,345,241
114,113,12901,110,3,263,0,0,0,0,0,6746,3331,2824,3243,3389,2210,950,392,197,358,359,195
115,114,13016,114,-4,32,0,0,0,0,0,6672,3257,2750,3169,3315,2135,941,399,169,309,303,149
116,115,13131,111,6,5,0,0,0,0,0,6600,3184,2678,3097,3243,2063,931,351,141,333,221,138
117,116,13243,110,5,1,0,0,0,0,1,6529,3113,2606,3025,3171,1992,921,372,169,309,200,80
118,117,13357,114,-4,0,0,0,0,0,3,6455,3039,2532,2951,3097,1918,931,358,155,309,276,149
119,118,13475,114,-4,0,0,0,0,0,1,6380,2965,2458,2877,3023,1844,950,331,169,333,234,115
120,119,13589,111,5,0,0,0,0,0,1,6308,2893,2386,2805,2951,1772,960,304,155,309,248,149
121,120,13702,110,4,0,0,0,0,0,1,6237,2821,2314,2733,2879,1701,960,297,155,235,248,115
122,121,13817,114,-4,0,0,0,0,0,1,6163,2747,2240,2659,2805,1627,921,257,113,247,193,69
123,122,13935,116,-6,0,0,0,0,0,4,6087,2672,2165,2584,2730,1552,960,277,70,222,145,80
124,123,14049,111,5,0,0,1,0,0,4,6015,2599,2093,2512,2658,1480,950,236,56,173,172,103
125,124,14162,110,4,0,0,2,0,0,2,5944,2528,2022,2440,2586,1408,921,236,70,111,172,92
126,125,14277,114,-4,0,0,2,1,0,2,5870,2454,1948,2366,2512,1335,931,230,70,99,103,69
127,126,14392,111,6,0,0,2,2,1,4,5797,2382,1876,2294,2440,1263,921,230,28,185,159,69
128,127,14508,110,5,0,0,5,0,0,5,5726,2310,1805,2223,2368,1195,931,203,42,173,131,-11
129,128,14621,110,3,0,0,4,0,0,36,5654,2239,1734,2151,2297,1124,921,189,14,148,145,69
130,129,14736,115,-5,0,0,8,0,0,9,5580,2164,1660,2076,2222,1050,911,182,0,148,138,46
131,130,14853,112,7,0,0,12,0,0,9,5507,2091,1588,2004,2149,977,891,162,28,185,117,57
132,131,14969,111,6,0,1,6,0,1,8,5435,2019,1516,1932,2078,906,842,176,14,111,69,92
133,132,15082,110,4,0,0,8,1,3,5,5363,1948,1445,1860,2006,836,871,162,42,111,117,34
134,133,15197,114,-4,0,1,4,1,1,26,5289,1874,1371,1786,1932,764,822,135,14,111,103,69
135,134,15315,116,-6,0,1,8,1,1,18,5214,1799,1298,1711,1857,690,842,122,-14,111,83,69
136,135,15428,110,6,0,2,17,1,2,22,5142,1727,1227,1640,1786,624,812,135,0,99,62,46
137,136,15541,110,3,0,2,14,2,3,58,5071,1656,1159,1568,1714,554,822,122,-28,111,97,103
138,137,15656,115,-5,0,2,35,1,1,24,4996,1581,1089,1494,1640,486,832,128,-28,99,90,57
139,138,15771,110,6,0,2,55,2,2,78,4924,1510,1025,1422,1569,423,891,101,-28,86,21,69
140,139,15889,111,5,0,4,88,3,12,106,4852,1439,1130,1350,1497,361,782,88,-127,99,76,80
141,140,16002,110,4,0,7,1910,2,4,118,4781,1368,1607,1279,1426,303,772,74,-56,136,48,80
142,141,16117,113,-3,0,11,6322,1,6,162,4707,1297,2099,1206,1353,272,752,47,-42,86,55,57
143,142,16232,112,6,0,25,6906,2,5,483,4635,1226,2586,1133,1281,304,782,47,-28,86,55,80
144,143,16347,110,6,0,29,6986,3,5,1182,4563,1158,3065,1062,1210,736,723,41,-113,86,41,69
145,144,16459,110,2,0,35,6998,3,7,5607,4492,1092,3543,990,1139,1215,683,20,56,86,62,80
146,145,16575,114,-4,0,68,7000,3,4,6829,4417,1022,4039,917,1065,1711,713,34,268,62,34,69
147,146,16691,113,6,0,57,7000,6,8,6978,4344,954,4531,845,992,2202,673,27,268,37,41,80
148,147,16809,112,7,0,64,7000,20,9,6997,4271,885,5018,776,921,2690,683,41,451,25,48,161
149,148,16922,110,5,0,47,7000,45,10,7000,4200,816,5496,707,850,3168,614,41,577,62,55,195
150,149,17036,113,-3,0,41,7000,26,12,7000,4126,748,5988,636,778,3660,634,27,718,62,55,287
151,150,17151,110,7,0,58,6997,29,16,7000,4055,682,6462,566,709,4138,574,34,803,86,48,322
152,151,17263,110,6,0,72,6959,20,28,7000,3983,624,6934,517,642,4617,564,20,817,12,41,563
153,152,17377,113,-3,0,155,6917,252,53,7000,3910,568,7230,461,572,5108,574,34,930,62,62,736
