#Recorded data from Servotor32
#datetime: 20-11-2020_18h-49m-33s
#filename: identity_wave_x_b_sensors_closed_horizontal_air_unloaded_20-11-2020_18h-49m-33s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.5,4.023,4.023,4.023,4.023,4.023,1.0,0.507,-0.085,0.037,0.497,1.138,1.0,0.507,0.0,0.037,0.497,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.608,0.608,0.608,0.608,0.608,3.5,4.023,4.023,4.023,4.023,4.023,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.11,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.979,3.951,3.951,3.951,3.951,3.951,0.99,0.493,-0.085,-0.074,0.51,1.149,0.99,0.493,0.0,0.0,0.51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.599,0.594,0.594,0.594,0.594,0.594,3.5,4.023,4.023,4.023,4.023,7.0,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.114,0.11,0.011,7.0,0.0,0.0,0.0,0.0,0.0,4.457,3.88,3.88,3.88,3.88,3.88,1.01,0.514,-0.085,0.0,0.497,1.149,1.0,0.514,0.0,0.0,0.497,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.691,0.579,0.579,0.579,0.579,0.579,3.5,4.023,4.023,4.023,4.023,7.0,0.841,0.841,0.841,0.841,0.841,0.841
3,2,0.229,0.111,0.013,7.0,0.0,0.0,0.0,0.0,0.0,4.94,3.808,3.808,3.808,3.808,3.808,0.772,0.595,0.437,0.358,0.559,0.805,0.772,0.595,0.437,0.358,0.559,0.805,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.564,0.564,0.564,0.564,0.564,3.5,4.023,4.023,4.023,4.023,5.635,0.841,0.841,0.841,0.841,0.841,0.841
4,3,0.342,0.11,0.009,7.0,0.0,0.0,0.0,0.0,0.0,5.418,3.736,3.736,3.736,3.736,3.736,0.713,0.581,0.507,0.519,0.572,0.678,0.713,0.581,0.507,0.519,0.572,0.678,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.834,0.549,0.549,0.549,0.549,0.549,3.5,4.023,4.023,4.023,4.023,4.746,0.841,0.841,0.841,0.841,0.841,0.841
5,4,0.454,0.11,0.012,7.0,0.0,0.0,0.0,0.0,0.0,5.897,3.665,3.665,3.665,3.665,3.665,0.743,0.574,0.521,0.519,0.579,0.644,0.743,0.574,0.521,0.519,0.579,0.644,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.883,0.535,0.535,0.535,0.535,0.535,3.5,4.023,4.023,4.023,4.023,4.508,0.841,0.841,0.841,0.841,0.841,0.841
6,5,0.569,0.111,0.012,6.998,0.0,0.0,0.0,0.0,0.0,6.377,3.593,3.593,3.593,3.593,3.593,0.733,0.581,0.493,0.543,0.572,0.644,0.733,0.581,0.493,0.543,0.572,0.644,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.918,0.52,0.52,0.52,0.52,0.52,3.5,4.023,4.023,4.023,4.023,4.508,0.841,0.841,0.841,0.841,0.841,0.841
7,6,0.682,0.11,0.009,6.976,0.0,0.0,0.0,0.0,0.0,6.852,3.521,3.521,3.521,3.521,3.521,0.851,0.561,0.521,0.556,0.545,0.621,0.851,0.561,0.521,0.556,0.545,0.621,1.0,0.0,0.0,0.0,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.944,0.504,0.504,0.504,0.504,0.504,5.957,3.927,3.647,3.892,3.815,4.347,0.841,0.841,0.841,0.841,0.841,0.841
8,7,0.795,0.112,0.001,6.959,0.0,0.0,0.0,0.0,0.0,7.208,3.448,3.448,3.448,3.448,3.448,0.96,0.534,0.507,0.543,0.531,0.621,0.96,0.534,0.507,0.543,0.531,0.621,0.994,0.0,0.0,0.0,0.0,0.0,0.768,0.0,0.0,0.0,0.0,0.0,3.604,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.208,7.0,7.0,7.0,7.0,7.0,0.95,0.489,0.489,0.489,0.489,0.489,6.72,3.738,3.549,3.801,3.717,4.347,0.817,0.841,0.841,0.841,0.841,0.841
9,8,0.91,0.111,0.006,5.592,0.0,0.0,0.0,0.0,0.0,7.138,3.376,3.376,3.376,3.376,3.376,0.931,0.527,0.535,0.506,0.517,0.575,0.931,0.527,0.535,0.506,0.517,0.575,0.768,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,3.604,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.208,7.0,7.0,7.0,7.0,7.0,0.947,0.474,0.474,0.474,0.474,0.474,6.711,3.689,3.745,3.542,3.619,4.025,0.817,0.841,0.841,0.841,0.841,0.841
