#Recorded data from Servotor32
#datetime: 20-11-2020_20h-04m-54s
#filename: identity_tetrapod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-04m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,12000,0,0,0,0,0,10110,4110,4110,4110,4110,4110,990,503,-13,13,500,1000
1,0,0,110,0,6923,0,0,0,0,0,9961,3961,3961,3961,3961,3961,990,510,27,13,440,1000
2,1,115,112,10,959,0,0,0,0,0,9810,3810,3810,3810,3810,3810,990,503,13,-13,487,980
3,2,231,112,9,133,0,0,0,0,0,9659,3659,3659,3659,3659,3659,960,597,200,-77,567,873
4,3,343,110,11,20,0,0,0,0,0,9510,3510,3510,3510,3510,3510,980,691,653,538,640,667
5,4,455,110,13,3,0,0,0,0,0,9362,3362,3362,3362,3362,3362,960,678,667,603,633,657
6,5,571,112,11,0,0,0,0,0,0,9210,3210,3210,3210,3210,3210,980,631,653,590,640,637
7,6,683,110,11,0,0,0,0,0,0,9062,3062,3062,3062,3062,3062,980,604,627,615,527,529
8,7,795,111,1,0,0,0,0,0,0,8912,2912,2912,2912,2912,2912,941,570,613,590,560,559
9,8,909,111,9,0,0,0,0,0,0,8762,2762,2762,2762,2762,2762,970,564,573,551,487,441
10,9,1022,110,10,0,0,0,0,0,0,8614,2614,2614,2614,2614,2614,921,483,520,359,480,363
11,10,1135,111,-1,0,0,0,0,0,0,8464,2464,2464,2464,2464,2464,931,456,493,436,460,431
12,11,1251,112,10,0,0,0,0,0,0,8313,2313,2313,2313,2313,2313,931,423,440,397,420,402
13,12,1363,110,10,0,0,0,0,0,0,8164,2164,2164,2164,2164,2164,921,376,400,385,367,382
14,13,1475,110,0,0,0,0,0,0,0,8016,2016,2016,2016,2016,2016,911,349,373,333,340,206
15,14,1589,110,9,0,0,0,0,0,0,7867,1867,1867,1867,1867,1867,891,309,413,333,313,265
16,15,1701,110,6,0,0,0,0,0,0,7719,1719,1719,1719,1719,1719,881,275,320,333,260,275
17,16,1815,110,0,0,0,0,0,0,0,7570,1570,1570,1570,1570,1570,881,242,293,244,260,235
18,17,1931,112,9,0,1,1,1,1,1,7419,1419,1419,1419,1419,1419,851,221,240,256,213,255
19,18,2043,110,8,0,2,2,2,2,2,7271,1271,1271,1271,1271,1271,851,208,253,205,180,225
20,19,2155,111,1,0,5,5,5,5,5,7121,1123,1123,1123,1123,1123,822,188,187,218,160,147
21,20,2271,113,9,0,10,10,10,10,10,6968,972,972,972,972,972,822,154,173,167,173,147
