#Recorded data from Servotor32
#datetime: 20-11-2020_20h-04m-54s
#filename: identity_tetrapod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-04m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.11,4.11,4.11,4.11,4.11,4.11,0.99,0.503,-0.013,0.013,0.5,1.0,0.99,0.503,0.0,0.013,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.999,0.748,0.748,0.748,0.748,0.748,10.11,4.11,4.11,4.11,4.11,4.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.923,0.0,0.0,0.0,0.0,0.0,9.961,3.961,3.961,3.961,3.961,3.961,0.99,0.51,0.027,0.013,0.44,1.0,0.99,0.51,0.027,0.013,0.44,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.95,0.72,0.72,0.72,0.72,0.72,5.94,3.06,0.162,0.078,2.64,6.0,0.591,0.981,0.981,0.981,0.981,0.981
2,1,0.115,0.112,0.01,0.959,0.0,0.0,0.0,0.0,0.0,9.81,3.81,3.81,3.81,3.81,3.81,0.99,0.503,0.013,-0.013,0.487,0.98,0.99,0.503,0.013,0.0,0.487,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.946,0.689,0.689,0.689,0.689,0.689,9.861,3.018,0.078,0.0,2.922,5.88,0.591,0.981,0.981,0.981,0.981,0.981
3,2,0.231,0.112,0.009,0.133,0.0,0.0,0.0,0.0,0.0,9.659,3.659,3.659,3.659,3.659,3.659,0.96,0.597,0.2,-0.077,0.567,0.873,0.96,0.597,0.2,0.0,0.567,0.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.941,0.656,0.656,0.656,0.656,0.656,9.563,3.582,1.2,0.0,3.402,5.238,0.591,0.981,0.981,0.981,0.981,0.981
4,3,0.343,0.11,0.011,0.02,0.0,0.0,0.0,0.0,0.0,9.51,3.51,3.51,3.51,3.51,3.51,0.98,0.691,0.653,0.538,0.64,0.667,0.98,0.691,0.653,0.538,0.64,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.936,0.623,0.623,0.623,0.623,0.623,9.762,4.146,3.918,3.228,3.84,4.002,0.591,0.981,0.981,0.981,0.981,0.981
5,4,0.455,0.11,0.013,0.003,0.0,0.0,0.0,0.0,0.0,9.362,3.362,3.362,3.362,3.362,3.362,0.96,0.678,0.667,0.603,0.633,0.657,0.96,0.678,0.667,0.603,0.633,0.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.93,0.588,0.588,0.588,0.588,0.588,9.563,4.068,4.002,3.618,3.798,3.942,0.591,0.981,0.981,0.981,0.981,0.981
6,5,0.571,0.112,0.011,0.0,0.0,0.0,0.0,0.0,0.0,9.21,3.21,3.21,3.21,3.21,3.21,0.98,0.631,0.653,0.59,0.64,0.637,0.98,0.631,0.653,0.59,0.64,0.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.924,0.551,0.551,0.551,0.551,0.551,9.762,3.786,3.918,3.54,3.84,3.822,0.591,0.981,0.981,0.981,0.981,0.981
7,6,0.683,0.11,0.011,0.0,0.0,0.0,0.0,0.0,0.0,9.062,3.062,3.062,3.062,3.062,3.062,0.98,0.604,0.627,0.615,0.527,0.529,0.98,0.604,0.627,0.615,0.527,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.918,0.515,0.515,0.515,0.515,0.515,9.762,3.624,3.762,3.69,3.162,3.174,0.591,0.981,0.981,0.981,0.981,0.981
8,7,0.795,0.111,0.001,0.0,0.0,0.0,0.0,0.0,0.0,8.912,2.912,2.912,2.912,2.912,2.912,0.941,0.57,0.613,0.59,0.56,0.559,0.941,0.57,0.613,0.59,0.56,0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.911,0.478,0.478,0.478,0.478,0.478,9.373,3.42,3.678,3.54,3.36,3.354,0.591,0.981,0.981,0.981,0.981,0.981
9,8,0.909,0.111,0.009,0.0,0.0,0.0,0.0,0.0,0.0,8.762,2.762,2.762,2.762,2.762,2.762,0.97,0.564,0.573,0.551,0.487,0.441,0.97,0.564,0.573,0.551,0.487,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.903,0.442,0.442,0.442,0.442,0.442,9.662,3.384,3.438,3.306,2.922,2.646,0.591,0.981,0.981,0.981,0.981,0.981
