#Recorded data from Servotor32
#datetime: 20-11-2020_20h-03m-27s
#filename: identity_tripod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-03m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,115,111,10,975,0,0,0,0,0,11458,3808,3808,3808,3808,3808,1010,533,0,-29,453,971
1,2,231,112,9,135,0,0,0,0,0,11234,3584,3584,3584,3584,3584,1010,526,26,15,440,876
2,3,343,110,11,21,0,0,0,0,0,11014,3364,3364,3364,3364,3364,1010,750,692,765,760,810
3,4,455,110,2,3,0,0,0,0,0,10794,3144,3144,3144,3144,3144,980,776,731,838,773,771
4,5,571,112,10,0,0,0,0,0,0,10570,2920,2920,2920,2920,2920,1000,730,756,824,747,714
5,6,683,110,10,0,0,0,0,0,0,10350,2700,2700,2700,2700,2700,960,704,744,824,680,686
6,7,795,111,1,0,0,0,0,0,0,10128,2478,2478,2478,2478,2478,950,638,628,779,633,619
7,8,911,112,9,0,0,0,0,0,0,9904,2254,2254,2254,2254,2254,960,579,615,676,567,448
8,9,1023,110,10,0,0,0,0,0,0,9684,2034,2034,2034,2034,2034,911,500,538,574,487,457
9,10,1135,110,0,0,0,0,0,0,0,9464,1814,1814,1814,1814,1814,911,434,449,485,427,400
10,11,1249,111,9,0,0,0,0,0,0,9242,1592,1592,1592,1592,1592,950,382,410,441,373,362
11,12,1362,110,7,0,1,1,1,1,1,9022,1372,1372,1372,1372,1372,891,329,308,353,293,276
12,13,1475,111,-1,0,2,2,2,2,2,8800,1151,1151,1151,1151,1151,960,296,282,309,247,238
13,14,1591,112,9,0,5,5,5,5,5,8576,929,929,929,929,929,871,237,244,265,180,181
14,15,1703,110,9,0,15,15,15,15,15,8356,714,714,714,714,714,861,204,231,191,60,181
15,16,1815,111,1,0,47,47,47,47,47,8134,511,511,511,511,511,842,171,167,176,140,152
16,17,1928,110,9,0,155,155,155,155,155,7914,371,371,371,371,371,822,138,141,103,107,143
17,18,2041,110,9,0,646,646,646,646,646,7694,590,590,590,590,590,812,125,115,59,80,86
18,19,2154,110,12,0,3546,3546,3546,3546,3546,7474,920,920,920,920,920,772,99,115,44,60,67
19,20,2270,111,9,0,4873,4873,4873,4873,4873,7252,1253,1253,1253,1253,1253,743,99,128,162,80,86
20,21,2382,110,9,0,5065,5065,5065,5065,5065,7032,1583,1583,1583,1583,1583,723,53,90,118,93,57
21,22,2494,110,11,0,5095,5095,5095,5095,5095,6812,1913,1913,1913,1913,1913,703,112,141,103,100,95
22,23,2609,111,12,0,5099,5099,5099,5099,5099,6590,2246,2246,2246,2246,2246,644,112,115,88,120,143
23,24,2722,110,9,0,5100,5100,5100,5100,5100,6370,2576,2576,2576,2576,2576,624,191,295,206,187,200
24,25,2835,111,11,0,5100,5100,5100,5100,5100,6148,2909,2909,2909,2909,2909,614,296,346,324,287,305
25,26,2950,111,12,0,5100,5100,5100,5100,5100,5926,3242,3242,3242,3242,3242,683,309,321,426,393,362
26,27,3062,110,9,0,5100,5100,5100,5100,5100,5706,3572,3572,3572,3572,3572,535,507,538,603,487,476
27,28,3175,111,12,0,5100,5100,5100,5100,5100,5484,3905,3905,3905,3905,3905,515,612,667,662,620,581
28,29,3289,111,10,0,5098,5098,5098,5098,5098,5262,4236,4236,4236,4236,4236,515,618,577,794,647,686
29,30,3402,110,9,0,5089,5089,5089,5089,5089,5042,4559,4559,4559,4559,4559,485,743,808,897,773,733
30,31,3515,111,12,0,5038,5038,5038,5038,5038,4820,4845,4845,4845,4845,4845,426,862,885,956,840,790
31,32,3629,111,12,0,4728,4728,4728,4728,4728,4598,4821,4821,4821,4821,4821,465,855,846,1015,893,829
32,33,3742,110,10,0,2268,2268,2268,2268,2268,4378,4601,4601,4601,4601,4601,366,888,949,1029,927,886
33,34,3855,111,-1,0,331,331,331,331,331,4156,4379,4379,4379,4379,4379,356,947,949,1059,947,857
34,35,3969,110,8,0,51,51,51,51,51,3936,4159,4159,4159,4159,4159,337,928,962,1088,947,895
35,36,4082,110,8,0,8,8,8,8,8,3716,3939,3939,3939,3939,3939,307,928,910,1088,933,914
36,37,4195,110,0,0,1,1,1,1,1,3496,3719,3719,3719,3719,3719,307,914,936,1059,900,867
37,38,4309,110,9,0,0,0,0,0,0,3276,3499,3499,3499,3499,3499,277,868,872,1103,873,876
38,39,4422,110,10,0,0,0,0,0,0,3056,3279,3279,3279,3279,3279,218,829,846,985,827,790
39,40,4535,111,-1,0,0,0,0,0,0,2834,3057,3057,3057,3057,3057,218,803,821,897,787,781
40,41,4649,110,10,0,0,0,0,0,0,2614,2837,2837,2837,2837,2837,208,757,769,941,740,714
41,42,4761,110,9,0,0,0,0,0,0,2394,2617,2617,2617,2617,2617,158,658,667,824,667,648
42,43,4874,110,12,0,0,0,0,0,0,2174,2397,2397,2397,2397,2397,178,605,641,691,580,590
43,44,4991,112,10,0,0,0,0,0,0,1950,2173,2173,2173,2173,2173,119,586,513,676,500,590
44,45,5103,110,11,0,0,0,0,0,0,1730,1953,1953,1953,1953,1953,119,500,474,500,407,448
45,46,5215,110,3,0,0,0,0,0,0,1510,1733,1733,1733,1733,1733,99,382,397,471,333,381
