#Recorded data from Servotor32
#datetime: 20-11-2020_20h-03m-27s
#filename: identity_tripod_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-03m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.115,0.111,0.01,0.975,0.0,0.0,0.0,0.0,0.0,11.458,3.808,3.808,3.808,3.808,3.808,1.01,0.533,0.0,-0.029,0.453,0.971,1.0,0.533,0.0,0.0,0.453,0.971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,1.0,0.81,0.81,0.81,0.81,0.81,11.458,3.808,3.808,3.808,3.808,3.808,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.231,0.112,0.009,0.135,0.0,0.0,0.0,0.0,0.0,11.234,3.584,3.584,3.584,3.584,3.584,1.01,0.526,0.026,0.015,0.44,0.876,1.0,0.526,0.026,0.015,0.44,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.95,0.767,0.767,0.767,0.767,0.767,5.1,2.683,0.133,0.077,2.244,4.468,0.524,1.155,1.155,1.155,1.155,1.155
2,3,0.343,0.11,0.011,0.021,0.0,0.0,0.0,0.0,0.0,11.014,3.364,3.364,3.364,3.364,3.364,1.01,0.75,0.692,0.765,0.76,0.81,1.0,0.75,0.692,0.765,0.76,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.944,0.719,0.719,0.719,0.719,0.719,11.234,3.825,3.529,3.902,3.876,4.131,0.524,1.155,1.155,1.155,1.155,1.155
3,4,0.455,0.11,0.002,0.003,0.0,0.0,0.0,0.0,0.0,10.794,3.144,3.144,3.144,3.144,3.144,0.98,0.776,0.731,0.838,0.773,0.771,0.98,0.776,0.731,0.838,0.773,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.938,0.665,0.665,0.665,0.665,0.665,11.009,3.958,3.728,4.274,3.942,3.932,0.524,1.155,1.155,1.155,1.155,1.155
4,5,0.571,0.112,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10.57,2.92,2.92,2.92,2.92,2.92,1.0,0.73,0.756,0.824,0.747,0.714,1.0,0.73,0.756,0.824,0.747,0.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.931,0.605,0.605,0.605,0.605,0.605,11.234,3.723,3.856,4.202,3.81,3.641,0.524,1.155,1.155,1.155,1.155,1.155
5,6,0.683,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10.35,2.7,2.7,2.7,2.7,2.7,0.96,0.704,0.744,0.824,0.68,0.686,0.96,0.704,0.744,0.824,0.68,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.923,0.543,0.543,0.543,0.543,0.543,10.785,3.59,3.794,4.202,3.468,3.499,0.524,1.155,1.155,1.155,1.155,1.155
6,7,0.795,0.111,0.001,0.0,0.0,0.0,0.0,0.0,0.0,10.128,2.478,2.478,2.478,2.478,2.478,0.95,0.638,0.628,0.779,0.633,0.619,0.95,0.638,0.628,0.779,0.633,0.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.914,0.479,0.479,0.479,0.479,0.479,10.672,3.254,3.203,3.973,3.228,3.157,0.524,1.155,1.155,1.155,1.155,1.155
7,8,0.911,0.112,0.009,0.0,0.0,0.0,0.0,0.0,0.0,9.904,2.254,2.254,2.254,2.254,2.254,0.96,0.579,0.615,0.676,0.567,0.448,0.96,0.579,0.615,0.676,0.567,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.904,0.415,0.415,0.415,0.415,0.415,10.785,2.953,3.136,3.448,2.892,2.285,0.524,1.155,1.155,1.155,1.155,1.155
8,9,1.023,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9.684,2.034,2.034,2.034,2.034,2.034,0.911,0.5,0.538,0.574,0.487,0.457,0.911,0.5,0.538,0.574,0.487,0.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.894,0.355,0.355,0.355,0.355,0.355,10.234,2.55,2.744,2.927,2.484,2.331,0.524,1.155,1.155,1.155,1.155,1.155
9,10,1.135,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.464,1.814,1.814,1.814,1.814,1.814,0.911,0.434,0.449,0.485,0.427,0.4,0.911,0.434,0.449,0.485,0.427,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.883,0.299,0.299,0.299,0.299,0.299,10.234,2.213,2.29,2.473,2.178,2.04,0.524,1.155,1.155,1.155,1.155,1.155
10,11,1.249,0.111,0.009,0.0,0.0,0.0,0.0,0.0,0.0,9.242,1.592,1.592,1.592,1.592,1.592,0.95,0.382,0.41,0.441,0.373,0.362,0.95,0.382,0.41,0.441,0.373,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.87,0.249,0.249,0.249,0.249,0.249,10.672,1.948,2.091,2.249,1.902,1.846,0.524,1.155,1.155,1.155,1.155,1.155
11,12,1.362,0.11,0.007,0.0,0.001,0.001,0.001,0.001,0.001,9.022,1.372,1.372,1.372,1.372,1.372,0.891,0.329,0.308,0.353,0.293,0.276,0.891,0.329,0.308,0.353,0.293,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.856,0.204,0.204,0.204,0.204,0.204,10.009,1.678,1.571,1.8,1.494,1.408,0.524,1.155,1.155,1.155,1.155,1.155
12,13,1.475,0.111,-0.001,0.0,0.002,0.002,0.002,0.002,0.002,8.8,1.151,1.151,1.151,1.151,1.151,0.96,0.296,0.282,0.309,0.247,0.238,0.96,0.296,0.282,0.309,0.247,0.238,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.841,0.166,0.166,0.166,0.166,0.166,10.785,1.51,1.438,1.576,1.26,1.214,0.524,1.155,1.155,1.155,1.155,1.155
13,14,1.591,0.112,0.009,0.0,0.005,0.005,0.005,0.005,0.005,8.576,0.929,0.929,0.929,0.929,0.929,0.871,0.237,0.244,0.265,0.18,0.181,0.871,0.237,0.244,0.265,0.18,0.181,0.0,0.003,0.003,0.003,0.003,0.003,0.0,0.003,0.003,0.003,0.003,0.003,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.825,0.133,0.133,0.133,0.133,0.133,9.785,1.209,1.244,1.352,0.918,0.923,0.524,1.155,1.155,1.155,1.155,1.155
14,15,1.703,0.11,0.009,0.0,0.015,0.015,0.015,0.015,0.015,8.356,0.714,0.714,0.714,0.714,0.714,0.861,0.204,0.231,0.191,0.06,0.181,0.861,0.204,0.231,0.191,0.06,0.181,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.808,0.107,0.107,0.107,0.107,0.107,9.672,1.04,1.178,0.974,0.306,0.923,0.524,1.155,1.155,1.155,1.155,1.155
15,16,1.815,0.111,0.001,0.0,0.047,0.047,0.047,0.047,0.047,8.134,0.511,0.511,0.511,0.511,0.511,0.842,0.171,0.167,0.176,0.14,0.152,0.842,0.171,0.167,0.176,0.14,0.152,0.0,0.031,0.031,0.031,0.031,0.031,0.0,0.034,0.034,0.034,0.034,0.034,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.789,0.087,0.087,0.087,0.087,0.087,9.459,0.872,0.852,0.898,0.714,0.775,0.524,1.155,1.155,1.155,1.155,1.155
16,17,1.928,0.11,0.009,0.0,0.155,0.155,0.155,0.155,0.155,7.914,0.371,0.371,0.371,0.371,0.371,0.822,0.138,0.141,0.103,0.107,0.143,0.822,0.138,0.141,0.103,0.107,0.143,0.0,0.103,0.103,0.103,0.103,0.103,0.0,0.144,0.144,0.144,0.144,0.144,5.617,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.234,5.1,5.1,5.1,5.1,5.1,0.769,0.075,0.075,0.075,0.075,0.075,9.234,0.704,0.719,0.525,0.546,0.729,0.524,1.155,1.155,1.155,1.155,1.155
17,18,2.041,0.11,0.009,0.0,0.646,0.646,0.646,0.646,0.646,7.694,0.59,0.59,0.59,0.59,0.59,0.812,0.125,0.115,0.059,0.08,0.086,0.812,0.125,0.115,0.059,0.08,0.086,0.0,0.433,0.433,0.433,0.433,0.433,0.0,0.798,0.798,0.798,0.798,0.798,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.748,0.065,0.065,0.065,0.065,0.065,9.122,0.638,0.586,0.301,0.408,0.439,0.524,1.245,1.245,1.245,1.245,1.245
18,19,2.154,0.11,0.012,0.0,3.546,3.546,3.546,3.546,3.546,7.474,0.92,0.92,0.92,0.92,0.92,0.772,0.099,0.115,0.044,0.06,0.067,0.772,0.099,0.115,0.044,0.06,0.067,0.0,2.395,2.395,2.395,2.395,2.395,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.726,0.094,0.094,0.094,0.094,0.094,8.673,0.839,0.915,0.579,0.655,0.688,0.524,1.245,1.245,1.245,1.245,1.245
19,20,2.27,0.111,0.009,0.0,4.873,4.873,4.873,4.873,4.873,7.252,1.253,1.253,1.253,1.253,1.253,0.743,0.099,0.128,0.162,0.08,0.086,0.743,0.099,0.128,0.162,0.08,0.086,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.702,0.136,0.136,0.136,0.136,0.136,8.347,0.839,0.976,1.137,0.749,0.778,0.524,1.245,1.245,1.245,1.245,1.245
20,21,2.382,0.11,0.009,0.0,5.065,5.065,5.065,5.065,5.065,7.032,1.583,1.583,1.583,1.583,1.583,0.723,0.053,0.09,0.118,0.093,0.057,0.723,0.053,0.09,0.118,0.093,0.057,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.677,0.192,0.192,0.192,0.192,0.192,8.122,0.622,0.797,0.929,0.811,0.641,0.524,1.245,1.245,1.245,1.245,1.245
21,22,2.494,0.11,0.011,0.0,5.095,5.095,5.095,5.095,5.095,6.812,1.913,1.913,1.913,1.913,1.913,0.703,0.112,0.141,0.103,0.1,0.095,0.703,0.112,0.141,0.103,0.1,0.095,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.652,0.264,0.264,0.264,0.264,0.264,7.898,0.901,1.038,0.858,0.844,0.82,0.524,1.245,1.245,1.245,1.245,1.245
22,23,2.609,0.111,0.012,0.0,5.099,5.099,5.099,5.099,5.099,6.59,2.246,2.246,2.246,2.246,2.246,0.644,0.112,0.115,0.088,0.12,0.143,0.644,0.112,0.115,0.088,0.12,0.143,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.625,0.352,0.352,0.352,0.352,0.352,7.235,0.901,0.915,0.787,0.938,1.047,0.524,1.245,1.245,1.245,1.245,1.245
23,24,2.722,0.11,0.009,0.0,5.1,5.1,5.1,5.1,5.1,6.37,2.576,2.576,2.576,2.576,2.576,0.624,0.191,0.295,0.206,0.187,0.2,0.624,0.191,0.295,0.206,0.187,0.2,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.597,0.451,0.451,0.451,0.451,0.451,7.01,1.274,1.766,1.345,1.255,1.317,0.524,1.245,1.245,1.245,1.245,1.245
24,25,2.835,0.111,0.011,0.0,5.1,5.1,5.1,5.1,5.1,6.148,2.909,2.909,2.909,2.909,2.909,0.614,0.296,0.346,0.324,0.287,0.305,0.614,0.296,0.346,0.324,0.287,0.305,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.569,0.554,0.554,0.554,0.554,0.554,6.898,1.771,2.007,1.903,1.728,1.813,0.524,1.245,1.245,1.245,1.245,1.245
25,26,2.95,0.111,0.012,0.0,5.1,5.1,5.1,5.1,5.1,5.926,3.242,3.242,3.242,3.242,3.242,0.683,0.309,0.321,0.426,0.393,0.362,0.683,0.309,0.321,0.426,0.393,0.362,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,5.617,2.736,2.736,2.736,2.736,2.736,0.0,0.371,0.371,0.371,0.371,0.371,11.234,5.1,5.1,5.1,5.1,5.1,0.54,0.653,0.653,0.653,0.653,0.653,7.673,1.832,1.889,2.386,2.229,2.083,0.524,1.245,1.245,1.245,1.245,1.245
