#Recorded data from Servotor32
#datetime: 20-11-2020_20h-06m-14s
#filename: identity_wave_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-06m-14s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,118,111,12,7000,0,0,0,0,0,4461,3879,3879,3879,3879,3879,1010,510,0,0,507,1000
1,2,230,110,9,7000,0,0,0,0,0,4940,3808,3808,3808,3808,3808,832,591,419,260,574,768
2,3,344,110,12,7000,0,0,0,0,0,5418,3736,3736,3736,3736,3736,723,577,514,532,595,616
3,4,458,111,12,7000,0,0,0,0,0,5901,3664,3664,3664,3664,3664,772,570,581,519,581,485
4,5,571,110,9,6998,0,0,0,0,0,6377,3593,3593,3593,3593,3593,832,591,595,532,561,596
5,6,684,111,12,6975,0,0,0,0,0,6833,3521,3521,3521,3521,3521,871,557,554,532,520,414
6,7,800,112,13,6707,0,0,0,0,0,6955,3448,3448,3448,3448,3448,871,537,527,519,541,525
7,8,912,110,10,3090,0,0,0,0,0,6884,3376,3376,3376,3376,3376,950,510,527,506,500,505
8,9,1024,110,0,475,0,0,0,0,0,6812,3305,3305,3305,3305,3305,950,490,541,519,473,515
9,10,1139,111,10,69,0,0,0,0,0,6740,3233,3233,3233,3233,3233,950,477,541,481,473,475
10,11,1251,110,10,11,0,0,0,0,0,6669,3161,3161,3161,3161,3161,980,497,473,468,446,434
11,12,1364,112,1,1,0,0,0,0,0,6596,3088,3088,3088,3088,3088,960,470,514,351,453,485
12,13,1478,111,9,0,0,0,0,0,0,6524,3016,3016,3016,3016,3016,970,450,500,442,453,455
13,14,1591,110,10,0,0,0,0,0,0,6452,2945,2945,2945,2945,2945,950,430,419,481,345,404
14,15,1704,110,0,0,0,0,0,0,0,6381,2873,2873,2873,2873,2873,970,436,419,429,412,404
15,16,1817,110,10,0,0,0,0,0,0,6309,2802,2802,2802,2802,2802,950,396,419,403,392,394
16,17,1930,110,9,0,0,0,0,0,0,6238,2730,2730,2730,2730,2730,941,403,419,416,385,323
17,18,2044,111,11,0,0,0,0,0,0,6166,2658,2658,2658,2658,2658,960,362,365,390,345,354
18,19,2159,111,9,0,0,0,0,0,0,6093,2586,2586,2586,2586,2586,970,369,378,364,318,354
19,20,2272,110,8,0,0,0,0,0,0,6022,2514,2514,2514,2514,2514,970,336,378,351,311,273
20,21,2384,111,2,0,0,0,0,0,0,5950,2442,2442,2442,2442,2442,950,336,378,351,311,323
21,22,2500,112,8,0,0,0,0,0,0,5877,2369,2369,2369,2369,2369,941,342,338,351,297,293
