#Recorded data from Servotor32
#datetime: 20-11-2020_20h-06m-14s
#filename: identity_wave_x_b_sensors_open_horizontal_air_unloaded_20-11-2020_20h-06m-14s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.118,0.111,0.012,7.0,0.0,0.0,0.0,0.0,0.0,4.461,3.879,3.879,3.879,3.879,3.879,1.01,0.51,0.0,0.0,0.507,1.0,1.0,0.51,0.0,0.0,0.507,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.692,0.579,0.579,0.579,0.579,0.579,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.23,0.11,0.009,7.0,0.0,0.0,0.0,0.0,0.0,4.94,3.808,3.808,3.808,3.808,3.808,0.832,0.591,0.419,0.26,0.574,0.768,0.832,0.591,0.419,0.26,0.574,0.768,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.564,0.564,0.564,0.564,0.564,5.824,4.137,2.933,1.82,4.018,5.376,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.344,0.11,0.012,7.0,0.0,0.0,0.0,0.0,0.0,5.418,3.736,3.736,3.736,3.736,3.736,0.723,0.577,0.514,0.532,0.595,0.616,0.723,0.577,0.514,0.532,0.595,0.616,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.834,0.549,0.549,0.549,0.549,0.549,5.061,4.039,3.598,3.724,4.165,4.312,0.841,0.841,0.841,0.841,0.841,0.841
3,4,0.458,0.111,0.012,7.0,0.0,0.0,0.0,0.0,0.0,5.901,3.664,3.664,3.664,3.664,3.664,0.772,0.57,0.581,0.519,0.581,0.485,0.772,0.57,0.581,0.519,0.581,0.485,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.883,0.534,0.534,0.534,0.534,0.534,5.404,3.99,4.067,3.633,4.067,3.395,0.841,0.841,0.841,0.841,0.841,0.841
4,5,0.571,0.11,0.009,6.998,0.0,0.0,0.0,0.0,0.0,6.377,3.593,3.593,3.593,3.593,3.593,0.832,0.591,0.595,0.532,0.561,0.596,0.832,0.591,0.595,0.532,0.561,0.596,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.918,0.52,0.52,0.52,0.52,0.52,5.824,4.137,4.165,3.724,3.927,4.172,0.841,0.841,0.841,0.841,0.841,0.841
5,6,0.684,0.111,0.012,6.975,0.0,0.0,0.0,0.0,0.0,6.833,3.521,3.521,3.521,3.521,3.521,0.871,0.557,0.554,0.532,0.52,0.414,0.871,0.557,0.554,0.532,0.52,0.414,0.996,0.0,0.0,0.0,0.0,0.0,0.952,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.943,0.504,0.504,0.504,0.504,0.504,6.097,3.899,3.878,3.724,3.64,2.898,0.841,0.841,0.841,0.841,0.841,0.841
6,7,0.8,0.112,0.013,6.707,0.0,0.0,0.0,0.0,0.0,6.955,3.448,3.448,3.448,3.448,3.448,0.871,0.537,0.527,0.519,0.541,0.525,0.871,0.537,0.527,0.519,0.541,0.525,0.952,0.0,0.0,0.0,0.0,0.0,0.348,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.948,0.489,0.489,0.489,0.489,0.489,6.097,3.759,3.689,3.633,3.787,3.675,0.841,0.841,0.841,0.841,0.841,0.841
7,8,0.912,0.11,0.01,3.09,0.0,0.0,0.0,0.0,0.0,6.884,3.376,3.376,3.376,3.376,3.376,0.95,0.51,0.527,0.506,0.5,0.505,0.95,0.51,0.527,0.506,0.5,0.505,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.478,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.955,7.0,7.0,7.0,7.0,7.0,0.947,0.474,0.474,0.474,0.474,0.474,6.65,3.57,3.689,3.542,3.5,3.535,0.847,0.841,0.841,0.841,0.841,0.841
8,9,1.024,0.11,0.0,0.475,0.0,0.0,0.0,0.0,0.0,6.812,3.305,3.305,3.305,3.305,3.305,0.95,0.49,0.541,0.519,0.473,0.515,0.95,0.49,0.541,0.519,0.473,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.478,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.955,7.0,7.0,7.0,7.0,7.0,0.944,0.459,0.459,0.459,0.459,0.459,6.607,3.43,3.787,3.633,3.311,3.605,0.847,0.841,0.841,0.841,0.841,0.841
9,10,1.139,0.111,0.01,0.069,0.0,0.0,0.0,0.0,0.0,6.74,3.233,3.233,3.233,3.233,3.233,0.95,0.477,0.541,0.481,0.473,0.475,0.95,0.477,0.541,0.481,0.473,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.478,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.955,7.0,7.0,7.0,7.0,7.0,0.941,0.444,0.444,0.444,0.444,0.444,6.607,3.339,3.787,3.367,3.311,3.325,0.847,0.841,0.841,0.841,0.841,0.841
