#Recorded data from Servotor32
#datetime: 20-11-2020_18h-39m-40s
#filename: identity_tetrapod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-39m-40s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,110,10,1065,0,0,0,0,0,9813,3813,3813,3813,3813,3813,16,52,-6,17,28,5
1,2,227,110,9,164,0,0,0,0,0,9664,3664,3664,3664,3664,3664,21,12,12,17,28,5
2,3,341,112,12,23,0,0,0,0,0,9513,3513,3513,3513,3513,3513,21,6,17,17,45,37
3,4,456,112,12,3,0,0,0,0,0,9362,3362,3362,3362,3362,3362,21,23,0,17,28,5
4,5,569,110,11,0,0,0,0,0,0,9213,3213,3213,3213,3213,3213,16,23,6,34,34,16
5,6,681,110,3,136,117,59,204,171,54,9079,3077,3071,3087,3083,3071,27,23,12,40,34,11
6,7,795,111,10,129,76,-21,148,198,62,8941,2934,2918,2950,2952,2927,21,12,-6,23,34,11
7,8,908,110,9,101,41,-3,139,202,36,8802,2789,2769,2814,2822,2781,16,6,0,23,34,5
8,9,1021,112,1,152,125,29,198,173,60,8666,2650,2622,2682,2687,2636,27,23,6,34,28,11
9,10,1135,110,9,186,49,5,176,255,90,8535,2505,2473,2549,2563,2496,32,6,0,29,45,16
10,11,1247,110,9,164,66,30,144,153,94,8401,2363,2328,2413,2427,2356,27,12,6,23,22,16
11,12,1361,112,12,106,99,4,139,166,13,8259,2221,2177,2275,2291,2205,16,17,0,23,28,0
12,13,1477,112,9,125,44,30,138,197,139,8119,2073,2029,2137,2159,2069,21,6,6,23,34,26
13,14,1589,110,8,19,95,34,109,201,48,7971,1935,1883,1998,2029,1923,0,17,6,17,34,5
14,15,1701,111,2,58,103,35,134,173,61,7827,1794,1737,1861,1895,1779,11,17,6,23,28,11
15,16,1817,112,8,36,104,274,137,140,8,7679,1653,1615,1722,1756,1628,5,17,52,23,22,0
16,17,1935,112,9,5,104,8,168,165,83,7528,1511,1460,1587,1621,1485,0,17,-6,29,28,16
17,18,2048,110,9,55,163,1,172,168,13,7385,1379,1312,1455,1488,1337,11,29,0,29,28,0
