#Recorded data from Servotor32
#datetime: 20-11-2020_18h-41m-16s
#filename: identity_tripod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-41m-16s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,15300,0,0,0,0,0,11900,4250,4250,4250,4250,4250,16,18,24,-18,-23,-5
1,0,0,110,0,6669,0,0,0,0,0,11680,4030,4030,4030,4030,4030,32,30,30,0,-17,-5
2,1,113,110,9,1026,0,0,0,0,0,11460,3810,3810,3810,3810,3810,26,24,24,-24,-17,0
3,2,225,110,8,158,0,0,0,0,0,11240,3590,3590,3590,3590,3590,26,24,48,0,-17,-5
4,3,337,111,2,23,0,0,0,0,0,11018,3368,3368,3368,3368,3368,26,24,30,-12,-17,5
5,4,452,112,9,3,0,0,0,0,0,10794,3144,3144,3144,3144,3144,26,12,24,-30,-6,5
6,5,565,110,10,0,0,0,0,0,0,10574,2924,2924,2924,2924,2924,32,24,48,-12,-17,5
7,6,677,111,12,92,77,131,-78,-100,0,10364,2712,2719,2692,2689,2702,21,18,30,-18,-23,0
8,7,791,111,10,175,166,177,-89,-65,22,10162,2510,2517,2460,2461,2483,37,36,36,-18,-11,5
9,8,904,110,9,187,153,157,-65,-60,25,9963,2306,2313,2234,2235,2266,37,30,30,-12,-11,5
10,9,1017,110,0,211,126,154,16,-34,-18,9766,2099,2110,2017,2011,2043,42,24,30,6,-6,-5
11,10,1133,112,10,146,121,127,-50,-30,-2,9557,1888,1899,1786,1784,1819,26,24,24,-12,-6,0
12,11,1245,110,8,159,146,124,-33,-54,-44,9354,1684,1693,1563,1558,1593,32,30,24,-6,-11,-10
13,12,1357,111,1,162,202,175,-57,-33,38,9150,1485,1491,1334,1333,1377,32,41,36,-12,-6,10
14,13,1472,111,9,139,184,131,-112,-105,204,8943,1283,1282,1099,1098,1180,26,36,24,-24,-23,46
15,14,1585,110,8,136,156,228,-69,-115,185,8737,1079,1089,873,865,980,26,30,48,-12,-23,36
16,15,1697,110,0,158,75,139,-62,-92,-15,8535,866,882,646,636,754,32,12,24,-12,-17,-10
17,16,1811,111,9,138,88,178,-61,-139,-2,8327,654,680,417,398,532,26,18,36,-12,-29,0
18,17,1924,110,8,135,141,131,-9,-46,0,8122,450,473,197,175,312,26,30,24,0,-6,0
19,18,2037,112,1,135,124,151,-1,-107,0,7913,239,266,-27,-62,88,26,24,30,0,-23,0
20,19,2151,111,9,135,250,258,155,109,111,7705,47,74,-229,-268,-120,26,53,54,36,29,25
21,20,2264,110,9,158,600,690,743,587,411,7503,-102,-63,-357,-416,-289,32,130,151,167,132,91
22,21,2377,110,0,207,1676,1380,1835,1479,1137,7306,-120,-121,-358,-459,-373,42,367,295,399,322,249
23,22,2489,110,9,123,3322,3228,3776,3526,3001,7098,51,44,-132,-258,-233,21,710,699,810,764,655
24,23,2603,110,8,156,4724,4604,4665,4684,4383,6895,368,347,168,50,47,32,976,952,946,960,909
25,24,2717,112,12,184,5074,5031,4961,4941,4733,6692,707,683,494,373,349,37,1006,1000,982,977,939
26,25,2830,110,12,165,5147,5063,5053,5001,5000,6489,1043,1010,821,693,674,32,1012,994,994,983,990
27,26,2943,110,8,140,5184,5042,5016,5060,4822,6284,1383,1333,1141,1020,970,26,1018,988,982,994,939
28,27,3056,110,12,204,5241,5169,5113,5044,4970,6087,1730,1673,1474,1344,1289,42,1030,1018,1006,989,980
29,28,3170,110,12,100,5377,5111,4948,4868,4795,5876,2092,2003,1785,1645,1583,16,1059,1000,964,948,934
30,29,3283,110,8,130,5143,5076,4974,5015,4834,5670,2422,2330,2101,1969,1885,26,1000,994,976,989,949
31,30,3397,110,12,180,5132,5174,5004,5037,4796,5471,2755,2670,2422,2293,2181,37,1006,1018,982,989,939
32,31,3510,110,12,142,5054,5059,4957,4991,4856,5265,3079,2993,2735,2610,2486,26,988,988,970,977,954
33,32,3623,110,20,227,5170,5172,5078,5009,5019,5072,3419,3333,3065,2931,2810,48,1018,1018,1000,983,990
34,33,3737,112,12,124,5162,5083,5071,5062,4799,4859,3761,3666,3398,3263,3109,21,1012,994,994,994,934
35,34,3851,111,12,110,5186,5150,5122,5019,4857,4649,4104,4005,3734,3587,3417,21,1018,1012,1006,983,954
36,35,3964,110,9,40,5113,5108,5129,5088,4822,4432,4434,4335,4068,3917,3716,5,1000,1000,1006,1000,944
37,36,4077,111,12,75,5153,5075,5104,5023,4838,4219,4774,4665,4401,4240,4021,16,1012,994,1000,983,949
38,37,4191,111,10,126,5159,5070,5101,5039,4841,4012,5113,4995,4734,4567,4326,26,1012,994,1000,989,949
39,38,4304,110,9,65,5084,5043,5100,5041,4819,3797,5440,5318,5064,4891,4625,11,994,988,1000,989,944
40,39,4417,111,13,56,4788,4856,5022,5066,4860,3581,5734,5621,5387,5220,4933,11,929,946,982,994,954
41,40,4530,110,10,31,4312,4387,4780,4921,4756,3364,5969,5865,5677,5528,5224,5,828,843,929,960,929
42,41,4643,110,8,73,2476,2313,3972,4229,4237,3153,5980,5854,5870,5751,5451,16,420,380,750,805,812
43,42,4757,110,11,80,636,642,1998,3404,3719,2942,5793,5670,5827,5882,5621,16,59,66,321,638,711
44,43,4870,110,10,-11,149,151,539,1317,1645,2719,5579,5457,5636,5763,5538,-5,12,12,54,184,249
45,44,4983,110,9,44,74,101,57,277,472,2505,5366,5247,5413,5552,5346,11,12,18,-6,17,51
46,45,5096,110,11,212,37,120,-68,-7,73,2311,5149,5040,5183,5326,5126,48,6,24,-18,-11,0
47,46,5211,111,10,54,5,17,-88,-26,33,2092,4927,4818,4951,5101,4907,5,0,0,-18,-6,5
48,47,5324,110,10,54,1,29,-65,-29,-17,1877,4707,4601,4725,4878,4684,11,0,6,-12,-6,-5
49,48,5437,111,11,8,-26,4,-87,-54,20,1655,4482,4379,4493,4649,4465,0,-6,0,-18,-11,5
50,49,5551,110,10,1,-29,105,12,-33,3,1435,4258,4172,4276,4426,4245,0,-6,24,6,-6,0
51,50,5663,110,9,0,-30,-10,-127,-30,44,1215,4035,3949,4040,4203,4031,0,-6,-6,-30,-6,10
52,51,5777,110,0,137,-56,50,-71,-29,7,1013,3809,3736,3813,3980,3811,32,-12,12,-12,-6,0
53,52,5890,110,9,272,43,34,92,-29,-21,825,3595,3519,3606,3757,3588,58,12,6,24,-6,-5
54,53,6003,110,8,65,-45,-21,-12,45,-3,608,3369,3296,3383,3543,3368,5,-12,-6,-6,11,0
55,54,6117,111,12,56,-58,-3,-28,7,22,392,3140,3074,3158,3321,3149,11,-12,0,-6,0,5
56,55,6233,113,13,195,-8,0,128,1,25,190,2914,2848,2948,3095,2926,42,0,0,30,0,5
57,56,6349,110,14,235,-1,-52,20,-25,4,-4,2694,2621,2728,2872,2706,48,0,-12,0,-6,0
58,57,6461,110,8,767,-26,-8,3,-53,23,-131,2471,2401,2508,2645,2488,169,-6,0,0,-11,5
59,58,6576,113,10,1977,49,-1,-52,-109,25,-118,2252,2175,2276,2406,2265,423,12,0,-12,-23,5
60,59,6693,112,10,3831,-19,-53,-7,-40,4,111,2024,1944,2052,2179,2041,810,-6,-12,0,-6,0
61,60,6805,110,11,4768,-28,-34,-27,-56,-21,424,1801,1721,1828,1953,1818,968,-6,-6,-6,-11,-5
62,61,6917,111,1,4959,279,205,22,-58,-25,745,1615,1526,1610,1725,1594,979,65,48,6,-11,-5
63,62,7030,110,8,5010,17,6,-48,-83,-26,1066,1392,1302,1383,1495,1371,984,-6,-6,-12,-17,-5
64,63,7143,110,6,5040,28,-77,-84,-13,-4,1391,1175,1073,1153,1275,1151,989,6,-18,-18,0,0
65,64,7257,111,11,5045,30,-11,-64,-27,-1,1718,956,851,925,1050,929,989,6,0,-12,-6,0
66,65,7371,111,10,5092,236,130,-61,-29,-44,2051,764,645,696,825,701,1000,53,30,-12,-6,-10
67,66,7484,110,7,5053,-15,20,-61,-79,37,2375,537,425,469,595,487,989,-12,0,-12,-17,10
68,67,7596,110,0,5093,100,107,-61,-62,28,2705,331,218,243,369,270,1000,24,24,-12,-11,5
69,68,7710,110,8,5030,143,172,-61,-109,4,3026,127,18,16,136,50,984,30,36,-12,-23,0
70,69,7823,110,9,5044,405,676,119,-17,242,3350,-44,-119,-187,-84,-140,989,89,151,30,0,56
71,70,7937,111,12,5046,832,1332,432,98,566,3678,-168,-184,-356,-293,-294,989,178,283,95,23,122
72,71,8053,112,10,5092,1987,2567,1132,620,1104,4014,-153,-104,-444,-440,-387,1000,426,542,244,138,234
73,72,8165,110,11,5053,3702,4242,3077,2303,2996,4338,60,166,-294,-378,-247,989,787,892,673,511,655
74,73,8277,111,2,5047,4793,4896,4571,3840,4395,4665,379,489,9,-154,35,989,976,982,946,805,909
75,74,8391,110,10,5069,5078,5147,4993,4708,4751,4992,713,829,336,151,334,995,1006,1018,994,954,944
76,75,8503,110,8,5004,5122,5081,5006,4916,4783,5310,1046,1156,656,465,631,979,1006,994,982,971,939
77,76,8615,110,11,4880,5180,5227,5009,4972,4788,5614,1386,1502,977,782,927,952,1018,1030,982,977,939
78,77,8731,111,11,3939,5163,5328,4931,5106,4833,5803,1725,1862,1290,1119,1232,741,1012,1048,964,1006,949
79,78,8844,110,9,1953,5186,5187,4997,5027,4818,5755,2065,2199,1610,1439,1531,312,1018,1012,982,983,944
80,79,8956,110,11,643,5139,5061,4981,5014,4794,5579,2398,2522,1927,1760,1828,79,1006,988,976,983,939
81,80,9071,111,10,232,5131,5042,5031,5012,4878,5374,2735,2849,2253,2083,2138,32,1006,988,988,983,959
82,81,9184,110,9,196,5207,5169,5064,5037,4869,5175,3078,3188,2580,2407,2443,37,1024,1018,994,989,954
83,82,9297,110,13,190,5168,5163,5017,4991,4823,4975,3414,3525,2900,2724,2743,37,1012,1012,982,977,944
84,83,9411,111,13,143,5136,5162,5010,5034,4861,4768,3750,3865,3223,3051,3050,26,1006,1012,982,989,954
85,84,9524,110,9,90,5182,5213,5035,5040,4888,4556,4090,4208,3547,3374,3358,16,1018,1024,988,989,959
86,85,9637,110,13,60,5215,5143,5039,4992,4783,4342,4433,4541,3870,3692,3652,11,1024,1006,988,977,934
87,86,9750,110,13,78,5194,5055,4911,4959,4744,4131,4773,4865,4177,4006,3942,16,1018,988,958,971,929
88,87,9862,110,7,35,5191,5067,4994,5078,4782,3914,5113,5191,4497,4336,4239,5,1018,994,982,1000,939
