#Recorded data from Servotor32
#datetime: 20-11-2020_18h-41m-16s
#filename: identity_tripod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-41m-16s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,11.9,4.25,4.25,4.25,4.25,4.25,0.016,0.018,0.024,-0.018,-0.023,-0.005,0.016,0.018,0.024,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,1.0,0.877,0.877,0.877,0.877,0.877,11.9,4.25,4.25,4.25,4.25,4.25,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,6.669,0.0,0.0,0.0,0.0,0.0,11.68,4.03,4.03,4.03,4.03,4.03,0.032,0.03,0.03,0.0,-0.017,-0.005,0.032,0.03,0.03,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.95,0.847,0.847,0.847,0.847,0.847,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
2,1,0.113,0.11,0.009,1.026,0.0,0.0,0.0,0.0,0.0,11.46,3.81,3.81,3.81,3.81,3.81,0.026,0.024,0.024,-0.024,-0.017,0.0,0.026,0.024,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.944,0.811,0.811,0.811,0.811,0.811,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
3,2,0.225,0.11,0.008,0.158,0.0,0.0,0.0,0.0,0.0,11.24,3.59,3.59,3.59,3.59,3.59,0.026,0.024,0.048,0.0,-0.017,-0.005,0.026,0.024,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.938,0.769,0.769,0.769,0.769,0.769,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
4,3,0.337,0.111,0.002,0.023,0.0,0.0,0.0,0.0,0.0,11.018,3.368,3.368,3.368,3.368,3.368,0.026,0.024,0.03,-0.012,-0.017,0.005,0.026,0.024,0.03,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.932,0.72,0.72,0.72,0.72,0.72,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
5,4,0.452,0.112,0.009,0.003,0.0,0.0,0.0,0.0,0.0,10.794,3.144,3.144,3.144,3.144,3.144,0.026,0.012,0.024,-0.03,-0.006,0.005,0.026,0.012,0.024,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.924,0.665,0.665,0.665,0.665,0.665,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
6,5,0.565,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10.574,2.924,2.924,2.924,2.924,2.924,0.032,0.024,0.048,-0.012,-0.017,0.005,0.032,0.024,0.048,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.916,0.606,0.606,0.606,0.606,0.606,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
7,6,0.677,0.111,0.012,0.092,0.077,0.131,-0.078,-0.1,0.0,10.364,2.712,2.719,2.692,2.689,2.702,0.021,0.018,0.03,-0.018,-0.023,0.0,0.021,0.018,0.03,0.0,0.0,0.0,0.063,0.054,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.907,0.547,0.549,0.541,0.54,0.544,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
8,7,0.791,0.111,0.01,0.175,0.166,0.177,-0.089,-0.065,0.022,10.162,2.51,2.517,2.46,2.461,2.483,0.037,0.036,0.036,-0.018,-0.011,0.005,0.037,0.036,0.036,0.0,0.0,0.005,0.111,0.108,0.108,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.898,0.488,0.49,0.474,0.474,0.481,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
9,8,0.904,0.11,0.009,0.187,0.153,0.157,-0.065,-0.06,0.025,9.963,2.306,2.313,2.234,2.235,2.266,0.037,0.03,0.03,-0.012,-0.011,0.005,0.037,0.03,0.03,0.0,0.0,0.005,0.111,0.09,0.09,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,5.84,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.68,5.1,5.1,5.1,5.1,5.1,0.889,0.43,0.432,0.41,0.41,0.419,11.9,4.25,4.25,4.25,4.25,4.25,0.504,1.155,1.155,1.155,1.155,1.155
