#Recorded data from Servotor32
#datetime: 20-11-2020_18h-38m-07s
#filename: identity_wave_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-38m-07s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,111,11,7000,0,0,0,0,0,4461,3879,3879,3879,3879,3879,27,-24,-19,6,6,5
1,2,229,110,13,7000,0,0,0,0,0,4940,3808,3808,3808,3808,3808,251,-12,-31,-12,-6,0
2,3,342,110,10,7000,0,0,0,0,0,5418,3736,3736,3736,3736,3736,759,-6,-6,6,-6,11
3,4,455,110,12,7000,0,0,0,0,0,5897,3665,3665,3665,3665,3665,973,-18,-25,-6,-12,0
4,5,571,112,12,6998,0,0,0,0,0,6382,3592,3592,3592,3592,3592,979,-18,-19,0,-6,0
5,6,683,110,11,7031,-108,-110,0,35,64,6863,3511,3510,3521,3524,3526,1005,-18,-19,0,6,11
6,7,795,110,13,7132,-17,-127,35,5,-22,7353,3439,3429,3452,3452,3452,1021,0,-19,6,0,-5
7,8,908,110,10,7179,-110,-166,5,-34,-35,7846,3358,3344,3381,3378,3378,1027,-18,-25,0,-6,-5
8,9,1021,110,8,6489,-161,-245,-70,-40,-5,8275,3273,3252,3303,3303,3306,909,-24,-37,-12,-6,0
9,10,1134,111,11,5487,-96,-36,203,-6,31,8624,3194,3180,3250,3231,3237,759,-12,0,36,0,5
10,11,1250,112,10,1888,-233,-154,-115,-1,-61,8656,3101,3093,3164,3158,3158,187,-36,-25,-24,0,-11
11,12,1362,110,9,607,-251,-243,-159,-139,-105,8614,3009,3001,3080,3074,3078,53,-36,-37,-24,-23,-16
12,13,1475,111,-1,281,-182,-220,-166,-160,-47,8560,2924,2912,2994,2988,3003,32,-24,-31,-24,-23,-5
13,14,1591,112,9,200,-171,-179,-131,-163,-104,8502,2837,2825,2912,2902,2921,27,-24,-25,-18,-23,-16
14,15,1703,110,10,221,-170,-137,-91,-129,-80,8448,2752,2743,2833,2821,2843,32,-24,-19,-12,-18,-11
15,16,1815,112,1,192,-206,-168,-84,-229,-108,8390,2663,2657,2754,2729,2761,27,-30,-25,-12,-35,-16
16,17,1929,110,9,220,-211,-282,22,-174,-80,8336,2574,2562,2686,2645,2684,32,-30,-43,6,-23,-11
17,18,2042,110,9,192,-140,-226,-138,-96,-76,8280,2493,2473,2601,2567,2607,27,-18,-31,-24,-12,-11
18,19,2155,110,0,188,-201,-291,-127,-188,-75,8223,2405,2378,2520,2479,2529,27,-30,-43,-18,-29,-11
19,20,2270,111,9,219,-174,-190,-54,-132,-107,8169,2319,2292,2444,2397,2448,32,-24,-25,-6,-18,-16
20,21,2382,110,7,192,-170,-249,-79,-159,-80,8112,2234,2200,2366,2313,2371,27,-24,-37,-12,-23,-11
21,22,2495,110,0,220,-206,-258,-118,-163,-44,8058,2146,2108,2285,2228,2296,32,-30,-37,-18,-23,-5
22,23,2610,111,9,192,-211,-222,-160,-164,-103,8001,2057,2019,2200,2143,2215,27,-30,-31,-24,-23,-16
23,24,2723,110,8,220,-248,-254,-95,-164,-48,7947,1966,1927,2122,2059,2141,32,-36,-37,-12,-23,-5
24,25,2835,112,1,192,-217,-221,-121,-234,-104,7889,1876,1837,2039,1966,2059,27,-30,-31,-18,-35,-16
