#Recorded data from Servotor32
#datetime: 20-11-2020_18h-38m-07s
#filename: identity_wave_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-38m-07s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.114,0.111,0.011,7.0,0.0,0.0,0.0,0.0,0.0,4.461,3.879,3.879,3.879,3.879,3.879,0.027,-0.024,-0.019,0.006,0.006,0.005,0.027,0.0,0.0,0.006,0.006,0.005,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.692,0.579,0.579,0.579,0.579,0.579,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.229,0.11,0.013,7.0,0.0,0.0,0.0,0.0,0.0,4.94,3.808,3.808,3.808,3.808,3.808,0.251,-0.012,-0.031,-0.012,-0.006,0.0,0.251,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.564,0.564,0.564,0.564,0.564,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.342,0.11,0.01,7.0,0.0,0.0,0.0,0.0,0.0,5.418,3.736,3.736,3.736,3.736,3.736,0.759,-0.006,-0.006,0.006,-0.006,0.011,0.759,0.0,0.0,0.006,0.0,0.011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.834,0.549,0.549,0.549,0.549,0.549,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
3,4,0.455,0.11,0.012,7.0,0.0,0.0,0.0,0.0,0.0,5.897,3.665,3.665,3.665,3.665,3.665,0.973,-0.018,-0.025,-0.006,-0.012,0.0,0.973,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.883,0.535,0.535,0.535,0.535,0.535,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
4,5,0.571,0.112,0.012,6.998,0.0,0.0,0.0,0.0,0.0,6.382,3.592,3.592,3.592,3.592,3.592,0.979,-0.018,-0.019,0.0,-0.006,0.0,0.979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.919,0.519,0.519,0.519,0.519,0.519,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
5,6,0.683,0.11,0.011,7.031,-0.108,-0.11,0.0,0.035,0.064,6.863,3.511,3.51,3.521,3.524,3.526,1.005,-0.018,-0.019,0.0,0.006,0.011,1.0,0.0,0.0,0.0,0.006,0.011,1.0,0.0,0.0,0.0,0.006,0.011,0.962,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.944,0.502,0.502,0.504,0.505,0.505,4.461,3.879,3.879,3.879,3.879,3.879,0.841,0.841,0.841,0.841,0.841,0.841
6,7,0.795,0.11,0.013,7.132,-0.017,-0.127,0.035,0.005,-0.022,7.353,3.439,3.429,3.452,3.452,3.452,1.021,0.0,-0.019,0.006,0.0,-0.005,1.0,0.0,0.0,0.006,0.0,0.0,1.0,0.0,0.0,0.006,0.0,0.0,0.793,0.0,0.0,0.0,0.0,0.0,3.676,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.353,7.0,7.0,7.0,7.0,7.0,0.95,0.487,0.485,0.49,0.49,0.49,4.461,3.879,3.879,3.879,3.879,3.879,0.801,0.841,0.841,0.841,0.841,0.841
7,8,0.908,0.11,0.01,7.179,-0.11,-0.166,0.005,-0.034,-0.035,7.846,3.358,3.344,3.381,3.378,3.378,1.027,-0.018,-0.025,0.0,-0.006,-0.005,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,3.923,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.846,7.0,7.0,7.0,7.0,7.0,0.95,0.47,0.467,0.475,0.474,0.474,4.461,3.879,3.879,3.879,3.879,3.879,0.751,0.841,0.841,0.841,0.841,0.841
8,9,1.021,0.11,0.008,6.489,-0.161,-0.245,-0.07,-0.04,-0.005,8.275,3.273,3.252,3.303,3.303,3.306,0.909,-0.024,-0.037,-0.012,-0.006,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,4.138,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,8.275,7.0,7.0,7.0,7.0,7.0,0.95,0.452,0.448,0.459,0.459,0.459,4.461,3.879,3.879,3.879,3.879,3.879,0.712,0.841,0.841,0.841,0.841,0.841
9,10,1.134,0.111,0.011,5.487,-0.096,-0.036,0.203,-0.006,0.031,8.624,3.194,3.18,3.25,3.231,3.237,0.759,-0.012,0.0,0.036,0.0,0.005,0.759,0.0,0.0,0.036,0.0,0.005,0.759,0.0,0.0,0.036,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,4.312,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,8.624,7.0,7.0,7.0,7.0,7.0,0.95,0.436,0.433,0.448,0.444,0.445,4.461,3.879,3.879,3.879,3.879,3.879,0.683,0.841,0.841,0.841,0.841,0.841
