#Recorded data from Servotor32
#datetime: 20-11-2020_18h-33m-38s
#filename: identity_tetrapod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-33m-38s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,12000,0,0,0,0,0,10110,4110,4110,4110,4110,4110,-5,0,6,-12,6,16
1,0,0,110,0,6923,0,0,0,0,0,9961,3961,3961,3961,3961,3961,0,6,12,6,0,5
2,1,114,110,10,1065,0,0,0,0,0,9813,3813,3813,3813,3813,3813,-11,18,12,0,0,37
3,2,228,110,10,164,0,0,0,0,0,9664,3664,3664,3664,3664,3664,0,-12,18,-6,-11,16
4,3,341,112,12,23,0,0,0,0,0,9513,3513,3513,3513,3513,3513,22,18,12,-6,6,11
5,4,455,110,12,3,0,0,0,0,0,9364,3364,3364,3364,3364,3364,5,-6,-12,-24,-6,16
6,5,568,110,8,1,0,0,0,0,0,9216,3216,3216,3216,3216,3216,11,-12,-18,-18,-6,0
7,6,681,110,13,0,0,0,0,0,0,9067,3067,3067,3067,3067,3067,-11,0,-18,-24,-11,-11
8,7,795,111,12,0,0,0,0,0,0,8918,2918,2918,2918,2918,2918,11,-18,-12,-12,0,-5
9,8,908,110,10,0,0,0,0,0,0,8769,2769,2769,2769,2769,2769,-5,-12,-12,-30,-17,5
10,9,1021,110,0,0,0,0,0,0,0,8621,2621,2621,2621,2621,2621,-11,-12,-25,-24,-17,-11
11,10,1137,112,10,0,0,0,0,0,0,8469,2469,2469,2469,2469,2469,-5,-12,-12,-24,-11,-5
12,11,1249,110,10,0,0,0,0,0,0,8321,2321,2321,2321,2321,2321,0,0,-12,0,-11,0
13,12,1361,111,13,0,0,0,0,0,0,8171,2171,2171,2171,2171,2171,-5,-12,-18,-12,-17,-5
14,13,1477,112,9,0,0,0,0,0,0,8020,2020,2020,2020,2020,2020,-22,-18,-12,-24,-11,0
15,14,1589,110,9,0,0,0,0,0,0,7871,1871,1871,1871,1871,1871,-5,-12,-12,-12,-6,0
16,15,1701,111,1,0,0,0,0,0,0,7721,1722,1722,1722,1722,1722,0,-12,-18,-18,-17,-11
17,16,1815,110,9,0,0,0,0,0,0,7573,1573,1573,1573,1573,1573,-5,0,-12,-18,-11,-5
18,17,1927,110,8,0,1,1,1,1,1,7424,1425,1425,1425,1425,1425,-5,48,-12,-12,-17,37
19,18,2041,112,-2,0,2,2,2,2,2,7273,1274,1274,1274,1274,1274,-5,0,-12,-12,-11,-5
20,19,2154,110,9,0,4,4,4,4,4,7125,1127,1127,1127,1127,1127,-16,-6,-6,-18,-11,-5
21,20,2267,110,8,0,10,10,10,10,10,6976,980,980,980,980,980,-11,-18,-12,-18,-17,-11
22,21,2381,111,-1,0,21,21,21,21,21,6826,835,835,835,835,835,0,0,-12,-12,-11,0
23,22,2497,112,9,0,45,45,45,45,45,6675,694,694,694,694,694,-11,-12,-25,-24,-11,0
24,23,2609,110,9,0,103,103,103,103,103,6527,573,573,573,573,573,5,0,-18,-12,-6,0
25,24,2721,111,2,0,268,268,268,268,268,6377,522,522,522,522,522,0,-12,-12,-12,-11,-11
26,25,2836,112,9,0,963,963,963,963,963,6226,876,876,876,876,876,43,60,37,6,17,27
27,26,2949,110,10,0,4720,4720,4720,4720,4720,6077,1277,1277,1277,1277,1277,0,138,117,95,114,118
28,27,3061,110,12,0,5803,5803,5803,5803,5803,5929,1679,1679,1679,1679,1679,-22,371,356,286,314,369
29,28,3174,110,12,0,5970,5970,5970,5970,5970,5780,2080,2080,2080,2080,2080,0,856,834,774,783,845
30,29,3287,110,9,0,5995,5995,5995,5995,5995,5632,2482,2482,2482,2482,2482,-11,988,982,976,954,1043
31,30,3401,111,12,0,5999,5999,5999,5999,5999,5482,2887,2887,2887,2887,2887,0,1000,1067,988,1006,1000
32,31,3514,110,12,0,6000,6000,6000,6000,6000,5333,3288,3288,3288,3288,3288,-11,1006,1012,994,1000,1005
33,32,3627,110,8,0,6000,6000,6000,6000,6000,5185,3690,3690,3690,3690,3690,-16,994,1000,988,994,1037
34,33,3741,112,13,0,6000,6000,6000,6000,6000,5034,4098,4098,4098,4098,4098,-5,1012,1000,1000,1011,1032
35,34,3856,111,12,0,6000,6000,6000,6000,6000,4884,4504,4504,4504,4504,4504,-16,988,1000,1006,994,1016
36,35,3969,110,10,0,6000,6000,6000,6000,6000,4735,4905,4905,4905,4905,4905,-5,1012,1000,988,1011,1016
37,36,4081,111,12,0,5997,5997,5997,5997,5997,4585,5308,5308,5308,5308,5308,0,994,1018,988,1000,1011
38,37,4195,110,12,0,5978,5978,5978,5978,5978,4437,5690,5690,5690,5690,5690,-5,994,1006,1006,1057,1005
39,38,4307,110,8,0,5825,5825,5825,5825,5825,4288,5906,5906,5906,5906,5906,0,1006,994,988,1000,1048
40,39,4421,112,13,0,4229,4229,4229,4229,4229,4137,5755,5755,5755,5755,5755,0,1000,1000,988,1000,1011
41,40,4537,113,10,0,554,554,554,554,554,3985,5602,5602,5602,5602,5602,-11,778,785,827,840,850
42,41,4655,112,11,0,77,77,77,77,77,3833,5451,5451,5451,5451,5451,0,401,368,405,411,428
43,42,4768,110,9,0,12,12,12,12,12,3685,5303,5303,5303,5303,5303,0,60,55,71,80,80
44,43,4881,111,-1,0,2,2,2,2,2,3535,5153,5153,5153,5153,5153,-5,24,0,6,11,21
45,44,4995,110,9,0,0,0,0,0,0,3387,5004,5004,5004,5004,5004,-16,48,6,-6,11,21
46,45,5107,110,9,0,0,0,0,0,0,3238,4856,4856,4856,4856,4856,11,18,31,-6,6,5
47,46,5221,111,11,0,0,0,0,0,0,3088,4706,4706,4706,4706,4706,-11,24,6,-6,11,16
48,47,5334,110,10,0,0,0,0,0,0,2940,4558,4558,4558,4558,4558,-22,12,6,-6,6,21
49,48,5447,110,9,0,0,0,0,0,0,2791,4409,4409,4409,4409,4409,0,12,18,30,6,21
50,49,5561,110,11,0,0,0,0,0,0,2643,4261,4261,4261,4261,4261,-11,12,49,-12,46,11
51,50,5674,110,9,0,0,0,0,0,0,2494,4112,4112,4112,4112,4112,-5,6,6,0,11,5
52,51,5787,110,9,0,0,0,0,0,0,2346,3964,3964,3964,3964,3964,0,0,0,-12,-11,70
53,52,5901,112,1,0,0,0,0,0,0,2195,3812,3812,3812,3812,3812,5,-12,6,-6,6,11
54,53,6017,112,10,0,0,0,0,0,0,2043,3661,3661,3661,3661,3661,-5,6,12,-6,6,70
55,54,6129,110,11,0,0,0,0,0,0,1895,3513,3513,3513,3513,3513,-5,-6,6,6,11,21
