#Recorded data from Servotor32
#datetime: 20-11-2020_18h-33m-38s
#filename: identity_tetrapod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-33m-38s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.11,4.11,4.11,4.11,4.11,4.11,-0.005,0.0,0.006,-0.012,0.006,0.016,0.0,0.0,0.006,0.0,0.006,0.016,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.999,0.748,0.748,0.748,0.748,0.748,10.11,4.11,4.11,4.11,4.11,4.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.923,0.0,0.0,0.0,0.0,0.0,9.961,3.961,3.961,3.961,3.961,3.961,0.0,0.006,0.012,0.006,0.0,0.005,0.0,0.006,0.012,0.006,0.0,0.005,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.95,0.72,0.72,0.72,0.72,0.72,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
2,1,0.114,0.11,0.01,1.065,0.0,0.0,0.0,0.0,0.0,9.813,3.813,3.813,3.813,3.813,3.813,-0.011,0.018,0.012,0.0,0.0,0.037,0.0,0.018,0.012,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.946,0.69,0.69,0.69,0.69,0.69,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
3,2,0.228,0.11,0.01,0.164,0.0,0.0,0.0,0.0,0.0,9.664,3.664,3.664,3.664,3.664,3.664,0.0,-0.012,0.018,-0.006,-0.011,0.016,0.0,0.0,0.018,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.941,0.657,0.657,0.657,0.657,0.657,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
4,3,0.341,0.112,0.012,0.023,0.0,0.0,0.0,0.0,0.0,9.513,3.513,3.513,3.513,3.513,3.513,0.022,0.018,0.012,-0.006,0.006,0.011,0.022,0.018,0.012,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.936,0.623,0.623,0.623,0.623,0.623,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
5,4,0.455,0.11,0.012,0.003,0.0,0.0,0.0,0.0,0.0,9.364,3.364,3.364,3.364,3.364,3.364,0.005,-0.006,-0.012,-0.024,-0.006,0.016,0.005,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.93,0.588,0.588,0.588,0.588,0.588,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
6,5,0.568,0.11,0.008,0.001,0.0,0.0,0.0,0.0,0.0,9.216,3.216,3.216,3.216,3.216,3.216,0.011,-0.012,-0.018,-0.018,-0.006,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.924,0.553,0.553,0.553,0.553,0.553,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
7,6,0.681,0.11,0.013,0.0,0.0,0.0,0.0,0.0,0.0,9.067,3.067,3.067,3.067,3.067,3.067,-0.011,0.0,-0.018,-0.024,-0.011,-0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.918,0.516,0.516,0.516,0.516,0.516,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
8,7,0.795,0.111,0.012,0.0,0.0,0.0,0.0,0.0,0.0,8.918,2.918,2.918,2.918,2.918,2.918,0.011,-0.018,-0.012,-0.012,0.0,-0.005,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.911,0.48,0.48,0.48,0.48,0.48,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
9,8,0.908,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.769,2.769,2.769,2.769,2.769,2.769,-0.005,-0.012,-0.012,-0.03,-0.017,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.961,6.0,6.0,6.0,6.0,6.0,0.904,0.444,0.444,0.444,0.444,0.444,10.11,4.11,4.11,4.11,4.11,4.11,0.591,0.981,0.981,0.981,0.981,0.981
