#Recorded data from Servotor32
#datetime: 20-11-2020_18h-27m-02s
#filename: tripod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-27m-02s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,113,110,9,1026,0,0,0,0,0,11460,3810,3810,3810,3810,3810,-5,6,24,-12,6,11
1,2,226,110,7,158,0,0,0,0,0,11240,3590,3590,3590,3590,3590,33,6,30,-6,6,11
2,3,338,110,0,24,0,0,0,0,0,11020,3370,3370,3370,3370,3370,5,0,18,-6,11,11
3,4,454,112,10,3,0,0,0,0,0,10796,3146,3146,3146,3146,3146,5,0,42,-6,11,16
4,5,566,110,10,1,0,0,0,0,0,10576,2926,2926,2926,2926,2926,5,-6,24,-6,23,16
5,6,678,111,12,0,0,0,0,0,0,10354,2704,2704,2704,2704,2704,-5,-6,30,-12,11,11
6,7,792,111,10,0,0,0,0,0,0,10132,2482,2482,2482,2482,2482,16,-24,18,-6,6,21
7,8,905,110,9,0,0,0,0,0,0,9912,2262,2262,2262,2262,2262,5,-24,6,0,17,21
8,9,1018,111,11,0,0,0,0,0,0,9690,2040,2040,2040,2040,2040,11,-18,30,-6,11,5
9,10,1134,112,10,0,0,0,0,0,0,9466,1816,1816,1816,1816,1816,5,-18,18,18,17,11
10,11,1246,110,8,0,0,0,0,0,0,9246,1596,1596,1596,1596,1596,5,-30,0,6,17,16
11,12,1358,111,1,0,1,1,1,1,1,9024,1374,1374,1374,1374,1374,0,-24,6,-6,6,5
12,13,1474,112,9,0,2,2,2,2,2,8800,1151,1151,1151,1151,1151,27,-12,24,-12,17,26
13,14,1586,110,9,0,5,5,5,5,5,8580,933,933,933,933,933,5,-12,18,-12,6,16
14,15,1698,110,0,0,15,15,15,15,15,8360,718,718,718,718,718,11,-24,18,-12,6,11
15,16,1814,112,9,0,46,46,46,46,46,8136,513,513,513,513,513,5,0,12,-12,6,21
16,17,1926,110,9,0,152,152,152,152,152,7916,371,371,371,371,371,0,-18,12,-12,11,16
17,18,2038,110,2,0,633,633,633,633,633,7696,584,584,584,584,584,0,12,36,0,23,5
18,19,2152,111,10,0,3523,3523,3523,3523,3523,7474,917,917,917,917,917,16,78,121,60,86,79
19,20,2265,110,10,0,4857,4857,4857,4857,4857,7254,1247,1247,1247,1247,1247,5,305,352,325,314,358
20,21,2377,110,12,0,5063,5063,5063,5063,5063,7034,1577,1577,1577,1577,1577,-11,832,842,789,800,758
21,22,2494,113,11,0,5095,5095,5095,5095,5095,6808,1916,1916,1916,1916,1916,0,1012,1006,976,989,979
22,23,2606,110,11,0,5099,5099,5099,5099,5099,6588,2246,2246,2246,2246,2246,0,1000,1012,1024,1023,995
23,24,2718,110,13,0,5100,5100,5100,5100,5100,6368,2576,2576,2576,2576,2576,-11,1000,1006,1006,1000,1021
24,25,2834,112,10,0,5100,5100,5100,5100,5100,6144,2912,2912,2912,2912,2912,-11,994,994,1018,1011,1016
25,26,2946,110,10,0,5100,5100,5100,5100,5100,5924,3242,3242,3242,3242,3242,-5,994,1012,1018,1000,995
26,27,3058,110,13,0,5100,5100,5100,5100,5100,5704,3572,3572,3572,3572,3572,-11,1060,1000,1042,1000,1000
27,28,3174,112,12,0,5100,5100,5100,5100,5100,5480,3908,3908,3908,3908,3908,-16,1000,1030,1006,1017,1005
28,29,3286,110,10,0,5098,5098,5098,5098,5098,5260,4236,4236,4236,4236,4236,0,988,1024,1012,1006,984
29,30,3398,110,14,0,5088,5088,5088,5088,5088,5040,4559,4559,4559,4559,4559,0,1012,1024,1012,1017,1058
30,31,3514,112,11,0,5037,5037,5037,5037,5037,4816,4848,4848,4848,4848,4848,-11,976,988,994,1011,1005
31,32,3626,110,10,0,4729,4729,4729,4729,4729,4596,4824,4824,4824,4824,4824,-16,982,1000,1024,1011,1005
32,33,3738,111,12,0,2243,2243,2243,2243,2243,4374,4602,4602,4602,4602,4602,-22,940,976,970,960,953
33,34,3852,110,9,0,345,345,345,345,345,4154,4382,4382,4382,4382,4382,-16,922,945,910,891,921
34,35,3964,110,7,0,53,53,53,53,53,3934,4162,4162,4162,4162,4162,-22,545,509,446,451,458
35,36,4078,112,-2,0,7,7,7,7,7,3710,3938,3938,3938,3938,3938,0,66,85,78,74,89
36,37,4192,111,9,0,1,1,1,1,1,3488,3716,3716,3716,3716,3716,-5,-6,30,-6,17,26
37,38,4305,110,8,0,0,0,0,0,0,3268,3496,3496,3496,3496,3496,-11,-12,18,6,17,37
38,39,4418,112,1,0,0,0,0,0,0,3044,3272,3272,3272,3272,3272,-5,0,24,-6,11,11
39,40,4532,110,9,0,0,0,0,0,0,2824,3052,3052,3052,3052,3052,-11,-18,24,0,11,5
40,41,4644,110,9,0,0,0,0,0,0,2604,2832,2832,2832,2832,2832,-16,-12,18,0,11,5
41,42,4758,111,12,0,0,0,0,0,0,2382,2610,2610,2610,2610,2610,-5,-30,24,-12,23,5
42,43,4874,112,10,0,0,0,0,0,0,2158,2386,2386,2386,2386,2386,-16,-12,24,-12,17,26
43,44,4986,110,11,0,0,0,0,0,0,1938,2166,2166,2166,2166,2166,-5,-24,12,-6,17,11
44,45,5098,110,0,0,0,0,0,0,0,1718,1946,1946,1946,1946,1946,-5,-6,18,-6,6,11
45,46,5213,111,8,0,0,0,0,0,0,1496,1724,1724,1724,1724,1724,-16,-18,24,-12,11,21
46,47,5326,110,7,1,0,0,0,0,0,1276,1504,1504,1504,1504,1504,-11,-12,18,0,17,11
47,48,5438,111,1,3,1,1,1,1,1,1055,1282,1282,1282,1282,1282,-16,-12,24,-6,11,11
48,49,5554,112,8,8,3,3,3,3,3,834,1059,1059,1059,1059,1059,-16,-6,18,-6,17,16
49,50,5669,110,9,24,8,8,8,8,8,624,842,842,842,842,842,-16,-12,24,-18,23,26
50,51,5782,110,6,77,24,24,24,24,24,437,631,631,631,631,631,-16,-12,30,-12,11,16
51,52,5897,111,10,278,75,75,75,75,75,388,441,441,441,441,441,-27,-12,18,-12,17,16
52,53,6013,112,9,1401,267,267,267,267,267,720,383,383,383,383,383,22,-12,36,-12,17,21
53,54,6126,110,8,4504,1314,1314,1314,1314,1314,1050,707,707,707,707,707,197,30,48,18,40,42
54,55,6238,110,0,5008,4477,4477,4477,4477,4477,1380,1037,1037,1037,1037,1037,557,186,182,139,160,142
55,56,6351,110,10,5086,5004,5004,5004,5004,5004,1710,1367,1367,1367,1367,1367,907,461,509,428,491,500
56,57,6464,110,8,5098,5085,5085,5085,5085,5085,2040,1697,1697,1697,1697,1697,984,868,873,825,863,900
57,58,6578,111,12,5100,5098,5098,5098,5098,5098,2373,2030,2030,2030,2030,2030,1005,994,994,982,994,979
58,59,6693,112,10,5100,5100,5100,5100,5100,5100,2709,2366,2366,2366,2366,2366,989,994,1006,1006,1006,995
59,60,6806,110,10,5100,5100,5100,5100,5100,5100,3039,2696,2696,2696,2696,2696,995,994,1018,1024,1034,995
60,61,6918,110,12,5100,5100,5100,5100,5100,5100,3369,3026,3026,3026,3026,3026,984,1000,1030,1012,994,989
61,62,7032,111,12,5100,5100,5100,5100,5100,5100,3702,3359,3359,3359,3359,3359,984,1000,988,1018,1000,995
62,63,7145,110,9,5099,5100,5100,5100,5100,5100,4031,3689,3689,3689,3689,3689,1000,1000,1018,1024,1017,1058
63,64,7258,110,11,5096,5099,5099,5099,5099,5099,4359,4019,4019,4019,4019,4019,995,1078,1006,1030,1006,1047
64,65,7372,111,11,5078,5096,5096,5096,5096,5096,4677,4349,4349,4349,4349,4349,989,976,994,1006,994,1005
65,66,7486,110,10,4982,5080,5080,5080,5080,5080,4909,4665,4665,4665,4665,4665,1000,1066,1024,1024,1006,1000
66,67,7598,110,12,4309,4988,4988,4988,4988,4988,4715,4904,4904,4904,4904,4904,1005,994,1024,1006,1011,989
67,68,7713,111,12,837,4360,4360,4360,4360,4360,4493,4716,4716,4716,4716,4716,907,988,994,1000,1017,1000
68,69,7826,110,10,129,937,937,937,937,937,4273,4496,4496,4496,4496,4496,727,898,897,946,926,900
69,70,7938,110,0,20,144,144,144,144,144,4053,4276,4276,4276,4276,4276,191,790,770,807,726,832
70,71,8052,111,9,3,21,21,21,21,21,3831,4054,4054,4054,4054,4054,22,174,176,205,223,268
71,72,8165,110,8,0,3,3,3,3,3,3611,3834,3834,3834,3834,3834,11,12,67,36,46,79
72,73,8278,111,-1,0,0,0,0,0,0,3389,3612,3612,3612,3612,3612,11,6,36,6,40,26
73,74,8393,112,9,0,0,0,0,0,0,3165,3388,3388,3388,3388,3388,0,0,24,-18,17,63
74,75,8506,110,12,0,0,0,0,0,0,2945,3168,3168,3168,3168,3168,-5,12,24,0,23,74
75,76,8618,111,13,0,0,0,0,0,0,2723,2946,2946,2946,2946,2946,-5,0,24,-12,17,21
76,77,8734,112,10,0,0,0,0,0,0,2499,2722,2722,2722,2722,2722,5,-12,30,-6,23,5
77,78,8846,110,10,0,0,0,0,0,0,2279,2502,2502,2502,2502,2502,5,0,30,6,11,21
78,79,8958,112,1,0,0,0,0,0,0,2055,2278,2278,2278,2278,2278,5,0,24,-12,6,11
79,80,9074,112,9,0,0,0,0,0,0,1831,2054,2054,2054,2054,2054,-5,12,42,-6,17,11
80,81,9186,110,8,0,0,0,0,0,0,1611,1834,1834,1834,1834,1834,0,0,48,0,23,11
81,82,9298,111,2,0,0,0,0,0,0,1389,1612,1612,1612,1612,1612,0,48,30,-6,11,16
82,83,9414,112,9,1,0,0,0,0,0,1166,1388,1388,1388,1388,1388,0,-6,18,-12,17,11
83,84,9526,110,8,4,1,1,1,1,1,947,1169,1169,1169,1169,1169,5,6,30,-6,11,32
84,85,9638,111,1,14,4,4,4,4,4,730,949,949,949,949,949,-5,0,30,-6,17,16
85,86,9754,112,8,43,14,14,14,14,14,524,730,730,730,730,730,-5,-6,30,-12,17,21
86,87,9866,110,8,141,42,42,42,42,42,374,527,527,527,527,527,0,-6,24,6,11,16
87,88,9978,110,3,576,141,141,141,141,141,558,377,377,377,377,377,0,-12,30,-6,6,21
88,89,10091,110,9,3252,568,568,568,568,568,888,554,554,554,554,554,71,-12,30,0,23,47
89,90,10204,110,8,4816,3206,3206,3206,3206,3206,1218,884,884,884,884,884,257,150,127,72,97,68
90,91,10318,111,-1,5058,4823,4823,4823,4823,4823,1551,1217,1217,1217,1217,1217,809,323,333,253,286,263
91,92,10432,111,10,5094,5060,5060,5060,5060,5060,1884,1550,1550,1550,1550,1550,978,784,812,771,754,721
92,93,10545,110,10,5099,5094,5094,5094,5094,5094,2214,1880,1880,1880,1880,1880,995,982,988,958,971,963
93,94,10657,110,12,5100,5099,5099,5099,5099,5099,2544,2210,2210,2210,2210,2210,1011,1042,1006,1006,1000,995
94,95,10774,112,11,5100,5100,5100,5100,5100,5100,2880,2546,2546,2546,2546,2546,1005,1012,1042,1024,1034,1000
95,96,10886,110,10,5100,5100,5100,5100,5100,5100,3210,2876,2876,2876,2876,2876,995,1000,1012,1036,1017,995
96,97,10998,111,13,5100,5100,5100,5100,5100,5100,3543,3209,3209,3209,3209,3209,1011,988,1012,1006,1000,1000
97,98,11114,112,10,5100,5100,5100,5100,5100,5100,3878,3545,3545,3545,3545,3545,1011,1006,1018,994,1000,1000
98,99,11226,110,11,5098,5100,5100,5100,5100,5100,4207,3875,3875,3875,3875,3875,1000,994,1012,1060,1029,1000
