#Recorded data from Servotor32
#datetime: 20-11-2020_18h-27m-02s
#filename: tripod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-27m-02s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.113,0.11,0.009,1.026,0.0,0.0,0.0,0.0,0.0,11.46,3.81,3.81,3.81,3.81,3.81,-0.005,0.006,0.024,-0.012,0.006,0.011,0.0,0.006,0.024,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,1.0,0.811,0.811,0.811,0.811,0.811,11.46,3.81,3.81,3.81,3.81,3.81,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.226,0.11,0.007,0.158,0.0,0.0,0.0,0.0,0.0,11.24,3.59,3.59,3.59,3.59,3.59,0.033,0.006,0.03,-0.006,0.006,0.011,0.033,0.006,0.03,0.0,0.006,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.95,0.769,0.769,0.769,0.769,0.769,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
2,3,0.338,0.11,0.0,0.024,0.0,0.0,0.0,0.0,0.0,11.02,3.37,3.37,3.37,3.37,3.37,0.005,0.0,0.018,-0.006,0.011,0.011,0.005,0.0,0.018,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.944,0.72,0.72,0.72,0.72,0.72,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
3,4,0.454,0.112,0.01,0.003,0.0,0.0,0.0,0.0,0.0,10.796,3.146,3.146,3.146,3.146,3.146,0.005,0.0,0.042,-0.006,0.011,0.016,0.005,0.0,0.042,0.0,0.011,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.938,0.666,0.666,0.666,0.666,0.666,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
4,5,0.566,0.11,0.01,0.001,0.0,0.0,0.0,0.0,0.0,10.576,2.926,2.926,2.926,2.926,2.926,0.005,-0.006,0.024,-0.006,0.023,0.016,0.005,0.0,0.024,0.0,0.023,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.931,0.607,0.607,0.607,0.607,0.607,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
5,6,0.678,0.111,0.012,0.0,0.0,0.0,0.0,0.0,0.0,10.354,2.704,2.704,2.704,2.704,2.704,-0.005,-0.006,0.03,-0.012,0.011,0.011,0.0,0.0,0.03,0.0,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.923,0.544,0.544,0.544,0.544,0.544,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
6,7,0.792,0.111,0.01,0.0,0.0,0.0,0.0,0.0,0.0,10.132,2.482,2.482,2.482,2.482,2.482,0.016,-0.024,0.018,-0.006,0.006,0.021,0.016,0.0,0.018,0.0,0.006,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.914,0.48,0.48,0.48,0.48,0.48,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
7,8,0.905,0.11,0.009,0.0,0.0,0.0,0.0,0.0,0.0,9.912,2.262,2.262,2.262,2.262,2.262,0.005,-0.024,0.006,0.0,0.017,0.021,0.005,0.0,0.006,0.0,0.017,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.905,0.418,0.418,0.418,0.418,0.418,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
8,9,1.018,0.111,0.011,0.0,0.0,0.0,0.0,0.0,0.0,9.69,2.04,2.04,2.04,2.04,2.04,0.011,-0.018,0.03,-0.006,0.011,0.005,0.011,0.0,0.03,0.0,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.894,0.357,0.357,0.357,0.357,0.357,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
9,10,1.134,0.112,0.01,0.0,0.0,0.0,0.0,0.0,0.0,9.466,1.816,1.816,1.816,1.816,1.816,0.005,-0.018,0.018,0.018,0.017,0.011,0.005,0.0,0.018,0.018,0.017,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,11.24,5.1,5.1,5.1,5.1,5.1,0.882,0.3,0.3,0.3,0.3,0.3,11.46,3.81,3.81,3.81,3.81,3.81,0.524,1.155,1.155,1.155,1.155,1.155
