#Recorded data from Servotor32
#datetime: 20-11-2020_18h-35m-23s
#filename: identity_wave_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-35m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,116,113,11,7000,0,0,0,0,0,4470,3878,3878,3878,3878,3878,26,18,24,-6,0,21
1,2,230,110,13,7000,0,0,0,0,0,4949,3807,3807,3807,3807,3807,242,12,24,0,23,21
2,3,343,110,9,7000,0,0,0,0,0,5427,3735,3735,3735,3735,3735,747,18,36,-12,6,21
3,4,457,110,12,7000,0,0,0,0,0,5905,3664,3664,3664,3664,3664,958,48,41,12,11,32
4,5,572,111,12,6998,0,0,0,0,0,6386,3591,3591,3591,3591,3591,989,24,12,-6,-6,21
5,6,685,110,10,6975,0,0,0,0,0,6837,3520,3520,3520,3520,3520,1026,30,30,-6,-6,21
6,7,797,111,12,6697,0,0,0,0,0,6949,3448,3448,3448,3448,3448,989,18,12,12,-11,21
7,8,913,112,9,2932,0,0,0,0,0,6876,3375,3375,3375,3375,3375,989,77,24,6,-6,21
8,9,1025,110,10,451,0,0,0,0,0,6805,3303,3303,3303,3303,3303,858,-12,12,12,-6,26
9,10,1137,110,0,69,0,0,0,0,0,6733,3232,3232,3232,3232,3232,279,-6,0,-6,0,32
10,11,1251,111,10,10,0,0,0,0,0,6661,3160,3160,3160,3160,3160,63,-12,6,6,-6,32
11,12,1364,110,9,2,0,0,0,0,0,6590,3088,3088,3088,3088,3088,32,12,6,-12,0,26
12,13,1477,110,0,0,0,0,0,0,0,6518,3017,3017,3017,3017,3017,37,24,6,-12,0,21
13,14,1593,112,9,0,0,0,0,0,0,6445,2944,2944,2944,2944,2944,37,6,-6,0,0,37
14,15,1705,110,11,0,0,0,0,0,0,6374,2872,2872,2872,2872,2872,32,0,0,-6,0,21
15,16,1817,110,3,0,0,0,0,0,0,6302,2801,2801,2801,2801,2801,32,6,0,-6,-6,16
16,17,1932,111,10,0,0,0,0,0,0,6230,2729,2729,2729,2729,2729,26,0,6,-6,-6,16
