#Recorded data from Servotor32
#datetime: 20-11-2020_18h-35m-23s
#filename: identity_wave_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-35m-23s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 1
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.116,0.113,0.011,7.0,0.0,0.0,0.0,0.0,0.0,4.47,3.878,3.878,3.878,3.878,3.878,0.026,0.018,0.024,-0.006,0.0,0.021,0.026,0.018,0.024,0.0,0.0,0.021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.693,0.579,0.579,0.579,0.579,0.579,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
1,2,0.23,0.11,0.013,7.0,0.0,0.0,0.0,0.0,0.0,4.949,3.807,3.807,3.807,3.807,3.807,0.242,0.012,0.024,0.0,0.023,0.021,0.242,0.012,0.024,0.0,0.023,0.021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.772,0.564,0.564,0.564,0.564,0.564,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
2,3,0.343,0.11,0.009,7.0,0.0,0.0,0.0,0.0,0.0,5.427,3.735,3.735,3.735,3.735,3.735,0.747,0.018,0.036,-0.012,0.006,0.021,0.747,0.018,0.036,0.0,0.006,0.021,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.835,0.549,0.549,0.549,0.549,0.549,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
3,4,0.457,0.11,0.012,7.0,0.0,0.0,0.0,0.0,0.0,5.905,3.664,3.664,3.664,3.664,3.664,0.958,0.048,0.041,0.012,0.011,0.032,0.958,0.048,0.041,0.012,0.011,0.032,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.883,0.534,0.534,0.534,0.534,0.534,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
4,5,0.572,0.111,0.012,6.998,0.0,0.0,0.0,0.0,0.0,6.386,3.591,3.591,3.591,3.591,3.591,0.989,0.024,0.012,-0.006,-0.006,0.021,0.989,0.024,0.012,0.0,0.0,0.021,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.919,0.519,0.519,0.519,0.519,0.519,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
5,6,0.685,0.11,0.01,6.975,0.0,0.0,0.0,0.0,0.0,6.837,3.52,3.52,3.52,3.52,3.52,1.026,0.03,0.03,-0.006,-0.006,0.021,1.0,0.03,0.03,0.0,0.0,0.021,0.996,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.943,0.504,0.504,0.504,0.504,0.504,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
6,7,0.797,0.111,0.012,6.697,0.0,0.0,0.0,0.0,0.0,6.949,3.448,3.448,3.448,3.448,3.448,0.989,0.018,0.012,0.012,-0.011,0.021,0.989,0.018,0.012,0.012,0.0,0.021,0.95,0.0,0.0,0.0,0.0,0.0,0.332,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.948,0.489,0.489,0.489,0.489,0.489,4.47,3.878,3.878,3.878,3.878,3.878,0.841,0.841,0.841,0.841,0.841,0.841
7,8,0.913,0.112,0.009,2.932,0.0,0.0,0.0,0.0,0.0,6.876,3.375,3.375,3.375,3.375,3.375,0.989,0.077,0.024,0.006,-0.006,0.021,0.989,0.077,0.024,0.006,0.0,0.021,0.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.949,7.0,7.0,7.0,7.0,7.0,0.947,0.474,0.474,0.474,0.474,0.474,4.47,3.878,3.878,3.878,3.878,3.878,0.847,0.841,0.841,0.841,0.841,0.841
8,9,1.025,0.11,0.01,0.451,0.0,0.0,0.0,0.0,0.0,6.805,3.303,3.303,3.303,3.303,3.303,0.858,-0.012,0.012,0.012,-0.006,0.026,0.858,0.0,0.012,0.012,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.949,7.0,7.0,7.0,7.0,7.0,0.944,0.459,0.459,0.459,0.459,0.459,4.47,3.878,3.878,3.878,3.878,3.878,0.847,0.841,0.841,0.841,0.841,0.841
9,10,1.137,0.11,0.0,0.069,0.0,0.0,0.0,0.0,0.0,6.733,3.232,3.232,3.232,3.232,3.232,0.279,-0.006,0.0,-0.006,0.0,0.032,0.279,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.474,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,6.949,7.0,7.0,7.0,7.0,7.0,0.941,0.444,0.444,0.444,0.444,0.444,4.47,3.878,3.878,3.878,3.878,3.878,0.847,0.841,0.841,0.841,0.841,0.841
