#Recorded data from Servotor32
#datetime: 20-11-2020_18h-09m-42s
#filename: tetrapod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-09m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,5,0,0,6,6,-5
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,10,30,0,6,17,0
2,1,114,110,10,6000,-6000,0,6000,0,-6000,3803,813,3813,3803,3813,813,10,6,0,0,17,5
3,2,228,110,9,6000,-6000,0,6000,0,-6000,4204,664,3664,4204,3664,664,157,12,6,18,17,5
4,3,341,110,8,6000,-6000,0,6000,0,-6000,4606,516,3516,4606,3516,516,649,18,12,317,0,5
5,4,455,110,0,5999,-5999,0,5999,0,-5999,5007,367,3367,5007,3367,367,953,6,6,844,11,11
6,5,569,111,9,5995,-5995,0,5995,0,-5995,5408,217,3217,5408,3217,217,953,6,18,988,6,5
7,6,682,110,9,6150,-6106,-44,6150,-44,-6106,5833,79,3072,5819,3066,69,1042,18,6,1018,-6,0
8,7,795,110,0,5961,-5940,-21,5961,-21,-5940,6214,-67,2924,6231,2920,-77,963,6,0,1018,6,5
9,8,910,111,9,5960,-5899,-60,5960,-60,-5899,6602,-207,2777,6649,2770,-221,969,18,6,1024,0,11
10,9,1023,110,8,5178,-5217,39,5178,39,-5217,6902,-349,2646,6995,2625,-366,817,12,31,898,6,5
11,10,1135,111,1,3211,-3189,-22,3211,-22,-3189,7005,-495,2499,7124,2472,-513,455,6,6,503,-6,5
12,11,1250,112,8,964,-916,-48,964,-48,-916,6910,-630,2355,7037,2321,-664,99,30,12,114,0,0
13,12,1363,110,9,261,-138,-124,261,-124,-138,6773,-762,2206,6898,2169,-807,21,30,0,18,-6,11
14,13,1475,110,2,53,417,-470,53,-470,417,6627,-833,2065,6756,2021,-929,5,142,12,12,0,48
15,14,1589,111,9,3,1508,-1511,3,-1511,1508,6483,-798,1925,6610,1871,-940,10,331,18,6,0,250
16,15,1702,110,8,28,4017,-4045,28,-4045,4017,6340,-534,1773,6461,1725,-676,10,751,-6,0,6,750
17,16,1815,111,-1,5,5640,-5645,5,-5645,5640,6191,-125,1627,6318,1579,-283,0,1006,6,12,6,979
18,17,1929,111,9,-34,5949,-5915,-34,-5915,5949,6044,280,1487,6165,1426,122,5,1000,18,-6,-6,1000
19,18,2042,110,8,8,5994,-6003,8,-6003,5994,5898,681,1335,6013,1277,524,5,1000,-6,-6,0,1000
20,19,2155,111,-1,31,5997,-6028,31,-6028,5997,5751,1090,1185,5870,1131,935,5,1006,0,12,6,1011
21,20,2269,110,9,108,5868,-5976,108,-5976,5868,5606,1485,1037,5734,976,1330,5,988,0,24,-11,989
22,21,2381,110,8,87,5968,-6056,87,-6056,5968,5463,1890,885,5586,821,1732,10,1006,-6,0,-11,1000
23,22,2495,111,11,102,6149,-6251,102,-6251,6149,5319,2334,725,5439,671,2140,10,1071,-18,6,0,1005
24,23,2610,111,10,42,6008,-6050,42,-6050,6008,5175,2746,578,5296,525,2548,10,1012,6,12,6,1005
25,24,2723,110,10,34,6003,-6037,34,-6037,6003,5032,3154,430,5151,379,2952,10,1012,0,6,6,1005
