#Recorded data from Servotor32
#datetime: 20-11-2020_18h-09m-42s
#filename: tetrapod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-09m-42s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,0.005,0.0,0.0,0.006,0.006,-0.005,0.005,0.0,0.0,0.006,0.006,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,0.01,0.03,0.0,0.006,0.017,0.0,0.01,0.03,0.0,0.006,0.017,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.114,0.11,0.01,6.0,-6.0,0.0,6.0,0.0,-6.0,3.803,0.813,3.813,3.803,3.813,0.813,0.01,0.006,0.0,0.0,0.017,0.005,0.01,0.006,0.0,0.0,0.017,0.005,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.116,0.105,0.69,0.116,0.69,0.105,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.228,0.11,0.009,6.0,-6.0,0.0,6.0,0.0,-6.0,4.204,0.664,3.664,4.204,3.664,0.664,0.157,0.012,0.006,0.018,0.017,0.005,0.157,0.012,0.006,0.018,0.017,0.005,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.245,0.092,0.657,0.245,0.657,0.092,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
4,3,0.341,0.11,0.008,6.0,-6.0,0.0,6.0,0.0,-6.0,4.606,0.516,3.516,4.606,3.516,0.516,0.649,0.018,0.012,0.317,0.0,0.005,0.649,0.018,0.012,0.317,0.0,0.005,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.447,0.08,0.624,0.447,0.624,0.08,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
5,4,0.455,0.11,0.0,5.999,-5.999,0.0,5.999,0.0,-5.999,5.007,0.367,3.367,5.007,3.367,0.367,0.953,0.006,0.006,0.844,0.011,0.011,0.953,0.006,0.006,0.844,0.011,0.011,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.667,0.07,0.589,0.667,0.589,0.07,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
6,5,0.569,0.111,0.009,5.995,-5.995,0.0,5.995,0.0,-5.995,5.408,0.217,3.217,5.408,3.217,0.217,0.953,0.006,0.018,0.988,0.006,0.005,0.953,0.006,0.018,0.988,0.006,0.005,1.998,0.0,0.0,1.998,0.0,0.0,0.993,0.0,0.0,0.993,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.832,0.061,0.553,0.832,0.553,0.061,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
7,6,0.682,0.11,0.009,6.15,-6.106,-0.044,6.15,-0.044,-6.106,5.833,0.079,3.072,5.819,3.066,0.069,1.042,0.018,0.006,1.018,-0.006,0.0,1.0,0.018,0.006,1.0,0.0,0.0,2.0,0.036,0.012,2.0,0.0,0.0,0.976,0.0,0.0,0.976,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.929,0.054,0.518,0.927,0.516,0.053,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
8,7,0.795,0.11,0.0,5.961,-5.94,-0.021,5.961,-0.021,-5.94,6.214,-0.067,2.924,6.231,2.92,-0.077,0.963,0.006,0.0,1.018,0.006,0.005,0.963,0.006,0.0,1.0,0.006,0.005,1.926,0.012,0.0,2.0,0.012,0.01,0.655,0.0,0.0,0.67,0.0,0.0,4.808,2.966,3.0,4.816,3.0,2.962,3.401,-0.067,0.0,3.401,0.0,-0.077,6.214,6.0,6.0,6.231,6.0,6.0,0.95,0.05,0.481,0.95,0.48,0.05,3.0,1.11,4.11,3.0,4.11,1.11,2.093,0.971,0.981,2.081,0.981,0.969
9,8,0.91,0.111,0.009,5.96,-5.899,-0.06,5.96,-0.06,-5.899,6.602,-0.207,2.777,6.649,2.77,-0.221,0.969,0.018,0.006,1.024,0.0,0.011,0.969,0.018,0.006,1.0,0.0,0.011,1.938,0.036,0.012,2.0,0.0,0.022,0.219,0.0,0.0,0.205,0.0,0.0,5.002,2.896,3.0,5.025,3.0,2.89,3.401,-0.207,0.0,3.401,0.0,-0.221,6.602,6.0,6.0,6.649,6.0,6.0,0.95,0.05,0.445,0.95,0.444,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.84,0.949,0.981,1.813,0.981,0.947
10,9,1.023,0.11,0.008,5.178,-5.217,0.039,5.178,0.039,-5.217,6.902,-0.349,2.646,6.995,2.625,-0.366,0.817,0.012,0.031,0.898,0.006,0.005,0.817,0.012,0.031,0.898,0.006,0.005,1.634,0.024,0.062,1.796,0.012,0.01,0.001,0.0,0.0,0.001,0.0,0.0,5.152,2.826,3.0,5.198,3.0,2.817,3.401,-0.349,0.0,3.401,0.0,-0.366,6.902,6.0,6.0,6.995,6.0,6.0,0.95,0.05,0.414,0.95,0.409,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.682,0.928,0.981,1.639,0.981,0.925
11,10,1.135,0.111,0.001,3.211,-3.189,-0.022,3.211,-0.022,-3.189,7.005,-0.495,2.499,7.124,2.472,-0.513,0.455,0.006,0.006,0.503,-0.006,0.005,0.455,0.006,0.006,0.503,0.0,0.005,0.91,0.012,0.012,1.006,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.203,2.752,3.0,5.262,3.0,2.744,3.401,-0.495,0.0,3.401,0.0,-0.513,7.005,6.0,6.0,7.124,6.0,6.0,0.95,0.05,0.379,0.95,0.373,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.907,0.981,1.582,0.981,0.904
12,11,1.25,0.112,0.008,0.964,-0.916,-0.048,0.964,-0.048,-0.916,6.91,-0.63,2.355,7.037,2.321,-0.664,0.099,0.03,0.012,0.114,0.0,0.0,0.099,0.03,0.012,0.114,0.0,0.0,0.198,0.06,0.024,0.228,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.118,5.203,2.685,3.0,5.262,3.0,2.668,3.401,-0.63,0.0,3.401,0.0,-0.664,7.005,6.0,6.0,7.124,6.0,6.0,0.942,0.05,0.347,0.943,0.339,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.888,0.981,1.582,0.981,0.884
13,12,1.363,0.11,0.009,0.261,-0.138,-0.124,0.261,-0.124,-0.138,6.773,-0.762,2.206,6.898,2.169,-0.807,0.021,0.03,0.0,0.018,-0.006,0.011,0.021,0.03,0.0,0.018,0.0,0.011,0.042,0.06,0.0,0.036,0.0,0.022,0.0,0.921,0.0,0.0,0.0,0.933,5.203,2.619,3.0,5.262,3.0,2.596,3.401,-0.762,0.0,3.401,0.0,-0.807,7.005,6.0,6.0,7.124,6.0,6.0,0.929,0.05,0.314,0.93,0.307,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.871,0.981,1.582,0.981,0.865
14,13,1.475,0.11,0.002,0.053,0.417,-0.47,0.053,-0.47,0.417,6.627,-0.833,2.065,6.756,2.021,-0.929,0.005,0.142,0.012,0.012,0.0,0.048,0.005,0.142,0.012,0.012,0.0,0.048,0.01,0.284,0.024,0.024,0.0,0.096,0.0,0.997,0.0,0.0,0.0,0.998,5.203,2.584,3.0,5.262,3.0,2.536,3.401,-0.833,0.0,3.401,0.0,-0.929,7.005,6.0,6.0,7.124,6.0,6.0,0.911,0.05,0.285,0.914,0.277,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.85
15,14,1.589,0.111,0.009,0.003,1.508,-1.511,0.003,-1.511,1.508,6.483,-0.798,1.925,6.61,1.871,-0.94,0.01,0.331,0.018,0.006,0.0,0.25,0.01,0.331,0.018,0.006,0.0,0.25,0.02,0.662,0.036,0.012,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.89,0.051,0.258,0.894,0.248,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
16,15,1.702,0.11,0.008,0.028,4.017,-4.045,0.028,-4.045,4.017,6.34,-0.534,1.773,6.461,1.725,-0.676,0.01,0.751,-0.006,0.0,0.006,0.75,0.01,0.751,0.0,0.0,0.006,0.75,0.02,1.502,0.0,0.0,0.012,1.5,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.865,0.064,0.231,0.869,0.222,0.062,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
17,16,1.815,0.111,-0.001,0.005,5.64,-5.645,0.005,-5.645,5.64,6.191,-0.125,1.627,6.318,1.579,-0.283,0.0,1.006,0.006,0.012,0.006,0.979,0.0,1.0,0.006,0.012,0.006,0.979,0.0,2.0,0.012,0.024,0.012,1.958,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.834,0.088,0.206,0.842,0.199,0.084,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
18,17,1.929,0.111,0.009,-0.034,5.949,-5.915,-0.034,-5.915,5.949,6.044,0.28,1.487,6.165,1.426,0.122,0.005,1.0,0.018,-0.006,-0.006,1.0,0.005,1.0,0.018,0.0,0.0,1.0,0.01,2.0,0.036,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.798,0.121,0.185,0.807,0.176,0.115,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
19,18,2.042,0.11,0.008,0.008,5.994,-6.003,0.008,-6.003,5.994,5.898,0.681,1.335,6.013,1.277,0.524,0.005,1.0,-0.006,-0.006,0.0,1.0,0.005,1.0,0.0,0.0,0.0,1.0,0.01,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.757,0.163,0.163,0.766,0.156,0.154,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
20,19,2.155,0.111,-0.001,0.031,5.997,-6.028,0.031,-6.028,5.997,5.751,1.09,1.185,5.87,1.131,0.935,0.005,1.006,0.0,0.012,0.006,1.011,0.005,1.0,0.0,0.012,0.006,1.0,0.01,2.0,0.0,0.024,0.012,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.71,0.216,0.144,0.723,0.138,0.205,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
21,20,2.269,0.11,0.009,0.108,5.868,-5.976,0.108,-5.976,5.868,5.606,1.485,1.037,5.734,0.976,1.33,0.005,0.988,0.0,0.024,-0.011,0.989,0.005,0.988,0.0,0.024,0.0,0.989,0.01,1.976,0.0,0.048,0.0,1.978,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.659,0.28,0.127,0.678,0.121,0.265,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
22,21,2.381,0.11,0.008,0.087,5.968,-6.056,0.087,-6.056,5.968,5.463,1.89,0.885,5.586,0.821,1.732,0.01,1.006,-0.006,0.0,-0.011,1.0,0.01,1.0,0.0,0.0,0.0,1.0,0.02,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.605,0.355,0.111,0.625,0.105,0.337,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
23,22,2.495,0.111,0.011,0.102,6.149,-6.251,0.102,-6.251,6.149,5.319,2.334,0.725,5.439,0.671,2.14,0.01,1.071,-0.018,0.006,0.0,1.005,0.01,1.0,0.0,0.006,0.0,1.0,0.02,2.0,0.0,0.012,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.547,0.446,0.097,0.569,0.092,0.418,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
24,23,2.61,0.111,0.01,0.042,6.008,-6.05,0.042,-6.05,6.008,5.175,2.746,0.578,5.296,0.525,2.548,0.01,1.012,0.006,0.012,0.006,1.005,0.01,1.0,0.006,0.012,0.006,1.0,0.02,2.0,0.012,0.024,0.012,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.489,0.535,0.085,0.513,0.081,0.504,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
25,24,2.723,0.11,0.01,0.034,6.003,-6.037,0.034,-6.037,6.003,5.032,3.154,0.43,5.151,0.379,2.952,0.01,1.012,0.0,0.006,0.006,1.005,0.01,1.0,0.0,0.006,0.006,1.0,0.02,2.0,0.0,0.012,0.012,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.203,2.584,3.0,5.262,3.0,2.53,3.401,-0.833,0.0,3.401,0.0,-0.94,7.005,6.0,6.0,7.124,6.0,6.0,0.431,0.621,0.074,0.456,0.071,0.589,3.0,1.11,4.11,3.0,4.11,1.11,1.634,0.862,0.981,1.582,0.981,0.849
