#Recorded data from Servotor32
#datetime: 20-11-2020_18h-11m-12s
#filename: tripod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-11m-12s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,112,-2,5100,-5100,5100,-5100,5100,-5100,3216,1256,3216,1256,3216,1256,65,0,0,-6,-6,46
1,2,227,110,9,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,135,35,123,6,98,5
2,3,340,110,8,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,654,18,681,-18,636,-5
3,4,454,112,-2,5098,-5098,5098,-5098,5098,-5098,4210,592,4210,592,4210,592,935,12,1025,0,960,10
4,5,567,110,9,5090,-5090,5090,-5090,5090,-5090,4534,372,4534,372,4534,372,995,12,994,-12,994,5
5,6,680,110,8,5096,-5096,5096,-5096,5096,-5096,4861,152,4850,146,4870,149,995,0,975,-12,1012,-5
6,7,794,111,-1,5074,-5074,5074,-5074,5074,-5074,5188,-67,5176,-80,5206,-73,989,6,988,-6,1006,0
7,8,908,110,9,5073,-5073,5073,-5073,5073,-5073,5521,-284,5506,-300,5536,-284,1005,6,1000,0,1000,15
8,9,1021,110,8,4447,-4447,4447,-4447,4447,-4447,5776,-497,5742,-523,5793,-502,865,12,828,-6,867,5
9,10,1134,111,-1,3484,-3484,3484,-3484,3484,-3484,5899,-719,5871,-742,5959,-726,622,0,632,6,699,-5
10,11,1250,112,8,1376,-1376,1376,-1376,1376,-1376,5794,-940,5757,-969,5852,-948,211,6,196,-6,208,5
11,12,1362,110,7,249,-249,249,-249,249,-249,5594,-1127,5543,-1192,5648,-1168,38,59,12,-6,29,0
12,13,1474,112,1,39,-39,39,-39,39,-39,5388,-1338,5313,-1416,5430,-1389,32,24,-12,0,12,5
13,14,1588,111,9,-857,857,-857,857,-857,857,5178,-1423,5080,-1538,5205,-1520,22,247,-18,181,-6,163
14,15,1702,110,8,-3029,3029,-3029,3029,-3029,3029,4967,-1245,4860,-1381,4985,-1398,16,724,0,684,0,622
