#Recorded data from Servotor32
#datetime: 20-11-2020_18h-11m-12s
#filename: tripod_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-11m-12s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.114,0.112,-0.002,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.216,1.256,3.216,1.256,3.216,1.256,0.065,0.0,0.0,-0.006,-0.006,0.046,0.065,0.0,0.0,0.0,0.0,0.046,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.683,0.183,0.683,0.183,0.683,0.183,3.216,1.256,3.216,1.256,3.216,1.256,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.227,0.11,0.009,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,0.135,0.035,0.123,0.006,0.098,0.005,0.135,0.035,0.123,0.006,0.098,0.005,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.76,0.148,0.76,0.148,0.76,0.148,3.216,1.256,3.216,1.256,3.216,1.256,1.155,1.155,1.155,1.155,1.155,1.155
2,3,0.34,0.11,0.008,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.654,0.018,0.681,-0.018,0.636,-0.005,0.654,0.018,0.681,0.0,0.636,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.155,0.119,0.155,0.119,0.155,0.119,3.216,1.256,3.216,1.256,3.216,1.256,3.789,1.155,3.789,1.155,3.789,1.155
3,4,0.454,0.112,-0.002,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.21,0.592,4.21,0.592,4.21,0.592,0.935,0.012,1.025,0.0,0.96,0.01,0.935,0.012,1.0,0.0,0.96,0.01,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.395,0.094,0.395,0.094,0.395,0.094,3.216,1.256,3.216,1.256,3.216,1.256,3.789,1.155,3.789,1.155,3.789,1.155
4,5,0.567,0.11,0.009,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,0.995,0.012,0.994,-0.012,0.994,0.005,0.995,0.012,0.994,0.0,0.994,0.005,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.69,0.075,0.69,0.075,0.69,0.075,3.216,1.256,3.216,1.256,3.216,1.256,3.789,1.155,3.789,1.155,3.789,1.155
5,6,0.68,0.11,0.008,5.096,-5.096,5.096,-5.096,5.096,-5.096,4.861,0.152,4.85,0.146,4.87,0.149,0.995,0.0,0.975,-0.012,1.012,-0.005,0.995,0.0,0.975,0.0,1.0,0.0,2.985,0.0,2.925,0.0,3.0,0.0,0.943,0.0,0.943,0.0,0.943,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.885,0.059,0.88,0.059,0.888,0.059,3.216,1.256,3.216,1.256,3.216,1.256,3.789,1.155,3.789,1.155,3.789,1.155
6,7,0.794,0.111,-0.001,5.074,-5.074,5.074,-5.074,5.074,-5.074,5.188,-0.067,5.176,-0.08,5.206,-0.073,0.989,0.006,0.988,-0.006,1.006,0.0,0.989,0.006,0.988,0.0,1.0,0.0,2.967,0.018,2.964,0.0,3.0,0.0,0.744,0.0,0.754,0.0,0.735,0.0,4.367,2.516,4.361,2.51,4.376,2.513,3.546,-0.067,3.546,-0.08,3.546,-0.073,5.188,5.1,5.176,5.1,5.206,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.216,1.256,3.216,1.256,3.216,1.256,3.586,1.14,3.613,1.137,3.548,1.138
7,8,0.908,0.11,0.009,5.073,-5.073,5.073,-5.073,5.073,-5.073,5.521,-0.284,5.506,-0.3,5.536,-0.284,1.005,0.006,1.0,0.0,1.0,0.015,1.0,0.006,1.0,0.0,1.0,0.015,3.0,0.018,3.0,0.0,3.0,0.045,0.36,0.0,0.374,0.0,0.34,0.0,4.534,2.408,4.526,2.4,4.541,2.408,3.546,-0.284,3.546,-0.3,3.546,-0.284,5.521,5.1,5.506,5.1,5.536,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.216,1.256,3.216,1.256,3.216,1.256,2.982,1.094,3.005,1.091,2.959,1.094
8,9,1.021,0.11,0.008,4.447,-4.447,4.447,-4.447,4.447,-4.447,5.776,-0.497,5.742,-0.523,5.793,-0.502,0.865,0.012,0.828,-0.006,0.867,0.005,0.865,0.012,0.828,0.0,0.867,0.005,2.595,0.036,2.484,0.0,2.601,0.015,0.005,0.0,0.005,0.0,0.004,0.0,4.661,2.302,4.644,2.288,4.67,2.299,3.546,-0.497,3.546,-0.523,3.546,-0.502,5.776,5.1,5.742,5.1,5.793,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.216,1.256,3.216,1.256,3.216,1.256,2.641,1.052,2.682,1.047,2.621,1.051
9,10,1.134,0.111,-0.001,3.484,-3.484,3.484,-3.484,3.484,-3.484,5.899,-0.719,5.871,-0.742,5.959,-0.726,0.622,0.0,0.632,0.006,0.699,-0.005,0.622,0.0,0.632,0.006,0.699,0.0,1.866,0.0,1.896,0.018,2.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722,2.19,4.709,2.179,4.752,2.187,3.546,-0.719,3.546,-0.742,3.546,-0.726,5.899,5.1,5.871,5.1,5.959,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.216,1.256,3.216,1.256,3.216,1.256,2.503,1.012,2.533,1.008,2.44,1.011
