#Recorded data from Servotor32
#datetime: 20-11-2020_18h-05m-54s
#filename: identity_wave_x_b_sensors_closed_vertical_air_unloaded_20-11-2020_18h-05m-54s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,5,-6,18,6,0,11
1,0,0,110,0,7000,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,16,-12,18,12,6,11
2,1,114,111,-1,7000,-7000,-4200,-1400,1400,4200,4461,379,1779,3179,4579,5979,5,-18,30,6,11,11
3,2,227,110,8,6999,-7000,-4200,-1400,1400,4201,4940,308,1708,3108,4508,5908,169,-12,36,12,22,16
4,3,340,110,5,6999,-7001,-4200,-1400,1401,4201,5418,236,1636,3036,4436,5837,672,6,30,17,17,21
5,4,454,110,0,6998,-7001,-4200,-1400,1401,4201,5897,165,1565,2965,4365,5765,951,0,24,17,6,11
6,5,568,111,8,6996,-6999,-4199,-1399,1401,4201,6377,93,1493,2893,4293,5693,1000,0,18,6,6,11
7,6,680,110,6,6884,-7140,-4125,-1280,1404,4255,6862,18,1425,2831,4224,5633,1011,-6,6,17,6,21
8,7,794,111,-1,6966,-6939,-4010,-1451,1264,4169,7345,-54,1366,2765,4152,5564,1000,0,24,12,0,5
9,8,909,111,10,6859,-6848,-3986,-1350,1233,4092,7818,-126,1300,2702,4080,5495,984,0,12,17,0,5
10,9,1022,110,10,5929,-6035,-3416,-1175,1157,3540,8216,-195,1245,2644,4021,5435,852,6,30,23,22,21
11,10,1134,112,1,3438,-3579,-1927,-674,685,2057,8397,-271,1183,2577,3954,5368,454,-6,18,12,11,11
12,11,1250,112,8,769,-884,-388,-121,83,540,8361,-344,1117,2514,3882,5304,66,0,12,17,0,16
13,12,1362,110,8,327,234,-303,-202,-182,125,8295,-379,1055,2455,3813,5239,11,65,18,23,6,11
14,13,1474,110,0,53,194,91,-174,-102,-61,8227,-441,1003,2390,3751,5173,5,18,36,12,17,11
15,14,1590,112,8,812,1450,-1312,-913,-289,252,8157,-380,941,2321,3684,5106,5,238,18,6,11,11
