#Recorded data from Servotor32
#datetime: 20-11-2020_18h-15m-43s
#filename: tetrapod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-15m-43s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,116,112,9,6000,-6000,0,6000,0,-6000,3810,810,3810,3810,3810,810,0,-24,0,0,-17,-5
1,2,228,110,8,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,224,-24,0,213,0,11
2,3,340,111,2,6000,-6000,0,6000,0,-6000,4617,512,3512,4617,3512,512,738,-18,-6,692,-11,5
3,4,454,110,9,5999,-5999,0,5999,0,-5999,5018,363,3363,5018,3363,363,956,-18,6,947,-11,0
4,5,567,110,10,5995,-5995,0,5995,0,-5995,5415,215,3215,5415,3215,215,1005,-12,19,988,6,-5
5,6,680,110,0,5961,-5961,0,5961,0,-5961,5783,66,3066,5783,3066,66,1011,0,6,1000,-11,0
6,7,793,110,10,5683,-5683,0,5683,0,-5683,5842,-82,2918,5842,2918,-82,1011,-12,12,1006,-6,5
7,8,906,110,7,2791,-2791,0,2791,0,-2791,5694,-231,2769,5694,2769,-231,989,-12,6,1006,6,5
8,9,1020,110,0,429,-429,0,429,0,-429,5545,-231,2621,5545,2621,-231,831,0,25,888,-6,0
9,10,1134,111,9,63,1323,-1385,63,-1385,1323,5395,174,2471,5395,2471,174,257,60,6,314,-11,-16
10,11,1247,110,8,10,5278,-5288,10,-5288,5278,5247,576,2322,5247,2322,576,33,108,12,41,0,90
11,12,1360,111,-1,1,5895,-5896,1,-5896,5895,5097,981,2172,5097,2172,981,11,542,12,12,-6,513
12,13,1473,110,9,0,5984,-5984,0,-5984,5984,4948,1382,2024,4948,2024,1382,5,928,0,6,-11,899
13,14,1587,110,9,0,5998,-5998,0,-5998,5998,4800,1784,1875,4800,1875,1784,11,994,6,6,-6,984
14,15,1700,111,-1,0,6000,-6000,0,-6000,6000,4650,2189,1725,4650,1725,2189,11,1012,6,0,-6,1005
15,16,1815,112,9,0,6000,-6000,0,-6000,6000,4499,2598,1574,4499,1574,2598,16,994,6,0,-11,1000
