#Recorded data from Servotor32
#datetime: 20-11-2020_18h-14m-01s
#filename: tripod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-14m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,110,10,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,11,-6,0,6,23,5
1,2,230,112,8,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,220,0,224,17,172,5
2,3,343,110,9,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,747,-12,789,6,736,5
3,4,456,110,0,5098,-5098,5098,-5098,5098,-5098,4204,596,4204,596,4204,596,962,0,981,12,971,11
4,5,570,111,9,5090,-5090,5090,-5090,5090,-5090,4531,374,4531,374,4531,374,1000,0,1012,6,1006,11
5,6,682,110,8,5048,-5048,5048,-5048,5048,-5048,4822,154,4822,154,4822,154,995,0,1025,35,1000,0
6,7,795,110,11,4789,-4789,4789,-4789,4789,-4789,4854,-66,4854,-66,4854,-66,1000,0,1012,6,989,11
7,8,912,112,9,2677,-2677,2677,-2677,2677,-2677,4630,-290,4630,-290,4630,-290,973,0,975,6,977,11
8,9,1024,110,8,412,-412,412,-412,412,-412,4410,-316,4410,-316,4410,-316,786,-18,776,29,822,16
9,10,1136,110,0,-1457,1457,-1457,1457,-1457,1457,4190,14,4190,14,4190,14,302,-24,261,17,339,54
10,11,1251,111,8,-4567,4567,-4567,4567,-4567,4567,3968,347,3968,347,3968,347,27,157,56,105,40,76
11,12,1364,110,8,-5018,5018,-5018,5018,-5018,5018,3748,677,3748,677,3748,677,11,663,19,622,23,632
12,13,1476,111,1,-5088,5088,-5088,5088,-5088,5088,3526,1010,3526,1010,3526,1010,5,982,12,907,-6,941
13,14,1590,110,10,-5098,5098,-5098,5098,-5098,5098,3306,1340,3306,1340,3306,1340,-5,1000,12,1017,6,1005
14,15,1704,110,10,-5100,5100,-5100,5100,-5100,5100,3086,1670,3086,1670,3086,1670,0,1006,6,994,-6,1016
15,16,1816,110,0,-5100,5100,-5100,5100,-5100,5100,2866,2000,2866,2000,2866,2000,0,1006,0,1000,17,1011
16,17,1929,110,10,-5100,5100,-5100,5100,-5100,5100,2646,2330,2646,2330,2646,2330,11,1012,0,977,0,1027
17,18,2042,110,9,-5100,5100,-5100,5100,-5100,5100,2426,2660,2426,2660,2426,2660,-5,1012,6,1035,0,1022
18,19,2156,111,11,-5100,5100,-5100,5100,-5100,5100,2204,2993,2204,2993,2204,2993,-5,1006,0,994,0,1022
19,20,2269,110,10,-5100,5100,-5100,5100,-5100,5100,1984,3323,1984,3323,1984,3323,0,1006,0,988,11,1011
20,21,2382,110,9,-5100,5100,-5100,5100,-5100,5100,1764,3653,1764,3653,1764,3653,-5,1072,6,988,-6,1016
21,22,2496,111,-1,-5099,5099,-5099,5099,-5099,5099,1542,3985,1542,3985,1542,3985,0,1000,-6,1006,0,1011
22,23,2610,110,9,-5097,5097,-5097,5097,-5097,5097,1322,4313,1322,4313,1322,4313,-11,1000,-6,994,6,1016
23,24,2723,110,9,-5083,5083,-5083,5083,-5083,5083,1102,4632,1102,4632,1102,4632,-5,1078,0,1000,-6,1022
24,25,2836,111,-1,-5007,5007,-5007,5007,-5007,5007,880,4891,880,4891,880,4891,-5,1018,6,1000,0,1022
25,26,2951,111,9,-4508,4508,-4508,4508,-4508,4508,658,4740,658,4740,658,4740,-11,1012,19,988,-6,1011
26,27,3064,110,8,-1247,1247,-1247,1247,-1247,1247,438,4520,438,4520,438,4520,5,904,0,942,0,941
27,28,3176,110,2,-192,192,-192,192,-192,192,241,4300,241,4300,241,4300,5,753,19,785,0,805
28,29,3292,112,8,154,-154,154,-154,154,-154,237,4076,237,4076,237,4076,-5,193,12,221,0,292
