#Recorded data from Servotor32
#datetime: 20-11-2020_18h-14m-01s
#filename: tripod_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-14m-01s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.114,0.11,0.01,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.21,1.26,3.21,1.26,3.21,1.26,0.011,-0.006,0.0,0.006,0.023,0.005,0.011,0.0,0.0,0.006,0.023,0.005,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.682,0.184,0.682,0.184,0.682,0.184,3.21,1.26,3.21,1.26,3.21,1.26,1.155,1.155,1.155,1.155,1.155,1.155
1,2,0.23,0.112,0.008,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,0.22,0.0,0.224,0.017,0.172,0.005,0.22,0.0,0.224,0.017,0.172,0.005,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.76,0.148,0.76,0.148,0.76,0.148,3.21,1.26,3.21,1.26,3.21,1.26,1.155,1.155,1.155,1.155,1.155,1.155
2,3,0.343,0.11,0.009,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.747,-0.012,0.789,0.006,0.736,0.005,0.747,0.0,0.789,0.006,0.736,0.005,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.155,0.119,0.155,0.119,0.155,0.119,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
3,4,0.456,0.11,0.0,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.204,0.596,4.204,0.596,4.204,0.596,0.962,0.0,0.981,0.012,0.971,0.011,0.962,0.0,0.981,0.012,0.971,0.011,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.389,0.095,0.389,0.095,0.389,0.095,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
4,5,0.57,0.111,0.009,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.531,0.374,4.531,0.374,4.531,0.374,1.0,0.0,1.012,0.006,1.006,0.011,1.0,0.0,1.0,0.006,1.0,0.011,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.687,0.075,0.687,0.075,0.687,0.075,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
5,6,0.682,0.11,0.008,5.048,-5.048,5.048,-5.048,5.048,-5.048,4.822,0.154,4.822,0.154,4.822,0.154,0.995,0.0,1.025,0.035,1.0,0.0,0.995,0.0,1.0,0.035,1.0,0.0,2.965,0.0,2.965,0.0,2.965,0.0,0.93,0.0,0.93,0.0,0.93,0.0,4.323,2.55,4.323,2.55,4.323,2.55,3.546,0.0,3.546,0.0,3.546,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.869,0.059,0.869,0.059,0.869,0.059,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.155,3.789,1.155,3.789,1.155
6,7,0.795,0.11,0.011,4.789,-4.789,4.789,-4.789,4.789,-4.789,4.854,-0.066,4.854,-0.066,4.854,-0.066,1.0,0.0,1.012,0.006,0.989,0.011,1.0,0.0,1.0,0.006,0.989,0.011,2.79,0.0,2.79,0.0,2.79,0.0,0.459,0.0,0.459,0.0,0.459,0.0,4.323,2.517,4.323,2.517,4.323,2.517,3.546,-0.066,3.546,-0.066,3.546,-0.066,5.1,5.1,5.1,5.1,5.1,5.1,0.882,0.05,0.882,0.05,0.882,0.05,3.21,1.26,3.21,1.26,3.21,1.26,3.789,1.14,3.789,1.14,3.789,1.14
7,8,0.912,0.112,0.009,2.677,-2.677,2.677,-2.677,2.677,-2.677,4.63,-0.29,4.63,-0.29,4.63,-0.29,0.973,0.0,0.975,0.006,0.977,0.011,0.973,0.0,0.975,0.006,0.977,0.011,1.377,0.0,1.377,0.0,1.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.405,4.2,2.405,4.2,2.405,3.546,-0.29,3.546,-0.29,3.546,-0.29,4.854,5.1,4.854,5.1,4.854,5.1,0.874,0.05,0.874,0.05,0.874,0.05,3.21,1.26,3.21,1.26,3.21,1.26,4.502,1.093,4.502,1.093,4.502,1.093
8,9,1.024,0.11,0.008,0.412,-0.412,0.412,-0.412,0.412,-0.412,4.41,-0.316,4.41,-0.316,4.41,-0.316,0.786,-0.018,0.776,0.029,0.822,0.016,0.786,0.0,0.776,0.029,0.822,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352,0.0,0.352,0.0,0.352,4.2,2.392,4.2,2.392,4.2,2.392,3.546,-0.316,3.546,-0.316,3.546,-0.316,4.854,5.1,4.854,5.1,4.854,5.1,0.72,0.05,0.72,0.05,0.72,0.05,3.21,1.26,3.21,1.26,3.21,1.26,4.502,1.087,4.502,1.087,4.502,1.087
9,10,1.136,0.11,0.0,-1.457,1.457,-1.457,1.457,-1.457,1.457,4.19,0.014,4.19,0.014,4.19,0.014,0.302,-0.024,0.261,0.017,0.339,0.054,0.302,0.0,0.261,0.017,0.339,0.054,0.0,1.056,0.0,1.056,0.0,1.056,0.0,1.0,0.0,1.0,0.0,1.0,4.2,2.392,4.2,2.392,4.2,2.392,3.546,-0.316,3.546,-0.316,3.546,-0.316,4.854,5.1,4.854,5.1,4.854,5.1,0.489,0.07,0.489,0.07,0.489,0.07,3.21,1.26,3.21,1.26,3.21,1.26,4.502,1.087,4.502,1.087,4.502,1.087
