#Recorded data from Servotor32
#datetime: 20-11-2020_18h-17m-06s
#filename: wave_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-17m-06s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,2,230,111,9,6999,-7000,-4200,-1400,1400,4201,4944,307,1707,3107,4507,5907,104,30,0,0,0,-5
1,3,342,110,7,6999,-7001,-4200,-1400,1401,4201,5423,236,1636,3036,4436,5836,645,12,-6,-24,6,-5
2,4,455,111,-1,6998,-7001,-4200,-1400,1401,4201,5905,164,1564,2964,4364,5764,934,12,-6,-6,0,-5
3,5,570,111,8,6996,-6999,-4199,-1399,1401,4200,6386,91,1491,2891,4291,5692,1011,12,-6,0,-6,0
4,6,683,110,8,6972,-6976,-4185,-1394,1396,4187,6836,20,1420,2820,4220,5621,1000,12,6,-6,0,5
5,7,795,110,0,6692,-6698,-4018,-1338,1341,4021,6945,-52,1348,2748,4148,5550,995,12,-6,0,-6,16
6,8,908,110,8,2964,-2969,-1781,-593,595,1783,6873,-123,1277,2677,4077,5478,984,30,0,6,0,5
7,9,1021,110,6,456,-457,-274,-91,92,274,6802,-107,1206,2605,4005,5407,847,18,12,-6,-6,27
8,10,1135,112,-2,638,895,-992,-589,-180,229,6729,376,1133,2533,3933,5334,251,6,6,-6,-6,0
9,11,1248,110,8,3629,6022,-6037,-3621,-1205,1212,6657,855,1061,2461,3861,5262,27,84,0,6,0,0
10,12,1361,110,7,4112,6850,-6852,-4111,-1370,1371,6586,1333,990,2390,3790,5191,-5,407,0,-12,0,27
11,13,1475,111,-1,4187,6978,-6978,-4187,-1396,1396,6514,1816,918,2317,3717,5119,0,850,-6,0,-11,-11
12,14,1591,112,9,4198,6997,-6997,-4198,-1399,1399,6441,2303,845,2245,3645,5046,5,1006,0,-6,0,-5
13,15,1703,110,9,4200,6999,-7000,-4200,-1400,1400,6370,2782,773,2173,3573,4974,16,1024,6,-6,6,5
14,16,1815,111,1,4200,7000,-7000,-4200,-1400,1400,6297,3265,701,2101,3501,4902,11,1018,6,-6,17,5
