#Recorded data from Servotor32
#datetime: 20-11-2020_18h-17m-06s
#filename: wave_x_b_sensors_open_vertical_air_unloaded_20-11-2020_18h-17m-06s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: air
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,2,0.23,0.111,0.009,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.944,0.307,1.707,3.107,4.507,5.907,0.104,0.03,0.0,0.0,0.0,-0.005,0.104,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.771,0.064,0.181,0.418,0.7,0.883,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.841,0.841,0.841,0.841,0.841
1,3,0.342,0.11,0.007,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.423,0.236,1.636,3.036,4.436,5.836,0.645,0.012,-0.006,-0.024,0.006,-0.005,0.645,0.012,0.0,0.0,0.006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.834,0.06,0.172,0.404,0.687,0.877,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.841,0.841,0.841,0.841,0.841
2,4,0.455,0.111,-0.001,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.905,0.164,1.564,2.964,4.364,5.764,0.934,0.012,-0.006,-0.006,0.0,-0.005,0.934,0.012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.218,2.918,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.436,5.836,0.883,0.057,0.164,0.389,0.945,0.946,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.841,0.841,0.841,1.328,1.009
3,5,0.57,0.111,0.008,6.996,-6.999,-4.199,-1.399,1.401,4.2,6.386,0.091,1.491,2.891,4.291,5.692,1.011,0.012,-0.006,0.0,-0.006,0.0,1.0,0.012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.218,2.918,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.436,5.836,0.919,0.054,0.156,0.375,0.94,0.943,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.841,0.841,0.841,1.328,1.009
4,6,0.683,0.11,0.008,6.972,-6.976,-4.185,-1.394,1.396,4.187,6.836,0.02,1.42,2.82,4.22,5.621,1.0,0.012,0.006,-0.006,0.0,0.005,1.0,0.012,0.006,0.0,0.0,0.005,0.996,0.0,0.0,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,2.218,2.918,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.436,5.836,0.943,0.051,0.148,0.361,0.934,0.939,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.841,0.841,0.841,1.328,1.009
5,7,0.795,0.11,0.0,6.692,-6.698,-4.018,-1.338,1.341,4.021,6.945,-0.052,1.348,2.748,4.148,5.55,0.995,0.012,-0.006,0.0,-0.006,0.016,0.995,0.012,0.0,0.0,0.0,0.016,0.949,0.0,0.0,0.0,0.0,0.001,0.327,0.0,0.0,0.0,0.0,0.0,3.5,3.474,3.5,3.5,2.218,2.918,0.0,-0.052,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.436,5.836,0.948,0.05,0.141,0.347,0.928,0.934,4.944,0.307,1.707,3.107,4.507,5.907,0.841,0.835,0.841,0.841,1.328,1.009
6,8,0.908,0.11,0.008,2.964,-2.969,-1.781,-0.593,0.595,1.783,6.873,-0.123,1.277,2.677,4.077,5.478,0.984,0.03,0.0,0.006,0.0,0.005,0.984,0.03,0.0,0.006,0.0,0.005,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.947,0.05,0.134,0.334,0.922,0.93,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
7,9,1.021,0.11,0.006,0.456,-0.457,-0.274,-0.091,0.092,0.274,6.802,-0.107,1.206,2.605,4.005,5.407,0.847,0.018,0.012,-0.006,-0.006,0.027,0.847,0.018,0.012,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.944,0.051,0.127,0.32,0.915,0.925,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
8,10,1.135,0.112,-0.002,0.638,0.895,-0.992,-0.589,-0.18,0.229,6.729,0.376,1.133,2.533,3.933,5.334,0.251,0.006,0.006,-0.006,-0.006,0.0,0.251,0.006,0.006,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.941,0.074,0.12,0.307,0.907,0.92,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
9,11,1.248,0.11,0.008,3.629,6.022,-6.037,-3.621,-1.205,1.212,6.657,0.855,1.061,2.461,3.861,5.262,0.027,0.084,0.0,0.006,0.0,0.0,0.027,0.084,0.0,0.006,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.937,0.106,0.114,0.294,0.899,0.914,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
10,12,1.361,0.11,0.007,4.112,6.85,-6.852,-4.111,-1.37,1.371,6.586,1.333,0.99,2.39,3.79,5.191,-0.005,0.407,0.0,-0.012,0.0,0.027,0.0,0.407,0.0,0.0,0.0,0.027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.933,0.149,0.108,0.282,0.89,0.908,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
11,13,1.475,0.111,-0.001,4.187,6.978,-6.978,-4.187,-1.396,1.396,6.514,1.816,0.918,2.317,3.717,5.119,0.0,0.85,-0.006,0.0,-0.011,-0.011,0.0,0.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.929,0.207,0.102,0.27,0.88,0.902,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
12,14,1.591,0.112,0.009,4.198,6.997,-6.997,-4.198,-1.399,1.399,6.441,2.303,0.845,2.245,3.645,5.046,0.005,1.006,0.0,-0.006,0.0,-0.005,0.005,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.925,0.281,0.097,0.258,0.869,0.895,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
13,15,1.703,0.11,0.009,4.2,6.999,-7.0,-4.2,-1.4,1.4,6.37,2.782,0.773,2.173,3.573,4.974,0.016,1.024,0.006,-0.006,0.006,0.005,0.016,1.0,0.006,0.0,0.006,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.921,0.368,0.092,0.247,0.858,0.888,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
14,16,1.815,0.111,0.001,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.297,3.265,0.701,2.101,3.501,4.902,0.011,1.018,0.006,-0.006,0.017,0.005,0.011,1.0,0.006,0.0,0.017,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.916,0.464,0.087,0.236,0.846,0.881,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
15,17,1.931,0.112,0.009,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.225,3.752,0.628,2.028,3.428,4.829,0.011,1.018,0.0,-0.006,-0.006,0.0,0.011,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.912,0.564,0.082,0.225,0.833,0.873,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
16,18,2.046,0.11,0.009,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.153,4.23,0.557,1.957,3.357,4.758,0.005,1.03,0.012,-0.006,-0.006,0.005,0.005,1.0,0.012,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.907,0.658,0.078,0.214,0.819,0.865,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
17,19,2.159,0.11,0.006,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.082,4.709,0.485,1.885,3.285,4.686,0.0,1.006,-0.006,-0.012,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.901,0.741,0.073,0.204,0.805,0.856,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
18,20,2.273,0.11,0.01,4.2,7.0,-7.0,-4.2,-1.4,1.4,6.01,5.187,0.414,1.814,3.214,4.615,0.005,1.012,0.0,-0.012,0.0,0.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.896,0.809,0.069,0.195,0.79,0.847,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
19,21,2.389,0.11,0.009,4.201,6.999,-7.0,-4.2,-1.4,1.4,5.939,5.666,0.342,1.742,3.142,4.543,-0.016,1.0,0.012,0.0,0.006,0.0,0.0,1.0,0.012,0.0,0.006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.89,0.863,0.066,0.186,0.773,0.837,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
20,22,2.501,0.11,0.006,4.2,6.999,-7.0,-4.2,-1.4,1.4,5.867,6.144,0.271,1.671,3.071,4.472,-0.027,0.994,0.0,-0.006,-0.006,0.0,0.0,0.994,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.884,0.904,0.062,0.177,0.756,0.828,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
21,23,2.615,0.111,-0.001,4.196,6.991,-6.993,-4.196,-1.398,1.399,5.795,6.618,0.199,1.599,2.999,4.4,0.016,1.012,0.0,0.006,0.006,0.016,0.016,1.0,0.0,0.006,0.006,0.016,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.986,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.0,7.0,7.0,4.436,5.836,0.878,0.933,0.059,0.168,0.738,0.817,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
22,24,2.731,0.112,0.008,4.149,6.912,-6.914,-4.148,-1.382,1.384,5.723,7.001,0.126,1.526,2.926,4.327,-0.027,1.006,-0.006,-0.006,-0.006,-0.005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.986,0.0,0.0,0.0,0.0,0.0,0.813,0.0,0.0,0.0,0.0,3.472,3.439,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.871,0.95,0.055,0.16,0.719,0.806,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
23,25,2.843,0.11,0.007,3.527,5.873,-5.876,-3.526,-1.175,1.176,5.651,6.931,0.054,1.454,2.854,4.255,-0.016,1.006,0.0,0.0,0.006,0.005,0.0,1.0,0.0,0.0,0.006,0.005,0.0,0.813,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,3.472,3.439,3.5,3.5,2.218,2.918,0.0,-0.123,0.0,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.864,0.947,0.052,0.152,0.699,0.794,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.841,0.841,1.328,1.009
24,26,2.955,0.112,0.001,0.501,0.835,-0.835,-0.501,-0.167,0.167,5.578,6.858,-0.012,1.381,2.781,4.183,-0.011,0.91,0.006,-0.006,0.0,0.021,0.0,0.91,0.006,0.0,0.0,0.021,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.856,0.944,0.05,0.144,0.679,0.782,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
25,27,3.069,0.111,0.008,0.087,0.164,-0.053,-0.142,-0.066,0.01,5.506,6.786,0.165,1.31,2.709,4.11,-0.016,0.749,0.006,-0.006,0.0,0.005,0.0,0.749,0.006,0.0,0.0,0.005,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.849,0.941,0.058,0.137,0.657,0.769,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
26,28,3.182,0.11,0.007,0.545,1.622,2.653,-2.679,-1.609,-0.532,5.435,6.715,0.644,1.238,2.638,4.039,-0.016,0.21,0.006,0.0,-0.006,0.005,0.0,0.21,0.006,0.0,0.0,0.005,0.0,0.0,0.449,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.841,0.937,0.084,0.13,0.636,0.756,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
27,29,3.295,0.112,0.001,1.282,3.843,6.398,-6.402,-3.841,-1.28,5.362,6.642,1.131,1.165,2.565,3.966,-0.011,0.024,0.155,-0.006,-0.006,0.027,0.0,0.024,0.155,0.0,0.0,0.027,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.832,0.934,0.121,0.123,0.613,0.742,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
28,31,3.523,0.11,0.008,1.397,4.192,6.987,-6.987,-4.192,-1.397,5.218,6.498,2.097,1.021,2.421,3.822,-0.016,0.0,0.975,0.0,0.0,0.011,0.0,0.0,0.975,0.0,0.0,0.011,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.815,0.926,0.236,0.111,0.567,0.713,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
29,32,3.635,0.11,0.002,1.4,4.199,6.998,-6.998,-4.199,-1.4,5.146,6.426,2.575,0.949,2.349,3.75,-0.022,0.018,1.006,0.006,-0.006,0.0,0.0,0.018,1.0,0.006,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.472,3.439,3.494,3.5,2.218,2.918,0.0,-0.123,-0.012,0.0,0.0,0.0,6.945,7.001,7.0,7.0,4.436,5.836,0.805,0.922,0.316,0.105,0.543,0.698,4.944,0.307,1.707,3.107,4.507,5.907,0.848,0.827,0.84,0.841,1.328,1.009
