#Recorded data from Servotor32
#datetime: 20-11-2020_21h-40m-37s
#filename: tetrapod_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-40m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,1000,441,-510,194,604,1022
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,1000,441,-529,184,594,1015
2,2,228,111,17,6000,-6000,0,6000,0,-6000,4215,660,3660,4215,3660,660,1330,625,1137,-112,369,82
3,3,340,110,20,6000,-6000,0,6000,0,-6000,4617,512,3512,4617,3512,512,886,456,706,388,503,187
4,4,455,112,15,5999,-5999,0,5999,0,-5999,5025,360,3360,5025,3360,360,966,375,529,602,583,358
5,5,569,111,25,5995,-5995,0,5995,0,-5995,5426,210,3210,5426,3210,210,1023,441,1039,592,449,157
6,6,681,110,22,5960,-5960,0,5960,0,-5960,5480,62,3062,5827,3062,62,1011,382,529,724,551,366
7,7,795,112,12,4359,-4359,0,4359,0,-4359,5329,-89,2911,5687,2911,-89,1000,360,392,857,481,127
8,8,908,110,14,721,-721,0,721,0,-721,5180,-238,2762,5538,2762,-228,1045,331,627,755,358,30
9,9,1020,110,12,111,-68,-43,111,-43,-68,5032,-386,2614,5390,2614,-342,1023,368,431,878,439,112
10,10,1134,112,10,15,156,-171,15,-171,156,4880,-528,2463,5239,2463,-412,1068,213,431,878,439,134
11,11,1248,111,13,2,437,-439,2,-439,437,4731,-522,2313,5089,2313,-357,1034,176,588,755,348,149
12,12,1360,110,12,0,1716,-1717,0,-1717,1716,4582,-124,2164,4940,2164,-52,1000,191,196,867,396,284
13,13,1473,110,11,0,4879,-4879,0,-4879,4879,4434,278,2016,4792,2016,349,1398,368,922,622,219,-22
14,14,1584,110,14,0,5828,-5828,0,-5828,5828,4285,679,1867,4643,1867,751,1159,169,510,847,396,75
15,15,1696,111,6,0,5975,-5975,0,-5975,5975,4135,1084,1717,4494,1717,1156,966,22,98,888,385,246
