#Recorded data from Servotor32
#datetime: 20-11-2020_21h-40m-37s
#filename: tetrapod_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-40m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,1.0,0.441,-0.51,0.194,0.604,1.022,1.0,0.441,0.0,0.194,0.604,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,1.0,0.441,-0.529,0.184,0.594,1.015,1.0,0.441,0.0,0.184,0.594,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,6.0,2.646,0.0,1.104,3.564,6.0,0.981,0.981,0.981,0.981,0.981,0.981
2,2,0.228,0.111,0.017,6.0,-6.0,0.0,6.0,0.0,-6.0,4.215,0.66,3.66,4.215,3.66,0.66,1.33,0.625,1.137,-0.112,0.369,0.082,1.0,0.625,1.0,0.0,0.369,0.082,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.25,0.091,0.657,0.25,0.657,0.091,6.0,3.75,6.0,0.0,2.214,0.492,2.266,0.981,0.981,2.266,0.981,0.981
3,3,0.34,0.11,0.02,6.0,-6.0,0.0,6.0,0.0,-6.0,4.617,0.512,3.512,4.617,3.512,0.512,0.886,0.456,0.706,0.388,0.503,0.187,0.886,0.456,0.706,0.388,0.503,0.187,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.453,0.08,0.623,0.453,0.623,0.08,5.704,2.736,4.236,4.409,3.018,1.122,2.266,0.981,0.981,2.266,0.981,0.981
4,4,0.455,0.112,0.015,5.999,-5.999,0.0,5.999,0.0,-5.999,5.025,0.36,3.36,5.025,3.36,0.36,0.966,0.375,0.529,0.602,0.583,0.358,0.966,0.375,0.529,0.602,0.583,0.358,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.676,0.07,0.587,0.676,0.587,0.07,5.912,2.25,3.174,4.966,3.498,2.148,2.266,0.981,0.981,2.266,0.981,0.981
5,5,0.569,0.111,0.025,5.995,-5.995,0.0,5.995,0.0,-5.995,5.426,0.21,3.21,5.426,3.21,0.21,1.023,0.441,1.039,0.592,0.449,0.157,1.0,0.441,1.0,0.592,0.449,0.157,1.998,0.0,0.0,1.998,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.838,0.061,0.551,0.838,0.551,0.061,6.0,2.646,6.0,4.94,2.694,0.942,2.266,0.981,0.981,2.266,0.981,0.981
6,6,0.681,0.11,0.022,5.96,-5.96,0.0,5.96,0.0,-5.96,5.48,0.062,3.062,5.827,3.062,0.062,1.011,0.382,0.529,0.724,0.551,0.366,1.0,0.382,0.529,0.724,0.551,0.366,1.984,0.0,0.0,1.984,0.0,0.0,0.45,0.0,0.0,0.967,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.854,0.053,0.515,0.928,0.515,0.053,6.0,2.292,3.174,5.283,3.306,2.196,2.266,0.981,0.981,2.266,0.981,0.981
7,7,0.795,0.112,0.012,4.359,-4.359,0.0,4.359,0.0,-4.359,5.329,-0.089,2.911,5.687,2.911,-0.089,1.0,0.36,0.392,0.857,0.481,0.127,1.0,0.36,0.392,0.857,0.481,0.127,0.9,0.0,0.0,1.935,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,4.44,2.956,3.0,4.614,3.0,2.956,3.401,-0.089,0.0,3.401,0.0,-0.089,5.48,6.0,6.0,5.827,6.0,6.0,0.925,0.05,0.478,0.931,0.478,0.05,6.0,2.16,2.352,5.628,2.886,0.762,2.833,0.967,0.981,2.427,0.981,0.967
8,8,0.908,0.11,0.014,0.721,-0.721,0.0,0.721,0.0,-0.721,5.18,-0.238,2.762,5.538,2.762,-0.228,1.045,0.331,0.627,0.755,0.358,0.03,1.0,0.331,0.627,0.755,0.358,0.03,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,4.44,2.881,3.0,4.614,3.0,2.886,3.401,-0.238,0.0,3.401,0.0,-0.228,5.48,6.0,6.0,5.827,6.0,6.0,0.89,0.05,0.442,0.904,0.442,0.05,5.48,1.926,3.762,5.233,2.148,0.094,2.833,0.944,0.981,2.427,0.981,0.946
9,9,1.02,0.11,0.012,0.111,-0.068,-0.043,0.111,-0.043,-0.068,5.032,-0.386,2.614,5.39,2.614,-0.342,1.023,0.368,0.431,0.878,0.439,0.112,1.0,0.368,0.431,0.878,0.439,0.112,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.064,4.44,2.807,3.0,4.614,3.0,2.829,3.401,-0.386,0.0,3.401,0.0,-0.342,5.48,6.0,6.0,5.827,6.0,6.0,0.842,0.05,0.406,0.868,0.406,0.05,5.48,2.058,2.586,5.531,2.634,0.47,2.833,0.922,0.981,2.427,0.981,0.929
10,10,1.134,0.112,0.01,0.015,0.156,-0.171,0.015,-0.171,0.156,4.88,-0.528,2.463,5.239,2.463,-0.412,1.068,0.213,0.431,0.878,0.439,0.134,1.0,0.213,0.431,0.878,0.439,0.134,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.016,0.0,0.0,0.0,0.147,4.44,2.736,3.0,4.614,3.0,2.794,3.401,-0.528,0.0,3.401,0.0,-0.412,5.48,6.0,6.0,5.827,6.0,6.0,0.776,0.05,0.371,0.82,0.371,0.05,5.48,0.974,2.586,5.531,2.634,0.508,2.833,0.902,0.981,2.427,0.981,0.918
