#Recorded data from Servotor32
#datetime: 20-11-2020_21h-37m-37s
#filename: tripod_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-37m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,946,439,-444,224,483,1023
1,0,0,110,0,5100,-5100,5100,-5100,5100,-5100,2880,1480,2880,1480,2880,1480,1032,468,-352,204,462,1031
2,1,114,112,13,5100,-5100,5100,-5100,5100,-5100,3216,1256,3216,1256,3216,1256,1022,468,-370,204,462,1016
3,2,228,111,18,5100,-5100,5100,-5100,5100,-5100,3549,1034,3549,1034,3549,1034,1667,921,1148,-480,55,55
4,3,340,110,20,5100,-5100,5100,-5100,5100,-5100,3879,814,3879,814,3879,814,925,453,981,-71,476,250
5,4,453,111,14,5098,-5098,5098,-5098,5098,-5098,4210,592,4210,592,4210,592,935,317,815,82,690,438
6,5,566,110,16,5090,-5090,5090,-5090,5090,-5090,4534,372,4534,372,4534,372,914,273,1167,82,697,148
7,6,678,110,19,5046,-5046,5046,-5046,5046,-5046,4696,152,4320,152,4858,152,957,158,1167,20,814,359
8,7,791,111,11,3198,-3198,3198,-3198,3198,-3198,4474,-70,4098,-70,4716,-70,1194,209,1722,-92,697,-39
9,8,902,110,10,701,-701,701,-701,701,-701,4254,-289,3878,-288,4496,-290,1043,137,1333,92,841,313
10,9,1014,110,5,100,-100,100,-100,100,-100,4034,-476,3658,-359,4276,-444,1086,137,1296,71,814,109
11,10,1127,110,10,-634,634,-634,634,-634,634,3814,-204,3438,-29,4056,-172,1043,122,1389,-122,752,117
12,11,1239,110,12,-4110,4110,-4110,4110,-4110,4110,3594,126,3218,301,3836,158,1065,65,1167,92,834,297
13,12,1354,112,12,-4963,4963,-4963,4963,-4963,4963,3370,462,2994,637,3612,494,1505,360,2370,-439,552,-383
14,13,1468,111,17,-5080,5080,-5080,5080,-5080,5080,3148,795,2772,970,3390,827,1043,180,1463,-133,717,39
15,14,1580,110,13,-5097,5097,-5097,5097,-5097,5097,2928,1125,2552,1300,3170,1157,892,72,1037,82,766,180
16,15,1692,110,12,-5100,5100,-5100,5100,-5100,5100,2708,1455,2332,1630,2950,1487,903,122,926,133,779,227
17,16,1807,111,17,-5100,5100,-5100,5100,-5100,5100,2486,1788,2110,1963,2728,1820,925,165,870,194,531,203
18,17,1919,110,12,-5100,5100,-5100,5100,-5100,5100,2266,2118,1890,2293,2508,2150,828,223,741,316,676,242
19,18,2031,110,12,-5100,5100,-5100,5100,-5100,5100,2046,2448,1670,2623,2288,2480,688,360,685,316,531,336
20,19,2143,110,15,-5100,5100,-5100,5100,-5100,5100,1826,2778,1450,2953,2068,2810,839,554,907,235,166,63
21,20,2255,110,14,-5100,5100,-5100,5100,-5100,5100,1606,3108,1230,3283,1848,3140,720,532,519,449,290,414
22,21,2367,110,10,-5100,5100,-5100,5100,-5100,5100,1386,3438,1010,3613,1628,3470,796,741,907,367,69,297
23,22,2479,110,12,-5099,5099,-5099,5099,-5099,5099,1166,3767,790,3943,1408,3800,634,741,370,490,83,516
24,23,2593,111,11,-5099,5099,-5099,5099,-5099,5099,944,4079,568,4276,1186,4133,581,885,278,602,76,563
25,24,2708,111,13,-5043,5043,-5043,5043,-5043,5043,722,3943,346,4609,964,4466,581,1050,426,592,-159,563
26,25,2820,110,13,-3877,3877,-3877,3877,-3877,3877,502,3853,126,4774,744,4673,333,1007,241,745,-103,734
27,26,2933,110,11,-3062,3062,-3062,3062,-3062,3062,282,3633,-94,4980,524,4934,624,1252,648,582,-193,563
28,27,3049,112,12,-2837,2837,-2837,2837,-2837,2837,58,3409,-318,4777,301,4730,387,1345,685,704,-262,711
29,28,3161,110,13,-541,541,-541,541,-541,541,-161,3189,-31,4557,244,4510,172,1058,-148,816,-76,813
30,29,3273,110,5,1673,-1673,1673,-1673,1673,-1673,-32,2969,34,4337,574,4290,355,1216,407,694,-228,641
31,30,3387,110,12,3353,-3353,3353,-3353,3353,-3353,298,2749,364,4117,904,4070,323,1223,463,663,-103,594
32,31,3499,110,12,4830,-4830,4830,-4830,4830,-4830,628,2529,694,3897,1234,3850,140,1137,278,847,-159,758
33,32,3613,111,12,5061,-5061,5061,-5061,5061,-5061,961,2307,1027,3675,1567,3628,97,964,74,867,-117,781
34,33,3726,110,17,5094,-5094,5094,-5094,5094,-5094,1291,2087,1357,3455,1897,3408,22,871,19,837,-14,781
35,34,3837,110,10,5099,-5099,5099,-5099,5099,-5099,1621,1867,1687,3235,2227,3188,140,935,74,816,14,781
36,35,3952,112,12,5100,-5100,5100,-5100,5100,-5100,1957,1643,2023,3011,2563,2964,226,827,389,745,76,828
37,36,4066,110,17,5100,-5100,5100,-5100,5100,-5100,2287,1423,2353,2791,2893,2744,237,755,537,724,117,648
38,37,4178,110,11,5100,-5100,5100,-5100,5100,-5100,2617,1203,2683,2571,3223,2524,441,741,611,653,345,727
39,38,4290,110,11,5100,-5100,5100,-5100,5100,-5100,2947,983,2943,2351,3553,2304,656,806,1037,490,276,500
40,39,4402,110,15,4918,-4918,4918,-4918,4918,-4918,3277,763,3128,2131,3883,2084,656,655,1037,571,524,563
41,40,4514,110,12,4691,-4691,4691,-4691,4691,-4691,3529,543,2908,1911,4213,1864,925,626,1407,449,524,414
42,41,4628,110,14,3395,-3395,3395,-3395,3395,-3395,3314,323,2688,1691,4540,1644,925,511,1519,367,448,266
43,42,4739,110,12,1968,-1968,1968,-1968,1968,-1968,3094,103,2468,1471,4328,1424,1140,791,1944,255,559,250
44,43,4853,110,11,323,-323,323,-323,323,-323,2874,-117,2248,1265,4108,1344,1441,748,2185,143,607,63
45,44,4967,111,9,-360,360,-360,360,-360,360,2652,-339,2026,1544,3886,1673,1333,626,2056,51,559,-31
46,45,5079,110,12,-2782,2782,-2782,2782,-2782,2782,2432,-534,1806,1874,3666,2003,1452,849,2204,0,579,-70
47,46,5193,111,11,-3375,3375,-3375,3375,-3375,3375,2210,-221,1584,2207,3444,2336,1441,705,2111,-41,559,-180
