#Recorded data from Servotor32
#datetime: 20-11-2020_21h-37m-37s
#filename: tripod_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-37m-37s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,0.946,0.439,-0.444,0.224,0.483,1.023,0.946,0.439,0.0,0.224,0.483,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,1.032,0.468,-0.352,0.204,0.462,1.031,1.0,0.468,0.0,0.204,0.462,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,5.1,2.387,0.0,1.04,2.356,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.114,0.112,0.013,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.216,1.256,3.216,1.256,3.216,1.256,1.022,0.468,-0.37,0.204,0.462,1.016,1.0,0.468,0.0,0.204,0.462,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.114,0.183,0.114,0.183,0.114,0.183,5.1,2.387,0.0,1.04,2.356,5.1,2.653,1.155,2.653,1.155,2.653,1.155
3,2,0.228,0.111,0.018,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.549,1.034,3.549,1.034,3.549,1.034,1.667,0.921,1.148,-0.48,0.055,0.055,1.0,0.921,1.0,0.0,0.055,0.055,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.237,0.148,0.237,0.148,0.237,0.148,5.1,4.697,5.1,0.0,3.002,0.28,2.653,1.155,2.653,1.155,2.653,1.155
4,3,0.34,0.11,0.02,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.879,0.814,3.879,0.814,3.879,0.814,0.925,0.453,0.981,-0.071,0.476,0.25,0.925,0.453,0.981,0.0,0.476,0.25,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.427,0.119,0.427,0.119,0.427,0.119,4.934,2.31,5.058,0.0,3.937,1.275,2.653,1.155,2.653,1.155,2.653,1.155
5,4,0.453,0.111,0.014,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.21,0.592,4.21,0.592,4.21,0.592,0.935,0.317,0.815,0.082,0.69,0.438,0.935,0.317,0.815,0.082,0.69,0.438,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.642,0.094,0.642,0.094,0.642,0.094,4.956,1.617,4.689,0.418,4.412,2.234,2.653,1.155,2.653,1.155,2.653,1.155
6,5,0.566,0.11,0.016,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,0.914,0.273,1.167,0.082,0.697,0.148,0.914,0.273,1.0,0.082,0.697,0.148,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.809,0.075,0.809,0.075,0.809,0.075,4.909,1.392,5.1,0.418,4.427,0.755,2.653,1.155,2.653,1.155,2.653,1.155
7,6,0.678,0.11,0.019,5.046,-5.046,5.046,-5.046,5.046,-5.046,4.696,0.152,4.32,0.152,4.858,0.152,0.957,0.158,1.167,0.02,0.814,0.359,0.957,0.158,1.0,0.02,0.814,0.359,2.964,0.0,2.964,0.0,2.964,0.0,0.552,0.0,0.433,0.0,0.857,0.0,3.99,2.55,3.707,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,4.534,5.1,5.1,5.1,0.867,0.059,0.899,0.059,0.909,0.059,5.005,0.806,5.1,0.102,4.687,1.831,2.653,1.155,3.56,1.155,2.653,1.155
8,7,0.791,0.111,0.011,3.198,-3.198,3.198,-3.198,3.198,-3.198,4.474,-0.07,4.098,-0.07,4.716,-0.07,1.194,0.209,1.722,-0.092,0.697,-0.039,1.0,0.209,1.0,0.0,0.697,0.0,1.655,0.0,1.299,0.0,2.572,0.0,0.0,0.0,0.001,0.0,0.002,0.0,3.788,2.515,3.707,2.515,3.869,2.515,2.88,-0.07,2.88,-0.07,2.88,-0.07,4.696,5.1,4.534,5.1,4.858,5.1,0.902,0.05,0.801,0.05,0.926,0.05,5.1,1.066,4.534,0.0,4.427,0.0,3.243,1.139,3.56,1.139,2.977,1.139
9,8,0.902,0.11,0.01,0.701,-0.701,0.701,-0.701,0.701,-0.701,4.254,-0.289,3.878,-0.288,4.496,-0.29,1.043,0.137,1.333,0.092,0.841,0.313,1.0,0.137,1.0,0.092,0.841,0.313,0.0,0.0,0.004,0.0,0.006,0.0,0.0,0.001,0.0,0.004,0.0,0.0,3.788,2.406,3.707,2.406,3.869,2.405,2.88,-0.289,2.88,-0.288,2.88,-0.29,4.696,5.1,4.534,5.1,4.858,5.1,0.819,0.05,0.648,0.05,0.866,0.05,4.696,0.638,4.534,0.406,4.543,1.548,3.243,1.093,3.56,1.093,2.977,1.093
