#Recorded data from Servotor32
#datetime: 20-11-2020_21h-43m-19s
#filename: wave_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-43m-19s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,946,481,-357,228,532,1008
1,0,0,110,0,7000,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,989,511,-71,50,422,891
2,1,112,110,15,7000,-7000,-4200,-1400,1400,4200,4457,380,1780,3180,4580,5980,957,400,-411,178,500,1016
3,2,224,110,18,6999,-7000,-4200,-1400,1400,4201,4935,308,1708,3108,4508,5909,1194,659,429,-188,338,667
4,3,336,110,19,6999,-7001,-4200,-1400,1401,4201,5414,237,1637,3037,4437,5837,1022,437,304,119,403,705
5,4,449,110,13,6999,-7001,-4200,-1400,1401,4201,5892,165,1565,2965,4365,5766,1054,489,625,30,325,589
6,5,560,110,16,6996,-6999,-4199,-1399,1401,4201,6369,94,1494,2894,4294,5695,1161,541,339,158,357,713
7,6,672,110,14,6973,-6978,-4186,-1395,1397,4188,6297,22,1422,2823,4231,5832,1355,593,696,99,318,612
8,7,786,111,10,-1303,-2398,-1047,305,1656,2786,6225,-50,1350,2820,4205,5760,1355,570,661,99,305,519
9,8,898,110,14,-645,-319,384,1087,3,-511,6153,-121,1279,3294,4134,5688,1495,659,768,20,338,147
10,9,1011,110,5,-1274,1125,3582,6039,-5871,-3602,6082,-150,1757,3772,4062,5617,1237,244,268,287,500,411
11,10,1125,111,11,93,5411,9620,604,-10513,-5214,6010,333,2240,3700,3990,5544,1183,178,286,89,429,132
12,11,1237,110,13,4753,10309,1480,-9384,-6356,-802,5938,812,2169,3629,3918,5473,1258,230,286,0,442,-62
13,12,1349,110,11,4286,7512,-5691,-5002,-2165,1060,5867,1290,2098,3557,3847,5401,1075,89,54,297,481,39
14,13,1463,110,15,4213,7079,-6799,-4323,-1518,1348,5795,1769,2026,3486,3775,5330,1129,148,1143,545,442,-47
15,14,1575,110,10,4202,7012,-6969,-4219,-1418,1392,5724,2247,1955,3414,3704,5258,1247,178,1589,723,325,-93
16,15,1688,111,10,4200,7002,-6995,-4203,-1403,1399,5652,2730,1882,3342,3632,5186,1344,341,1732,584,351,-85
17,16,1800,110,12,4200,7000,-6999,-4200,-1400,1400,5580,3208,1811,3271,3560,5115,1624,563,2464,267,104,-690
18,17,1912,111,5,4200,7000,-7000,-4200,-1400,1400,5508,3691,1739,3198,3488,5043,1591,696,2357,248,136,-473
19,18,2025,111,10,4200,7000,-7000,-4200,-1400,1400,5436,4166,1667,3126,3418,4970,1656,881,2643,89,-39,-543
20,19,2137,110,12,4137,6911,-6911,-4137,-1362,1362,5364,4645,1595,3055,3346,4899,1387,748,1839,406,208,-147
21,20,2250,111,10,4190,6986,-6986,-4190,-1394,1394,5292,4804,1523,2983,3274,4827,1742,1007,1893,228,175,-341
22,21,2363,110,10,2126,3544,-3544,-2126,-708,708,5221,4732,1451,2911,3203,4755,1527,1052,1661,139,97,-271
23,22,2474,110,9,324,544,-544,-324,-103,103,5149,4661,1380,2840,3132,4684,1387,1044,1250,287,221,-209
24,23,2588,110,10,49,83,-83,-49,-14,14,5078,4589,1308,2768,3066,4612,1591,1341,1750,99,130,-450
25,24,2699,110,7,-27,1,-1,27,56,-56,5006,4518,1237,2697,2996,4541,1333,1259,1214,238,182,-209
26,25,2812,111,6,-12,-3,3,12,22,-22,4934,4446,1165,2624,2926,4469,1441,1156,1000,149,162,-116
27,26,2924,110,9,-15,-5,5,15,26,-26,4863,4374,1093,2553,2892,4397,1581,1348,1357,168,78,-419
28,27,3036,110,12,-248,-83,83,248,414,-414,4791,4303,1022,2481,2839,4326,1355,1215,929,257,156,-155
29,28,3148,110,9,-155,-51,52,154,258,-258,4720,4231,950,2410,2971,4254,1634,1467,1232,178,52,-318
30,29,3260,110,8,-1341,-447,447,1341,2234,-2234,4648,4160,879,2339,2900,4183,1462,1215,1071,287,162,-8
31,30,3372,111,6,-203,-66,70,205,332,-339,4576,4088,807,2267,2828,4111,1570,1304,1143,69,-136,-279
32,31,3485,111,9,-30,-10,10,30,48,-50,4504,4015,735,2195,2756,4038,1323,1170,839,40,-110,-202
33,32,3597,110,9,-5,-1,2,4,7,-8,4432,3944,663,2123,2685,3967,1290,1081,571,99,-6,-147
34,33,3709,110,3,0,1,2,-1,0,-2,4361,3872,592,2052,2613,3895,1516,1244,1018,-79,-292,-39
35,34,3823,110,8,0,0,1,0,0,0,4289,3801,520,1980,2542,3824,1559,1259,875,0,-331,-178
36,35,3935,110,12,0,0,0,0,0,0,4218,3729,449,1909,2470,3752,1215,1096,696,158,-188,-39
37,36,4049,112,9,0,1,1,-1,-1,0,4145,3657,376,1836,2397,3680,1538,1281,696,119,-45,-132
38,37,4163,110,9,0,1,2,-1,-1,0,4073,3585,305,1765,2326,3608,1409,1215,946,-149,-169,-209
39,38,4275,110,12,0,1,2,2,-3,-2,4002,3514,234,1693,2254,3537,1430,1096,518,59,0,-54
40,39,4389,111,10,2,5,9,-8,-6,-2,3930,3441,163,1621,2182,3464,1376,1193,536,89,-65,-47
41,40,4503,110,9,2,6,11,-10,-7,-3,3858,3370,91,1550,2111,3393,1505,1222,768,-10,-143,-124
42,41,4615,110,11,0,2,4,0,-3,-2,3787,3298,23,1478,2039,3321,1312,1081,446,149,-45,-39
43,42,4727,110,9,6,19,32,-31,-20,-7,3715,3227,-49,1407,1968,3250,1462,1111,714,-79,-292,-101
44,43,4839,110,7,-1,6,12,1,-11,-7,3644,3155,-116,1336,1896,3178,1290,1007,464,139,-234,-23
45,44,4951,110,5,7,24,42,-37,-25,-10,3572,3084,-184,1265,1825,3107,1258,1059,482,99,-201,-70
46,45,5066,112,9,9,31,52,-48,-31,-13,3499,3011,-256,1192,1752,3034,1194,1111,732,50,-78,-194
47,46,5178,110,10,0,7,14,-5,-10,-6,3428,2940,-309,1122,1681,2963,1118,956,375,20,-19,0
48,47,5291,111,4,38,127,216,-195,-136,-50,3356,2867,-334,1051,1609,2890,1247,941,393,-20,-39,-147
49,48,5405,111,9,104,323,542,-521,-332,-115,3284,2795,-385,979,1537,2818,1258,1037,589,50,-299,-116
50,49,5517,110,12,60,188,316,-309,-188,-67,3212,2724,-151,907,1466,2747,968,859,250,178,-208,-31
51,50,5630,111,10,670,2018,3367,-3360,-2015,-679,3140,2652,332,835,1394,2675,1022,1015,482,0,-227,-186
52,51,5743,110,9,1288,3864,6441,-6440,-3864,-1289,3069,2610,811,764,1322,2603,1000,926,232,69,-208,-70
53,52,5855,110,11,1575,4468,6594,-7106,-4212,-1319,2997,2983,1289,692,1251,2532,935,874,518,40,-84,-78
54,53,5969,111,11,4326,9073,2107,-9916,-5168,-421,3077,3466,1725,620,1178,2460,710,778,768,40,-123,-70
55,54,6084,110,11,6932,8945,-1153,-10827,-4908,1012,3556,3945,1653,548,1107,2390,634,704,1143,10,-91,-101
56,55,6196,110,11,10519,1363,-9659,-6399,-741,4917,4034,3873,1582,477,1036,2869,237,363,982,198,0,93
57,56,6309,111,10,1537,-9364,-6193,-935,4674,10281,3962,3801,1510,408,1518,3352,366,822,1839,-119,-364,-248
58,57,6424,111,11,-9346,-6143,-883,4681,10210,1481,3890,3729,1438,891,2001,3834,720,1422,2786,-624,-747,-767
59,58,6536,110,11,-12098,-4498,3418,11381,5124,-3327,3819,3657,1375,1370,2480,3763,935,1356,2196,-396,-455,-295
60,59,6651,112,12,-6481,-567,5391,11132,654,-10129,3746,3584,1862,1857,2523,3690,1151,1267,1732,-168,-58,31
61,60,6764,110,16,-1732,4406,10551,2448,-8151,-7522,3674,3907,2340,2335,2451,3618,1247,1207,1554,30,429,411
62,61,6876,110,11,2278,9656,6860,-2168,-11579,-5047,3603,4385,2819,2264,2380,3547,1323,1296,1661,20,513,512
63,62,6988,110,12,5089,10962,1055,-9810,-6520,-776,4079,4864,2747,2192,2308,3475,925,1111,1464,426,844,713
64,63,7100,110,15,10239,1707,-9302,-6244,-1007,4607,4558,4792,2676,2121,2237,3953,849,1207,1696,574,727,574
65,64,7212,110,6,1581,-9211,-6168,-962,4580,10180,4486,4721,2604,2049,2715,4432,1172,1289,1821,683,734,527
66,65,7326,112,10,-9430,-6100,-854,4691,10283,1410,4414,4648,2532,2536,3202,4359,1677,1630,2732,515,662,411
67,66,7438,110,13,-6189,-938,4607,10199,1582,-9260,4342,4576,2639,3015,3132,4288,1484,1400,2339,604,695,527
68,67,7551,110,4,-1756,2194,6190,5571,-6828,-5372,4271,4505,3117,3493,3060,4216,1258,1296,1696,792,805,636
69,68,7665,110,13,-270,5076,10429,857,-10527,-5565,4199,4705,3596,3422,2989,4145,1194,1170,1375,673,701,527
70,69,7776,110,11,2895,7255,4607,-7543,-5758,-1457,4128,5183,4063,3350,2917,4073,1129,1059,1232,713,740,628
71,70,7889,110,12,5159,10516,581,-10511,-5548,-198,4590,5662,3991,3279,2846,4002,903,904,1393,842,747,659
72,71,8005,111,17,10137,1717,-9370,-6282,-847,4644,5072,5589,3919,3207,2774,4469,935,1081,1643,703,539,473
73,72,8116,110,12,1720,-9117,-6148,-998,4512,10031,5001,5518,3847,3135,3252,4948,1462,1437,2571,436,208,47
