#Recorded data from Servotor32
#datetime: 20-11-2020_21h-43m-19s
#filename: wave_x_b_sensors_closed_horizontal_floor_loaded_20-11-2020_21h-43m-19s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,0.946,0.481,-0.357,0.228,0.532,1.008,0.946,0.481,0.0,0.228,0.532,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.11,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.979,0.451,1.851,3.251,4.651,6.052,0.989,0.511,-0.071,0.05,0.422,0.891,0.989,0.511,0.0,0.05,0.422,0.891,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.599,0.071,0.2,0.448,0.725,0.895,6.923,3.577,0.0,0.35,2.954,6.237,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.112,0.11,0.015,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.457,0.38,1.78,3.18,4.58,5.98,0.957,0.4,-0.411,0.178,0.5,1.016,0.957,0.4,0.0,0.178,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.691,0.068,0.19,0.433,0.946,0.947,6.699,2.8,0.0,1.246,3.5,7.0,0.841,0.841,0.841,0.841,1.266,0.973
3,2,0.224,0.11,0.018,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.935,0.308,1.708,3.108,4.508,5.909,1.194,0.659,0.429,-0.188,0.338,0.667,1.0,0.659,0.429,0.0,0.338,0.667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.77,0.064,0.181,0.418,0.941,0.943,7.0,4.613,3.003,0.0,1.572,4.037,0.841,0.841,0.841,0.841,1.266,0.973
4,3,0.336,0.11,0.019,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.414,0.237,1.637,3.037,4.437,5.837,1.022,0.437,0.304,0.119,0.403,0.705,1.0,0.437,0.304,0.119,0.403,0.705,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.833,0.06,0.173,0.404,0.935,0.939,7.0,3.059,2.128,0.833,1.874,4.267,0.841,0.841,0.841,0.841,1.266,0.973
5,4,0.449,0.11,0.013,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.892,0.165,1.565,2.965,4.365,5.766,1.054,0.489,0.625,0.03,0.325,0.589,1.0,0.489,0.625,0.03,0.325,0.589,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.882,0.057,0.164,0.389,0.93,0.935,7.0,3.423,4.375,0.21,1.512,3.565,0.841,0.841,0.841,0.841,1.266,0.973
6,5,0.56,0.11,0.016,6.996,-6.999,-4.199,-1.399,1.401,4.201,6.369,0.094,1.494,2.894,4.294,5.695,1.161,0.541,0.339,0.158,0.357,0.713,1.0,0.541,0.339,0.158,0.357,0.713,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.918,0.054,0.156,0.375,0.924,0.931,7.0,3.787,2.373,1.106,1.66,4.315,0.841,0.841,0.841,0.841,1.266,0.973
7,6,0.672,0.11,0.014,6.973,-6.978,-4.186,-1.395,1.397,4.188,6.297,0.022,1.422,2.823,4.231,5.832,1.355,0.593,0.696,0.099,0.318,0.612,1.0,0.593,0.696,0.099,0.318,0.612,0.996,0.0,0.0,0.0,0.0,0.0,0.466,0.0,0.0,0.0,0.399,0.918,3.184,3.5,3.5,3.5,2.326,5.874,0.0,0.0,0.0,0.0,0.0,5.695,6.369,7.0,7.0,7.0,4.651,6.052,0.947,0.051,0.148,0.361,0.918,0.335,7.0,4.151,4.872,0.693,1.479,3.704,0.925,0.841,0.841,0.841,1.266,16.495
8,7,0.786,0.111,0.01,-1.303,-2.398,-1.047,0.305,1.656,2.786,6.225,-0.05,1.35,2.82,4.205,5.76,1.355,0.57,0.661,0.099,0.305,0.519,1.0,0.57,0.661,0.099,0.305,0.519,0.466,0.0,0.0,0.0,0.399,0.918,0.0,0.0,0.0,0.126,0.766,0.0,3.184,3.475,3.5,3.5,2.326,5.764,0.0,-0.05,0.0,0.0,0.0,5.695,6.369,7.0,7.0,7.0,4.651,5.832,0.943,0.05,0.141,0.361,0.915,0.462,6.369,3.99,4.627,0.693,1.419,5.88,0.925,0.835,0.841,0.841,1.266,42.985
9,8,0.898,0.11,0.014,-0.645,-0.319,0.384,1.087,0.003,-0.511,6.153,-0.121,1.279,3.294,4.134,5.688,1.495,0.659,0.768,0.02,0.338,0.147,1.0,0.659,0.768,0.02,0.338,0.147,0.0,0.0,0.0,0.126,0.766,0.0,0.0,0.0,0.0,0.991,0.0,0.0,3.184,3.44,3.5,4.91,2.326,5.76,0.0,-0.121,0.0,2.82,0.0,5.688,6.369,7.0,7.0,7.0,4.651,5.832,0.94,0.05,0.134,0.093,0.908,0.05,6.369,4.596,5.376,0.14,1.572,5.715,0.925,0.827,0.841,1.409,1.266,40.895
