#Recorded data from Servotor32
#datetime: 20-11-2020_22h-01m-15s
#filename: tetrapod_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_22h-01m-15s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,115,112,20,6000,-6000,0,6000,0,-6000,3810,810,3810,3810,3810,810,1020,493,13,-13,531,981
1,2,227,110,16,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,1222,819,880,-276,315,28
2,3,339,111,15,6000,-6000,0,6000,0,-6000,4617,512,3512,4617,3512,512,1101,694,827,0,383,113
3,4,451,110,18,5999,-5999,0,5999,0,-5999,5018,363,3363,5018,3363,363,1030,688,813,184,377,-189
4,5,563,110,21,5995,-5995,0,5995,0,-5995,5415,215,3215,5415,3215,215,1152,465,707,539,407,-170
5,6,676,110,15,5961,-5961,0,5961,0,-5961,5783,66,3066,5783,3066,66,1162,604,813,539,426,-179
6,7,787,110,24,5683,-5683,0,5683,0,-5683,5842,-82,2918,5842,2918,-82,1182,604,680,750,346,-151
7,8,899,111,15,2765,-2765,0,2765,0,-2765,5692,-232,2768,5692,2768,-232,1071,625,587,697,333,-208
8,10,1123,110,20,65,1335,-1400,65,-1400,1335,5395,172,2471,5395,2471,172,1152,424,653,658,309,19
9,11,1238,112,15,9,5352,-5361,9,-5361,5352,5244,581,2319,5244,2319,581,1333,604,840,487,173,-236
10,12,1353,111,25,1,5905,-5907,1,-5907,5905,5094,986,2170,5094,2170,986,1242,257,693,658,352,-94
11,13,1464,110,21,0,5985,-5986,0,-5986,5985,4946,1388,2021,4946,2021,1388,1051,83,333,882,364,9
12,14,1577,110,14,0,5998,-5998,0,-5998,5998,4797,1789,1873,4797,1873,1789,1010,104,307,882,352,28
13,15,1692,112,24,0,6000,-6000,0,-6000,6000,4646,2198,1721,4646,1721,2198,1061,174,333,855,327,170
14,16,1803,110,21,0,6000,-6000,0,-6000,6000,4498,2599,1573,4498,1573,2599,1040,174,307,855,284,19
15,17,1917,111,15,0,6000,-6000,0,-6000,6000,4348,3005,1423,4348,1423,3005,1000,319,227,895,253,236
