#Recorded data from Servotor32
#datetime: 20-11-2020_22h-01m-15s
#filename: tetrapod_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_22h-01m-15s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.115,0.112,0.02,6.0,-6.0,0.0,6.0,0.0,-6.0,3.81,0.81,3.81,3.81,3.81,0.81,1.02,0.493,0.013,-0.013,0.531,0.981,1.0,0.493,0.013,0.0,0.531,0.981,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.689,0.104,0.689,0.689,0.689,0.104,3.81,0.81,3.81,3.81,3.81,0.81,0.981,0.981,0.981,0.981,0.981,0.981
1,2,0.227,0.11,0.016,6.0,-6.0,0.0,6.0,0.0,-6.0,4.212,0.661,3.661,4.212,3.661,0.661,1.222,0.819,0.88,-0.276,0.315,0.028,1.0,0.819,0.88,0.0,0.315,0.028,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.767,0.091,0.657,0.767,0.657,0.091,6.0,4.914,5.28,0.0,1.89,0.168,0.981,0.981,0.981,0.981,0.981,0.981
2,3,0.339,0.111,0.015,6.0,-6.0,0.0,6.0,0.0,-6.0,4.617,0.512,3.512,4.617,3.512,0.512,1.101,0.694,0.827,0.0,0.383,0.113,1.0,0.694,0.827,0.0,0.383,0.113,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.106,3.0,3.0,5.106,3.0,3.0,4.212,0.0,0.0,4.212,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.167,0.08,0.623,0.167,0.623,0.08,6.0,4.164,4.962,0.0,2.298,0.678,3.294,0.981,0.981,3.294,0.981,0.981
3,4,0.451,0.11,0.018,5.999,-5.999,0.0,5.999,0.0,-5.999,5.018,0.363,3.363,5.018,3.363,0.363,1.03,0.688,0.813,0.184,0.377,-0.189,1.0,0.688,0.813,0.184,0.377,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,5.106,3.0,3.0,5.106,3.0,3.0,4.212,0.0,0.0,4.212,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.428,0.07,0.588,0.428,0.588,0.07,6.0,4.128,4.878,4.541,2.262,0.0,3.294,0.981,0.981,3.294,0.981,0.981
4,5,0.563,0.11,0.021,5.995,-5.995,0.0,5.995,0.0,-5.995,5.415,0.215,3.215,5.415,3.215,0.215,1.152,0.465,0.707,0.539,0.407,-0.17,1.0,0.465,0.707,0.539,0.407,0.0,1.998,0.0,0.0,1.998,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,5.106,3.0,3.0,5.106,3.0,3.0,4.212,0.0,0.0,4.212,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.735,0.061,0.553,0.735,0.553,0.061,6.0,2.79,4.242,5.176,2.442,0.0,3.294,0.981,0.981,3.294,0.981,0.981
5,6,0.676,0.11,0.015,5.961,-5.961,0.0,5.961,0.0,-5.961,5.783,0.066,3.066,5.783,3.066,0.066,1.162,0.604,0.813,0.539,0.426,-0.179,1.0,0.604,0.813,0.539,0.426,0.0,1.985,0.0,0.0,1.985,0.0,0.0,0.939,0.0,0.0,0.939,0.0,0.0,5.106,3.0,3.0,5.106,3.0,3.0,4.212,0.0,0.0,4.212,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.903,0.053,0.516,0.903,0.516,0.053,6.0,3.624,4.878,5.176,2.556,0.0,3.294,0.981,0.981,3.294,0.981,0.981
6,7,0.787,0.11,0.024,5.683,-5.683,0.0,5.683,0.0,-5.683,5.842,-0.082,2.918,5.842,2.918,-0.082,1.182,0.604,0.68,0.75,0.346,-0.151,1.0,0.604,0.68,0.75,0.346,0.0,1.878,0.0,0.0,1.878,0.0,0.0,0.378,0.0,0.0,0.378,0.0,0.0,5.106,2.959,3.0,5.106,3.0,2.959,4.212,-0.082,0.0,4.212,0.0,-0.082,6.0,6.0,6.0,6.0,6.0,6.0,0.919,0.05,0.48,0.919,0.48,0.05,6.0,3.624,4.08,5.553,2.076,0.0,3.294,0.968,0.981,3.294,0.981,0.968
7,8,0.899,0.111,0.015,2.765,-2.765,0.0,2.765,0.0,-2.765,5.692,-0.232,2.768,5.692,2.768,-0.232,1.071,0.625,0.587,0.697,0.333,-0.208,1.0,0.625,0.587,0.697,0.333,0.0,0.755,0.0,0.0,0.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.917,0.05,0.443,0.917,0.443,0.05,6.0,3.719,3.522,5.458,1.998,-0.082,3.613,0.945,0.981,3.613,0.981,0.945
8,10,1.123,0.11,0.02,0.065,1.335,-1.4,0.065,-1.4,1.335,5.395,0.172,2.471,5.395,2.471,0.172,1.152,0.424,0.653,0.658,0.309,0.019,1.0,0.424,0.653,0.658,0.309,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.791,0.072,0.373,0.791,0.373,0.072,5.842,2.41,3.918,5.285,1.854,-0.114,3.613,0.945,0.981,3.613,0.981,0.945
9,11,1.238,0.112,0.015,0.009,5.352,-5.361,0.009,-5.361,5.352,5.244,0.581,2.319,5.244,2.319,0.581,1.333,0.604,0.84,0.487,0.173,-0.236,1.0,0.604,0.84,0.487,0.173,0.0,0.0,1.999,0.0,0.0,0.0,1.999,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.687,0.102,0.339,0.687,0.339,0.102,5.842,3.532,5.04,5.006,1.038,-0.232,3.613,0.945,0.981,3.613,0.981,0.945
10,12,1.353,0.111,0.025,0.001,5.905,-5.907,0.001,-5.907,5.905,5.094,0.986,2.17,5.094,2.17,0.986,1.242,0.257,0.693,0.658,0.352,-0.094,1.0,0.257,0.693,0.658,0.352,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.56,0.143,0.307,0.56,0.307,0.143,5.842,1.37,4.158,5.285,2.112,-0.232,3.613,0.945,0.981,3.613,0.981,0.945
11,13,1.464,0.11,0.021,0.0,5.985,-5.986,0.0,-5.986,5.985,4.946,1.388,2.021,4.946,2.021,1.388,1.051,0.083,0.333,0.882,0.364,0.009,1.0,0.083,0.333,0.882,0.364,0.009,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.427,0.196,0.277,0.427,0.277,0.196,5.842,0.285,1.998,5.65,2.184,-0.176,3.613,0.945,0.981,3.613,0.981,0.945
12,14,1.577,0.11,0.014,0.0,5.998,-5.998,0.0,-5.998,5.998,4.797,1.789,1.873,4.797,1.873,1.789,1.01,0.104,0.307,0.882,0.352,0.028,1.0,0.104,0.307,0.882,0.352,0.028,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.303,0.262,0.249,0.303,0.249,0.262,5.842,0.416,1.842,5.65,2.112,-0.058,3.613,0.945,0.981,3.613,0.981,0.945
13,15,1.692,0.112,0.024,0.0,6.0,-6.0,0.0,-6.0,6.0,4.646,2.198,1.721,4.646,1.721,2.198,1.061,0.174,0.333,0.855,0.327,0.17,1.0,0.174,0.333,0.855,0.327,0.17,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.202,0.343,0.222,0.202,0.222,0.343,5.842,0.852,1.998,5.606,1.962,0.827,3.613,0.945,0.981,3.613,0.981,0.945
14,16,1.803,0.11,0.021,0.0,6.0,-6.0,0.0,-6.0,6.0,4.498,2.599,1.573,4.498,1.573,2.599,1.04,0.174,0.307,0.855,0.284,0.019,1.0,0.174,0.307,0.855,0.284,0.019,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.129,0.433,0.198,0.129,0.198,0.433,5.842,0.852,1.842,5.606,1.704,-0.114,3.613,0.945,0.981,3.613,0.981,0.945
15,17,1.917,0.111,0.015,0.0,6.0,-6.0,0.0,-6.0,6.0,4.348,3.005,1.423,4.348,1.423,3.005,1.0,0.319,0.227,0.895,0.253,0.236,1.0,0.319,0.227,0.895,0.253,0.236,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.027,2.884,3.0,5.027,3.0,2.884,4.212,-0.232,0.0,4.212,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.079,0.529,0.175,0.079,0.175,0.529,5.842,1.756,1.362,5.671,1.518,1.239,3.613,0.945,0.981,3.613,0.981,0.945
16,18,2.032,0.112,0.024,0.0,6.0,-6.0,0.0,-6.0,6.0,4.197,3.413,1.272,4.197,1.272,3.413,1.02,0.451,0.227,0.789,0.265,0.33,1.0,0.451,0.227,0.789,0.265,0.33,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.02,2.884,3.0,5.02,3.0,2.884,4.197,-0.232,0.0,4.197,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.05,0.622,0.155,0.05,0.155,0.622,5.842,2.579,1.362,5.498,1.59,1.825,3.58,0.945,0.981,3.58,0.981,0.945
17,19,2.144,0.11,0.021,0.0,6.0,-6.0,0.0,-6.0,6.0,4.048,3.815,1.123,4.048,1.123,3.815,1.04,0.521,0.333,0.829,0.043,0.387,1.0,0.521,0.333,0.829,0.043,0.387,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.945,2.884,3.0,4.945,3.0,2.884,4.048,-0.232,0.0,4.048,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.05,0.707,0.137,0.05,0.137,0.707,5.842,3.015,1.998,5.561,0.258,2.18,3.283,0.945,0.981,3.283,0.981,0.945
18,20,2.258,0.112,0.014,0.0,6.0,-6.0,0.0,-6.0,6.0,3.897,4.224,0.972,3.897,0.972,4.224,1.081,0.667,0.24,0.763,0.105,0.472,1.0,0.667,0.24,0.763,0.105,0.472,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.87,2.884,3.0,4.87,3.0,2.884,3.897,-0.232,0.0,3.897,0.0,-0.232,5.842,6.0,6.0,5.842,6.0,6.0,0.05,0.78,0.12,0.05,0.12,0.78,5.842,3.925,1.44,5.417,0.63,2.71,3.028,0.945,0.981,3.028,0.981,0.945
