#Recorded data from Servotor32
#datetime: 20-11-2020_21h-56m-27s
#filename: tripod_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_21h-56m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,990,497,-14,107,487,1052
1,0,0,110,0,5100,-5100,5100,-5100,5100,-5100,2880,1480,2880,1480,2880,1480,1031,510,0,83,493,1010
2,1,113,110,15,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,1041,510,14,71,473,948
3,2,226,110,16,5100,-5100,5100,-5100,5100,-5100,3540,1040,3540,1040,3540,1040,1561,903,1397,-583,140,-103
4,3,337,110,18,5100,-5100,5100,-5100,5100,-5100,3870,820,3870,820,3870,820,867,386,1000,-119,507,278
5,4,450,111,18,5098,-5098,5098,-5098,5098,-5098,4202,598,4202,598,4202,598,1010,262,945,-36,667,216
6,5,562,110,23,5090,-5090,5090,-5090,5090,-5090,4525,378,4525,378,4525,378,898,228,973,-12,707,144
7,6,675,110,15,5048,-5048,5048,-5048,5048,-5048,4818,158,4818,158,4818,158,878,200,1082,-24,780,175
8,7,787,110,18,4798,-4798,4798,-4798,4798,-4798,4859,-62,4859,-62,4859,-62,1031,214,1110,-167,727,-52
9,8,899,110,20,2791,-2791,2791,-2791,2791,-2791,4639,-282,4639,-282,4639,-282,1112,124,1110,36,873,124
10,9,1011,110,13,430,-430,430,-430,430,-430,4419,-324,4419,-324,4419,-324,1184,290,1178,-155,840,10
11,10,1123,110,16,-1330,1330,-1330,1330,-1330,1330,4199,6,4199,6,4199,6,1020,145,1110,-12,867,93
12,11,1235,110,14,-4519,4519,-4519,4519,-4519,4519,3979,336,3979,336,3979,336,1378,297,1712,-417,660,-495
13,12,1348,111,17,-5015,5015,-5015,5015,-5015,5015,3757,669,3757,669,3757,669,1235,283,1493,-274,767,-268
14,13,1460,110,21,-5087,5087,-5087,5087,-5087,5087,3537,999,3537,999,3537,999,1184,124,1192,-36,760,-134
