#Recorded data from Servotor32
#datetime: 20-11-2020_21h-56m-27s
#filename: tripod_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_21h-56m-27s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,0.99,0.497,-0.014,0.107,0.487,1.052,0.99,0.497,0.0,0.107,0.487,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,1.031,0.51,0.0,0.083,0.493,1.01,1.0,0.51,0.0,0.083,0.493,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,5.1,2.601,0.0,0.423,2.514,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.113,0.11,0.015,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.21,1.26,3.21,1.26,3.21,1.26,1.041,0.51,0.014,0.071,0.473,0.948,1.0,0.51,0.014,0.071,0.473,0.948,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.112,0.184,0.112,0.184,0.112,0.184,5.1,2.601,0.071,0.362,2.412,4.835,2.653,1.155,2.653,1.155,2.653,1.155
3,2,0.226,0.11,0.016,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.54,1.04,3.54,1.04,3.54,1.04,1.561,0.903,1.397,-0.583,0.14,-0.103,1.0,0.903,1.0,0.0,0.14,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.233,0.149,0.233,0.149,0.233,0.149,5.1,4.605,5.1,0.0,3.191,0.0,2.653,1.155,2.653,1.155,2.653,1.155
4,3,0.337,0.11,0.018,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.87,0.82,3.87,0.82,3.87,0.82,0.867,0.386,1.0,-0.119,0.507,0.278,0.867,0.386,1.0,0.0,0.507,0.278,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.421,0.119,0.421,0.119,0.421,0.119,4.805,1.969,5.1,0.0,4.006,1.418,2.653,1.155,2.653,1.155,2.653,1.155
5,4,0.45,0.111,0.018,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.202,0.598,4.202,0.598,4.202,0.598,1.01,0.262,0.945,-0.036,0.667,0.216,1.0,0.262,0.945,0.0,0.667,0.216,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.637,0.095,0.637,0.095,0.637,0.095,5.1,1.336,4.978,0.0,4.361,1.102,2.653,1.155,2.653,1.155,2.653,1.155
6,5,0.562,0.11,0.023,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.525,0.378,4.525,0.378,4.525,0.378,0.898,0.228,0.973,-0.012,0.707,0.144,0.898,0.228,0.973,0.0,0.707,0.144,2.994,0.0,2.994,0.0,2.994,0.0,0.988,0.0,0.988,0.0,0.988,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.805,0.075,0.805,0.075,0.805,0.075,4.874,1.163,5.04,0.0,4.45,0.734,2.653,1.155,2.653,1.155,2.653,1.155
7,6,0.675,0.11,0.015,5.048,-5.048,5.048,-5.048,5.048,-5.048,4.818,0.158,4.818,0.158,4.818,0.158,0.878,0.2,1.082,-0.024,0.78,0.175,0.878,0.2,1.0,0.0,0.78,0.175,2.965,0.0,2.965,0.0,2.965,0.0,0.932,0.0,0.932,0.0,0.932,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.9,0.059,0.9,0.059,0.9,0.059,4.829,1.02,5.1,0.0,4.612,0.893,2.653,1.155,2.653,1.155,2.653,1.155
8,7,0.787,0.11,0.018,4.798,-4.798,4.798,-4.798,4.798,-4.798,4.859,-0.062,4.859,-0.062,4.859,-0.062,1.031,0.214,1.11,-0.167,0.727,-0.052,1.0,0.214,1.0,0.0,0.727,0.0,2.795,0.0,2.795,0.0,2.795,0.0,0.475,0.0,0.475,0.0,0.475,0.0,3.99,2.519,3.99,2.519,3.99,2.519,2.88,-0.062,2.88,-0.062,2.88,-0.062,5.1,5.1,5.1,5.1,5.1,5.1,0.909,0.05,0.909,0.05,0.909,0.05,5.1,1.091,5.1,0.0,4.494,0.0,2.653,1.141,2.653,1.141,2.653,1.141
9,8,0.899,0.11,0.02,2.791,-2.791,2.791,-2.791,2.791,-2.791,4.639,-0.282,4.639,-0.282,4.639,-0.282,1.112,0.124,1.11,0.036,0.873,0.124,1.0,0.124,1.0,0.036,0.873,0.124,1.425,0.0,1.425,0.0,1.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,2.409,3.87,2.409,3.87,2.409,2.88,-0.282,2.88,-0.282,2.88,-0.282,4.859,5.1,4.859,5.1,4.859,5.1,0.908,0.05,0.908,0.05,0.908,0.05,5.1,0.578,5.1,0.124,4.818,0.578,2.976,1.094,2.976,1.094,2.976,1.094
