#Recorded data from Servotor32
#datetime: 20-11-2020_21h-59m-20s
#filename: wave_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_21h-59m-20s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,1047,470,-164,13,493,1146
1,0,0,110,0,7000,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,1070,463,-134,-120,514,1167
2,1,114,112,13,7000,-7000,-4200,-1400,1400,4200,4466,379,1779,3179,4579,5979,1105,483,-104,-40,486,1146
3,2,228,111,18,6999,-7000,-4200,-1400,1400,4201,4949,307,1707,3107,4507,5907,1047,503,254,0,417,906
4,3,339,110,20,6999,-7001,-4200,-1400,1401,4201,5427,235,1635,3035,4435,5835,953,362,149,187,438,896
5,4,452,111,13,6998,-7001,-4200,-1400,1401,4201,5910,163,1563,2963,4363,5763,826,356,164,107,535,906
6,5,566,110,17,6996,-6999,-4199,-1399,1401,4200,6386,91,1491,2891,4291,5692,988,336,209,227,576,927
7,6,678,110,18,6971,-6975,-4185,-1394,1396,4187,6836,20,1420,2820,4220,5621,1070,396,104,200,563,979
8,7,791,110,14,6691,-6697,-4018,-1338,1341,4020,6944,-52,1348,2748,4148,5550,1058,309,75,267,528,979
9,8,902,110,14,2960,-2964,-1778,-592,594,1780,6873,-123,1277,2677,4077,5478,1070,309,15,227,590,969
10,9,1014,110,13,455,-456,-273,-91,91,274,6801,-107,1206,2605,4005,5407,1116,329,134,240,563,823
11,10,1128,111,18,638,887,-989,-587,-179,230,6729,372,1133,2533,3933,5334,1209,383,284,-53,486,927
12,11,1240,110,20,3627,6019,-6034,-3620,-1204,1212,6658,850,1062,2462,3862,5263,1116,282,104,173,528,1042
13,12,1353,110,14,4112,6849,-6851,-4111,-1370,1371,6586,1329,990,2390,3790,5191,1174,161,134,200,514,990
14,13,1466,110,17,4186,6977,-6977,-4186,-1395,1396,6515,1807,919,2319,3719,5120,1233,201,75,187,528,1010
