#Recorded data from Servotor32
#datetime: 20-11-2020_21h-59m-20s
#filename: wave_x_b_sensors_open_horizontal_floor_loaded_20-11-2020_21h-59m-20s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,1.047,0.47,-0.164,0.013,0.493,1.146,1.0,0.47,0.0,0.013,0.493,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,0,0.0,0.11,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.979,0.451,1.851,3.251,4.651,6.052,1.07,0.463,-0.134,-0.12,0.514,1.167,1.0,0.463,0.0,0.0,0.514,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.599,0.071,0.2,0.448,0.725,0.895,7.0,3.241,0.0,0.0,3.598,7.0,0.841,0.841,0.841,0.841,0.841,0.841
2,1,0.114,0.112,0.013,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.466,0.379,1.779,3.179,4.579,5.979,1.105,0.483,-0.104,-0.04,0.486,1.146,1.0,0.483,0.0,0.0,0.486,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.693,0.068,0.19,0.433,0.945,0.947,7.0,3.381,0.0,0.0,3.402,7.0,0.841,0.841,0.841,0.841,1.266,0.973
3,2,0.228,0.111,0.018,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.949,0.307,1.707,3.107,4.507,5.907,1.047,0.503,0.254,0.0,0.417,0.906,1.0,0.503,0.254,0.0,0.417,0.906,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.772,0.064,0.181,0.418,0.941,0.943,7.0,3.521,1.778,0.0,1.939,5.483,0.841,0.841,0.841,0.841,1.266,0.973
4,3,0.339,0.11,0.02,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.427,0.235,1.635,3.035,4.435,5.835,0.953,0.362,0.149,0.187,0.438,0.896,0.953,0.362,0.149,0.187,0.438,0.896,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.835,0.06,0.172,0.403,0.935,0.939,6.671,2.534,1.043,1.309,2.037,5.423,0.841,0.841,0.841,0.841,1.266,0.973
5,4,0.452,0.111,0.013,6.998,-7.001,-4.2,-1.4,1.401,4.201,5.91,0.163,1.563,2.963,4.363,5.763,0.826,0.356,0.164,0.107,0.535,0.906,0.826,0.356,0.164,0.107,0.535,0.906,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.884,0.057,0.164,0.389,0.93,0.935,5.782,2.492,1.148,0.749,2.488,5.483,0.841,0.841,0.841,0.841,1.266,0.973
6,5,0.566,0.11,0.017,6.996,-6.999,-4.199,-1.399,1.401,4.2,6.386,0.091,1.491,2.891,4.291,5.692,0.988,0.336,0.209,0.227,0.576,0.927,0.988,0.336,0.209,0.227,0.576,0.927,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.919,0.054,0.156,0.375,0.923,0.93,6.916,2.352,1.463,1.589,2.679,5.61,0.841,0.841,0.841,0.841,1.266,0.973
7,6,0.678,0.11,0.018,6.971,-6.975,-4.185,-1.394,1.396,4.187,6.836,0.02,1.42,2.82,4.22,5.621,1.07,0.396,0.104,0.2,0.563,0.979,1.0,0.396,0.104,0.2,0.563,0.979,0.996,0.0,0.0,0.0,0.0,0.0,0.949,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,2.326,3.026,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.943,0.051,0.148,0.361,0.917,0.926,7.0,2.772,0.728,1.4,2.619,5.925,0.841,0.841,0.841,0.841,1.266,0.973
8,7,0.791,0.11,0.014,6.691,-6.697,-4.018,-1.338,1.341,4.02,6.944,-0.052,1.348,2.748,4.148,5.55,1.058,0.309,0.075,0.267,0.528,0.979,1.0,0.309,0.075,0.267,0.528,0.979,0.949,0.0,0.0,0.0,0.0,0.001,0.326,0.0,0.0,0.0,0.0,0.0,3.5,3.474,3.5,3.5,2.326,3.026,0.0,-0.052,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.651,6.052,0.948,0.05,0.141,0.347,0.91,0.921,7.0,2.163,0.525,1.869,2.456,5.925,0.841,0.835,0.841,0.841,1.266,0.973
9,8,0.902,0.11,0.014,2.96,-2.964,-1.778,-0.592,0.594,1.78,6.873,-0.123,1.277,2.677,4.077,5.478,1.07,0.309,0.015,0.227,0.59,0.969,1.0,0.309,0.015,0.227,0.59,0.969,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.472,3.438,3.5,3.5,2.326,3.026,0.0,-0.123,0.0,0.0,0.0,0.0,6.944,7.0,7.0,7.0,4.651,6.052,0.947,0.05,0.134,0.334,0.902,0.916,7.0,2.127,0.105,1.589,2.744,5.864,0.848,0.827,0.841,0.841,1.266,0.973
