#Recorded data from Servotor32
#datetime: 20-11-2020_21h-22m-09s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-22m-09s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,6000,-6000,0,6000,0,-6000,3000,1110,4110,3000,4110,1110,-16,-18,24,11,5,0
1,0,0,110,0,6000,-6000,0,6000,0,-6000,3401,961,3961,3401,3961,961,-32,0,41,51,22,18
2,1,114,111,14,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,0,18,47,34,44,41
3,2,230,111,18,6000,-6000,0,6000,0,-6000,4212,661,3661,4212,3661,661,430,218,288,356,197,189
4,3,341,110,20,6000,-6000,0,6000,0,-6000,4613,513,3513,4613,3513,513,661,118,171,672,93,89
5,4,456,112,15,5999,-5999,0,5999,0,-5999,5021,362,3362,5021,3362,362,978,76,88,972,60,83
6,5,571,112,25,5995,-5995,0,5995,0,-5995,5426,210,3210,5426,3210,210,1016,59,76,1062,55,77
7,6,683,110,22,5845,-5939,93,5845,93,-5939,5857,98,3107,5840,3092,82,1054,65,82,1023,55,36
8,7,796,111,14,5711,-5789,78,5711,78,-5789,6268,-13,3006,6261,2973,-42,1011,71,88,1028,55,47
9,8,910,111,17,5511,-5331,-180,5511,-180,-5331,6652,-130,2896,6653,2847,-120,962,59,71,977,44,130
10,9,1022,110,21,4753,-4622,-131,4753,-131,-4622,6959,-237,2796,6977,2731,-206,828,76,88,859,60,112
11,10,1135,111,15,2096,-2074,-22,2096,-22,-2074,7000,-325,2695,7037,2630,-320,344,112,88,379,87,65
12,11,1250,111,17,622,-667,45,622,45,-667,6922,-445,2574,6947,2514,-447,129,53,53,107,60,41
13,12,1362,110,20,273,-477,204,273,204,-477,6854,-571,2481,6845,2398,-573,145,41,100,85,60,41
14,13,1476,111,15,238,-253,15,238,15,-253,6778,-688,2370,6742,2288,-673,134,59,71,85,71,89
15,14,1590,111,18,381,870,-1251,381,-1251,870,6739,-681,2273,6643,2171,-623,199,282,94,90,60,361
16,15,1702,110,21,320,2761,-3082,320,-3082,2761,6679,-464,2179,6553,2059,-420,161,665,100,107,66,639
17,16,1816,111,15,124,4459,-4583,124,-4583,4459,6619,-95,2098,6457,1967,-67,161,935,124,96,104,905
18,17,1930,111,17,437,4959,-5397,437,-5397,4959,6579,307,1994,6363,1847,331,199,994,82,102,55,988
19,18,2042,110,21,220,5535,-5755,220,-5755,5535,6499,738,1890,6258,1732,749,124,1053,82,79,60,1030
20,19,2154,110,15,212,5586,-5798,212,-5798,5586,6433,1184,1794,6160,1625,1164,151,1082,94,90,77,1024
