#Recorded data from Servotor32
#datetime: 20-11-2020_21h-22m-09s
#filename: tetrapod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-22m-09s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.0,1.11,4.11,3.0,4.11,1.11,-0.016,-0.018,0.024,0.011,0.005,0.0,0.0,0.0,0.024,0.011,0.005,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5,0.135,0.748,0.5,0.748,0.135,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
1,0,0.0,0.11,0.0,6.0,-6.0,0.0,6.0,0.0,-6.0,3.401,0.961,3.961,3.401,3.961,0.961,-0.032,0.0,0.041,0.051,0.022,0.018,0.0,0.0,0.041,0.051,0.022,0.018,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.597,0.119,0.72,0.597,0.72,0.119,3.0,1.11,4.11,3.0,4.11,1.11,0.981,0.981,0.981,0.981,0.981,0.981
2,1,0.114,0.111,0.014,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,0.0,0.018,0.047,0.034,0.044,0.041,0.0,0.018,0.047,0.034,0.044,0.041,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.117,0.104,0.689,0.117,0.689,0.104,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
3,2,0.23,0.111,0.018,6.0,-6.0,0.0,6.0,0.0,-6.0,4.212,0.661,3.661,4.212,3.661,0.661,0.43,0.218,0.288,0.356,0.197,0.189,0.43,0.218,0.288,0.356,0.197,0.189,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.248,0.091,0.657,0.248,0.657,0.091,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
4,3,0.341,0.11,0.02,6.0,-6.0,0.0,6.0,0.0,-6.0,4.613,0.513,3.513,4.613,3.513,0.513,0.661,0.118,0.171,0.672,0.093,0.089,0.661,0.118,0.171,0.672,0.093,0.089,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.451,0.08,0.623,0.451,0.623,0.08,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
5,4,0.456,0.112,0.015,5.999,-5.999,0.0,5.999,0.0,-5.999,5.021,0.362,3.362,5.021,3.362,0.362,0.978,0.076,0.088,0.972,0.06,0.083,0.978,0.076,0.088,0.972,0.06,0.083,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.674,0.07,0.588,0.674,0.588,0.07,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
6,5,0.571,0.112,0.025,5.995,-5.995,0.0,5.995,0.0,-5.995,5.426,0.21,3.21,5.426,3.21,0.21,1.016,0.059,0.076,1.062,0.055,0.077,1.0,0.059,0.076,1.0,0.055,0.077,1.998,0.0,0.0,1.998,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.838,0.061,0.551,0.838,0.551,0.061,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
7,6,0.683,0.11,0.022,5.845,-5.939,0.093,5.845,0.093,-5.939,5.857,0.098,3.107,5.84,3.092,0.082,1.054,0.065,0.082,1.023,0.055,0.036,1.0,0.065,0.082,1.0,0.055,0.036,2.0,0.13,0.164,2.0,0.11,0.072,0.89,0.0,0.0,0.89,0.0,0.0,4.7,3.0,3.0,4.7,3.0,3.0,3.401,0.0,0.0,3.401,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.932,0.055,0.526,0.93,0.523,0.054,3.0,1.11,4.11,3.0,4.11,1.11,2.266,0.981,0.981,2.266,0.981,0.981
8,7,0.796,0.111,0.014,5.711,-5.789,0.078,5.711,0.078,-5.789,6.268,-0.013,3.006,6.261,2.973,-0.042,1.011,0.071,0.088,1.028,0.055,0.047,1.0,0.071,0.088,1.0,0.055,0.047,2.0,0.142,0.176,2.0,0.11,0.094,0.325,0.0,0.0,0.344,0.0,0.0,4.834,2.994,3.0,4.831,3.0,2.979,3.401,-0.013,0.0,3.401,0.0,-0.042,6.268,6.0,6.0,6.261,6.0,6.0,0.95,0.05,0.501,0.95,0.493,0.05,3.0,1.11,4.11,3.0,4.11,1.11,2.054,0.979,0.981,2.059,0.981,0.975
9,8,0.91,0.111,0.017,5.511,-5.331,-0.18,5.511,-0.18,-5.331,6.652,-0.13,2.896,6.653,2.847,-0.12,0.962,0.059,0.071,0.977,0.044,0.13,0.962,0.059,0.071,0.977,0.044,0.13,1.924,0.118,0.142,1.954,0.088,0.26,0.022,0.0,0.0,0.023,0.0,0.0,5.026,2.935,3.0,5.027,3.0,2.94,3.401,-0.13,0.0,3.401,0.0,-0.12,6.652,6.0,6.0,6.653,6.0,6.0,0.95,0.05,0.475,0.95,0.463,0.05,3.0,1.11,4.11,3.0,4.11,1.11,1.811,0.961,0.981,1.811,0.981,0.962
