#Recorded data from Servotor32
#datetime: 20-11-2020_21h-17m-40s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-17m-40s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,113,111,14,5100,-5100,5100,-5100,5100,-5100,3213,1258,3213,1258,3213,1258,11,0,-6,24,23,65
1,3,338,110,20,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,721,47,815,176,514,194
2,4,452,111,15,5098,-5098,5098,-5098,5098,-5098,4207,594,4207,594,4207,594,995,23,1018,100,938,106
3,5,567,111,17,5090,-5090,5090,-5090,5090,-5090,4534,372,4534,372,4534,372,1055,70,1149,165,1124,206
4,6,679,110,20,4802,-4802,4802,-4802,4802,-4802,4894,178,4874,223,4901,246,1055,47,1018,129,1068,171
5,7,793,112,14,4871,-4871,4871,-4871,4871,-4871,5254,-30,5216,62,5259,68,1044,29,1012,112,1040,82
6,8,908,111,17,4438,-4438,4438,-4438,4438,-4438,5596,-217,5536,-59,5555,-92,1016,64,976,182,932,112
7,9,1020,110,14,3378,-3378,3378,-3378,3378,-3378,5791,-414,5686,-214,5735,-244,754,41,673,118,729,124
8,10,1133,110,14,1640,-1640,1640,-1640,1640,-1640,5740,-596,5702,-366,5721,-390,306,70,429,124,373,135
9,11,1247,111,18,428,-428,428,-428,428,-428,5593,-773,5579,-484,5637,-520,137,81,179,188,249,165
10,12,1359,110,20,308,-308,308,-308,308,-308,5451,-958,5411,-626,5559,-672,142,64,95,141,260,124
11,13,1472,111,14,213,-213,213,-213,213,-213,5320,-1141,5262,-737,5466,-816,164,70,131,200,232,141
12,15,1698,110,19,-2832,2832,-2832,2832,-2832,2832,5136,-973,5025,-349,5278,-467,169,616,143,876,209,859
13,16,1810,110,14,-4023,4023,-4023,4023,-4023,4023,4991,-643,4880,-71,5176,-95,137,1000,137,906,215,1076
14,17,1922,110,23,-4518,4518,-4518,4518,-4518,4518,4897,-246,4772,359,5074,265,230,1122,202,1182,215,1053
