#Recorded data from Servotor32
#datetime: 20-11-2020_21h-17m-40s
#filename: tripod_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-17m-40s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.113,0.111,0.014,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.213,1.258,3.213,1.258,3.213,1.258,0.011,0.0,-0.006,0.024,0.023,0.065,0.011,0.0,0.0,0.024,0.023,0.065,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.683,0.184,0.683,0.184,0.683,0.184,3.213,1.258,3.213,1.258,3.213,1.258,1.155,1.155,1.155,1.155,1.155,1.155
1,3,0.338,0.11,0.02,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.721,0.047,0.815,0.176,0.514,0.194,0.721,0.047,0.815,0.176,0.514,0.194,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.822,0.119,0.822,0.119,0.822,0.119,3.213,1.258,3.213,1.258,3.213,1.258,1.155,1.155,1.155,1.155,1.155,1.155
2,4,0.452,0.111,0.015,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.207,0.594,4.207,0.594,4.207,0.594,0.995,0.023,1.018,0.1,0.938,0.106,0.995,0.023,1.0,0.1,0.938,0.106,3.0,0.0,3.0,0.0,3.0,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.206,0.095,0.206,0.095,0.206,0.095,3.213,1.258,3.213,1.258,3.213,1.258,4.811,1.155,4.811,1.155,4.811,1.155
3,5,0.567,0.111,0.017,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.534,0.372,4.534,0.372,4.534,0.372,1.055,0.07,1.149,0.165,1.124,0.206,1.0,0.07,1.0,0.165,1.0,0.206,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.555,0.075,0.555,0.075,0.555,0.075,3.213,1.258,3.213,1.258,3.213,1.258,4.811,1.155,4.811,1.155,4.811,1.155
4,6,0.679,0.11,0.02,4.802,-4.802,4.802,-4.802,4.802,-4.802,4.894,0.178,4.874,0.223,4.901,0.246,1.055,0.047,1.018,0.129,1.068,0.171,1.0,0.047,1.0,0.129,1.0,0.171,3.0,0.141,3.0,0.387,3.0,0.513,0.792,0.0,0.792,0.0,0.792,0.0,4.488,2.55,4.488,2.55,4.488,2.55,3.876,0.0,3.876,0.0,3.876,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.876,0.061,0.865,0.064,0.879,0.065,3.213,1.258,3.213,1.258,3.213,1.258,4.811,1.155,4.811,1.155,4.811,1.155
5,7,0.793,0.112,0.014,4.871,-4.871,4.871,-4.871,4.871,-4.871,5.254,-0.03,5.216,0.062,5.259,0.068,1.044,0.029,1.012,0.112,1.04,0.082,1.0,0.029,1.0,0.112,1.0,0.082,3.0,0.087,3.0,0.336,3.0,0.246,0.471,0.0,0.496,0.0,0.463,0.0,4.565,2.535,4.546,2.55,4.568,2.55,3.876,-0.03,3.876,0.0,3.876,0.0,5.254,5.1,5.216,5.1,5.259,5.1,0.95,0.05,0.95,0.054,0.95,0.054,3.213,1.258,3.213,1.258,3.213,1.258,4.273,1.148,4.395,1.155,4.258,1.155
6,8,0.908,0.111,0.017,4.438,-4.438,4.438,-4.438,4.438,-4.438,5.596,-0.217,5.536,-0.059,5.555,-0.092,1.016,0.064,0.976,0.182,0.932,0.112,1.0,0.064,0.976,0.182,0.932,0.112,3.0,0.192,2.928,0.546,2.796,0.336,0.017,0.0,0.02,0.0,0.016,0.0,4.736,2.442,4.706,2.52,4.716,2.504,3.876,-0.217,3.876,-0.059,3.876,-0.092,5.596,5.1,5.536,5.1,5.555,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.213,1.258,3.213,1.258,3.213,1.258,3.424,1.108,3.548,1.141,3.507,1.134
7,9,1.02,0.11,0.014,3.378,-3.378,3.378,-3.378,3.378,-3.378,5.791,-0.414,5.686,-0.214,5.735,-0.244,0.754,0.041,0.673,0.118,0.729,0.124,0.754,0.041,0.673,0.118,0.729,0.124,2.262,0.123,2.019,0.354,2.187,0.372,0.0,0.0,0.0,0.0,0.0,0.0,4.834,2.343,4.781,2.443,4.806,2.428,3.876,-0.414,3.876,-0.214,3.876,-0.244,5.791,5.1,5.686,5.1,5.735,5.1,0.95,0.05,0.95,0.05,0.95,0.05,3.213,1.258,3.213,1.258,3.213,1.258,3.075,1.068,3.254,1.108,3.168,1.102
8,10,1.133,0.11,0.014,1.64,-1.64,1.64,-1.64,1.64,-1.64,5.74,-0.596,5.702,-0.366,5.721,-0.39,0.306,0.07,0.429,0.124,0.373,0.135,0.306,0.07,0.429,0.124,0.373,0.135,0.918,0.21,1.287,0.372,1.119,0.405,0.0,0.002,0.0,0.001,0.0,0.001,4.834,2.252,4.789,2.367,4.806,2.355,3.876,-0.596,3.876,-0.366,3.876,-0.39,5.791,5.1,5.702,5.1,5.735,5.1,0.942,0.05,0.95,0.05,0.948,0.05,3.213,1.258,3.213,1.258,3.213,1.258,3.075,1.034,3.225,1.077,3.168,1.073
9,11,1.247,0.111,0.018,0.428,-0.428,0.428,-0.428,0.428,-0.428,5.593,-0.773,5.579,-0.484,5.637,-0.52,0.137,0.081,0.179,0.188,0.249,0.165,0.137,0.081,0.179,0.188,0.249,0.165,0.411,0.243,0.537,0.564,0.747,0.495,0.0,0.698,0.0,0.423,0.0,0.453,4.834,2.164,4.789,2.308,4.806,2.29,3.876,-0.773,3.876,-0.484,3.876,-0.52,5.791,5.1,5.702,5.1,5.735,5.1,0.912,0.05,0.927,0.05,0.933,0.05,3.213,1.258,3.213,1.258,3.213,1.258,3.075,1.003,3.225,1.055,3.168,1.048
