#Recorded data from Servotor32
#datetime: 20-11-2020_21h-26m-28s
#filename: wave_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-26m-28s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,-7000,-4200,-1400,1400,4200,3500,523,1923,3323,4723,6123,-5,23,12,6,-17,18
1,1,112,110,13,7000,-7000,-4200,-1400,1400,4200,4457,380,1780,3180,4580,5980,22,51,30,69,6,24
2,2,224,110,15,6999,-7000,-4200,-1400,1400,4201,4935,308,1708,3108,4508,5909,254,80,77,92,56,95
3,3,337,110,14,6999,-7001,-4200,-1400,1401,4201,5414,237,1637,3037,4437,5837,708,51,24,63,33,54
4,4,449,110,18,6999,-7001,-4200,-1400,1401,4201,5892,165,1565,2965,4365,5766,978,46,65,69,83,143
5,5,561,110,19,6996,-6999,-4199,-1399,1401,4201,6369,94,1494,2894,4294,5695,1011,46,42,46,6,48
6,6,676,112,14,7041,-6741,-4155,-1687,1227,4315,6868,50,1455,2837,4231,5645,1022,51,60,29,17,42
7,7,789,110,18,6219,-6727,-3593,-1101,1262,3940,7349,7,1435,2826,4208,5636,1005,51,95,109,89,113
8,8,901,110,20,6994,-6697,-4208,-1516,1176,4251,7843,-30,1387,2776,4146,5584,1027,63,42,40,17,36
9,9,1015,112,13,6979,-6243,-4140,-1622,1003,4023,8318,-61,1341,2726,4082,5521,978,74,48,40,17,18
10,10,1128,110,16,4334,-4159,-2659,-878,453,2909,8576,-98,1295,2699,4014,5492,600,63,48,80,6,77
11,11,1239,110,18,1307,-1070,-877,-337,70,906,8576,-138,1244,2650,3954,5444,130,57,36,40,22,42
12,12,1352,111,15,723,-575,-215,-257,-34,359,8579,-185,1214,2609,3910,5398,135,46,77,57,50,48
13,13,1464,110,15,1125,-803,-522,-421,-2,623,8615,-225,1179,2563,3857,5349,195,57,65,46,33,42
14,14,1577,111,14,954,-331,-1258,-340,59,917,8629,-212,1120,2526,3803,5327,157,154,24,63,33,89
15,15,1690,111,18,577,389,325,-645,-443,-203,8620,-224,1153,2511,3790,5288,114,109,190,103,106,60
16,16,1802,110,21,1725,800,-1659,-1315,-410,859,8665,-119,1144,2487,3752,5269,211,320,113,86,61,95
17,17,1916,112,14,2589,1478,-2598,-1884,-870,1286,8719,42,1135,2469,3691,5239,227,417,113,98,22,77
18,18,2030,110,17,3330,5000,-5264,-3332,-1125,1391,8719,486,1135,2461,3678,5243,130,937,131,115,106,137
19,19,2141,110,19,4673,6087,-6710,-4350,-1504,1804,8722,967,1103,2411,3613,5191,135,1006,71,40,11,36
20,20,2254,110,13,5101,6027,-7247,-4586,-1404,2108,8754,1465,1074,2365,3556,5152,189,1034,77,46,28,60
21,21,2365,110,15,5040,6954,-7026,-4340,-1830,1202,8781,2022,1081,2382,3555,5117,178,1143,143,161,128,65
22,22,2477,111,14,5029,6622,-7084,-4542,-1661,1636,8781,2524,1049,2336,3495,5058,130,1034,71,46,22,24
23,23,2590,111,17,4749,6467,-6773,-4321,-1698,1575,8775,3010,1019,2302,3439,5006,119,1006,77,69,28,36
24,24,2702,110,12,4843,6588,-6814,-4612,-1604,1599,8766,3498,997,2249,3382,4947,114,1017,89,34,28,24
25,25,2814,110,13,4736,6366,-6872,-4519,-1428,1716,8768,3985,975,2203,3335,4905,135,1017,89,46,44,54
26,26,2928,110,16,5272,6467,-7105,-4594,-1768,1728,8786,4486,946,2166,3273,4840,162,1040,77,63,17,12
27,27,3040,110,18,5278,6994,-7246,-4861,-1800,1634,8795,5024,936,2133,3229,4788,146,1109,113,69,50,36
28,28,3154,110,13,5185,7073,-6503,-5183,-2129,1557,8786,5518,953,2087,3160,4723,114,1029,161,46,6,12
29,29,3265,110,15,5600,7018,-7179,-5451,-2067,2078,8821,6066,973,2053,3101,4688,195,1126,167,69,22,65
30,30,3377,110,14,5056,6809,-6930,-4785,-1770,1620,8812,6563,951,2007,3045,4626,114,1034,89,46,28,18
31,31,3490,111,18,4878,6639,-6836,-4430,-1938,1686,8809,7062,925,1982,2979,4577,124,1029,83,86,11,42
32,32,3602,110,20,5253,6045,-7128,-4756,-1667,2252,8851,7553,909,1939,2911,4542,205,1023,101,52,6,65
33,33,3716,111,14,5068,6356,-7062,-4738,-1850,2226,8862,8055,890,1902,2832,4506,151,1034,95,63,-11,65
34,34,3829,110,18,3371,4033,-3923,-3110,-1497,1125,8859,8298,887,1872,2770,4451,124,571,125,75,17,30
35,35,3941,110,19,1779,1186,-1330,-1502,-763,630,8862,8324,875,1829,2708,4396,135,177,107,52,17,30
36,36,4055,111,13,1193,703,-667,-1028,-453,252,8862,8347,872,1795,2672,4350,130,171,125,69,67,48
37,37,4169,111,17,1532,1437,-1502,-1316,-451,301,8853,8443,853,1755,2637,4298,114,303,95,57,67,36
38,38,4281,110,12,951,724,-759,-675,-525,284,8841,8462,830,1734,2590,4259,108,166,89,92,44,60
39,39,4393,110,12,1622,1542,-1368,-1441,-859,505,8849,8573,841,1719,2549,4227,146,331,149,103,56,71
40,40,4505,110,16,2207,1878,-1184,-1923,-1456,479,8903,8715,910,1746,2524,4207,227,389,256,178,83,95
41,41,4616,110,14,1475,1359,-584,-1373,-1239,362,8903,8770,933,1741,2470,4172,130,229,173,121,33,65
42,42,4730,110,18,1591,1380,-1090,-1345,-821,284,8906,8849,934,1716,2433,4123,135,274,131,86,61,42
43,43,4841,110,12,1297,818,-812,-1061,-617,375,8938,8913,957,1718,2416,4111,189,246,173,132,100,107
44,44,4953,110,13,1411,1514,-1347,-1481,-700,604,8938,9020,968,1697,2378,4092,130,326,149,92,61,95
45,45,5065,110,16,1336,2084,-1210,-1423,-837,51,8929,9150,994,1698,2371,4066,114,366,179,132,117,83
