#Recorded data from Servotor32
#datetime: 20-11-2020_21h-26m-28s
#filename: wave_x_b_sensors_closed_vertical_floor_loaded_20-11-2020_21h-26m-28s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: closed
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,-7.0,-4.2,-1.4,1.4,4.2,3.5,0.523,1.923,3.323,4.723,6.123,-0.005,0.023,0.012,0.006,-0.017,0.018,0.0,0.023,0.012,0.006,0.0,0.018,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5,0.076,0.21,0.463,0.737,0.901,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
1,1,0.112,0.11,0.013,7.0,-7.0,-4.2,-1.4,1.4,4.2,4.457,0.38,1.78,3.18,4.58,5.98,0.022,0.051,0.03,0.069,0.006,0.024,0.022,0.051,0.03,0.069,0.006,0.024,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.691,0.068,0.19,0.433,0.713,0.89,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,0.841,0.841
2,2,0.224,0.11,0.015,6.999,-7.0,-4.2,-1.4,1.4,4.201,4.935,0.308,1.708,3.108,4.508,5.909,0.254,0.08,0.077,0.092,0.056,0.095,0.254,0.08,0.077,0.092,0.056,0.095,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.58,5.98,0.77,0.064,0.181,0.418,0.945,0.947,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
3,3,0.337,0.11,0.014,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.414,0.237,1.637,3.037,4.437,5.837,0.708,0.051,0.024,0.063,0.033,0.054,0.708,0.051,0.024,0.063,0.033,0.054,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.58,5.98,0.833,0.06,0.173,0.404,0.941,0.943,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
4,4,0.449,0.11,0.018,6.999,-7.001,-4.2,-1.4,1.401,4.201,5.892,0.165,1.565,2.965,4.365,5.766,0.978,0.046,0.065,0.069,0.083,0.143,0.978,0.046,0.065,0.069,0.083,0.143,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.58,5.98,0.882,0.057,0.164,0.389,0.935,0.939,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
5,5,0.561,0.11,0.019,6.996,-6.999,-4.199,-1.399,1.401,4.201,6.369,0.094,1.494,2.894,4.294,5.695,1.011,0.046,0.042,0.046,0.006,0.048,1.0,0.046,0.042,0.046,0.006,0.048,1.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.58,5.98,0.918,0.054,0.156,0.375,0.929,0.935,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
6,6,0.676,0.112,0.014,7.041,-6.741,-4.155,-1.687,1.227,4.315,6.868,0.05,1.455,2.837,4.231,5.645,1.022,0.051,0.06,0.029,0.017,0.042,1.0,0.051,0.06,0.029,0.017,0.042,1.0,0.051,0.06,0.029,0.017,0.042,0.966,0.0,0.0,0.0,0.0,0.001,3.5,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,4.58,5.98,0.944,0.052,0.152,0.364,0.924,0.932,3.5,0.523,1.923,3.323,4.723,6.123,0.841,0.841,0.841,0.841,1.286,0.985
7,7,0.789,0.11,0.018,6.219,-6.727,-3.593,-1.101,1.262,3.94,7.349,0.007,1.435,2.826,4.208,5.636,1.005,0.051,0.095,0.109,0.089,0.113,1.0,0.051,0.095,0.109,0.089,0.113,1.0,0.051,0.095,0.109,0.089,0.113,0.038,0.0,0.0,0.0,0.0,0.0,3.674,3.5,3.5,3.5,2.29,2.99,0.0,0.0,0.0,0.0,0.0,0.0,7.349,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.15,0.362,0.922,0.931,3.5,0.523,1.923,3.323,4.723,6.123,0.801,0.841,0.841,0.841,1.286,0.985
8,8,0.901,0.11,0.02,6.994,-6.697,-4.208,-1.516,1.176,4.251,7.843,-0.03,1.387,2.776,4.146,5.584,1.027,0.063,0.042,0.04,0.017,0.036,1.0,0.063,0.042,0.04,0.017,0.036,1.0,0.063,0.042,0.04,0.017,0.036,0.145,0.0,0.0,0.0,0.0,0.001,3.922,3.485,3.5,3.5,2.29,2.99,0.0,-0.03,0.0,0.0,0.0,0.0,7.843,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.145,0.352,0.916,0.928,3.5,0.523,1.923,3.323,4.723,6.123,0.751,0.838,0.841,0.841,1.286,0.985
9,9,1.015,0.112,0.013,6.979,-6.243,-4.14,-1.622,1.003,4.023,8.318,-0.061,1.341,2.726,4.082,5.521,0.978,0.074,0.048,0.04,0.017,0.018,0.978,0.074,0.048,0.04,0.017,0.018,0.978,0.074,0.048,0.04,0.017,0.018,0.013,0.0,0.0,0.0,0.0,0.0,4.159,3.47,3.5,3.5,2.29,2.99,0.0,-0.061,0.0,0.0,0.0,0.0,8.318,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.14,0.343,0.909,0.924,3.5,0.523,1.923,3.323,4.723,6.123,0.708,0.834,0.841,0.841,1.286,0.985
10,10,1.128,0.11,0.016,4.334,-4.159,-2.659,-0.878,0.453,2.909,8.576,-0.098,1.295,2.699,4.014,5.492,0.6,0.063,0.048,0.08,0.006,0.077,0.6,0.063,0.048,0.08,0.006,0.077,0.6,0.063,0.048,0.08,0.006,0.077,0.0,0.0,0.0,0.0,0.0,0.0,4.288,3.451,3.5,3.5,2.29,2.99,0.0,-0.098,0.0,0.0,0.0,0.0,8.576,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.135,0.338,0.902,0.922,3.5,0.523,1.923,3.323,4.723,6.123,0.687,0.83,0.841,0.841,1.286,0.985
11,11,1.239,0.11,0.018,1.307,-1.07,-0.877,-0.337,0.07,0.906,8.576,-0.138,1.244,2.65,3.954,5.444,0.13,0.057,0.036,0.04,0.022,0.042,0.13,0.057,0.036,0.04,0.022,0.042,0.13,0.057,0.036,0.04,0.022,0.042,0.0,0.008,0.0,0.0,0.0,0.0,4.288,3.431,3.5,3.5,2.29,2.99,0.0,-0.138,0.0,0.0,0.0,0.0,8.576,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.13,0.328,0.895,0.918,3.5,0.523,1.923,3.323,4.723,6.123,0.687,0.825,0.841,0.841,1.286,0.985
12,12,1.352,0.111,0.015,0.723,-0.575,-0.215,-0.257,-0.034,0.359,8.579,-0.185,1.214,2.609,3.91,5.398,0.135,0.046,0.077,0.057,0.05,0.048,0.135,0.046,0.077,0.057,0.05,0.048,0.135,0.046,0.077,0.057,0.05,0.048,0.0,0.101,0.001,0.0,0.0,0.0,4.29,3.408,3.5,3.5,2.29,2.99,0.0,-0.185,0.0,0.0,0.0,0.0,8.579,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.128,0.321,0.889,0.915,3.5,0.523,1.923,3.323,4.723,6.123,0.686,0.82,0.841,0.841,1.286,0.985
13,13,1.464,0.11,0.015,1.125,-0.803,-0.522,-0.421,-0.002,0.623,8.615,-0.225,1.179,2.563,3.857,5.349,0.195,0.057,0.065,0.046,0.033,0.042,0.195,0.057,0.065,0.046,0.033,0.042,0.195,0.057,0.065,0.046,0.033,0.042,0.0,0.044,0.0,0.0,0.0,0.0,4.308,3.388,3.5,3.5,2.29,2.99,0.0,-0.225,0.0,0.0,0.0,0.0,8.615,7.0,7.0,7.0,4.58,5.98,0.95,0.05,0.124,0.313,0.882,0.911,3.5,0.523,1.923,3.323,4.723,6.123,0.684,0.815,0.841,0.841,1.286,0.985
14,14,1.577,0.111,0.014,0.954,-0.331,-1.258,-0.34,0.059,0.917,8.629,-0.212,1.12,2.526,3.803,5.327,0.157,0.154,0.024,0.063,0.033,0.089,0.157,0.154,0.024,0.063,0.033,0.089,0.157,0.154,0.024,0.063,0.033,0.089,0.0,0.371,0.0,0.0,0.0,0.0,4.314,3.388,3.5,3.5,2.29,2.99,0.0,-0.225,0.0,0.0,0.0,0.0,8.629,7.0,7.0,7.0,4.58,5.98,0.95,0.051,0.119,0.306,0.875,0.909,3.5,0.523,1.923,3.323,4.723,6.123,0.682,0.815,0.841,0.841,1.286,0.985
15,15,1.69,0.111,0.018,0.577,0.389,0.325,-0.645,-0.443,-0.203,8.62,-0.224,1.153,2.511,3.79,5.288,0.114,0.109,0.19,0.103,0.106,0.06,0.114,0.109,0.19,0.103,0.106,0.06,0.114,0.109,0.19,0.103,0.106,0.06,0.0,0.953,0.018,0.0,0.0,0.0,4.314,-0.218,4.06,3.5,2.29,2.99,0.0,-0.225,1.12,0.0,0.0,0.0,8.629,-0.212,7.0,7.0,4.58,5.98,0.95,0.076,0.052,0.303,0.873,0.906,3.5,0.523,1.923,3.323,4.723,6.123,0.682,452.991,1.002,0.841,1.286,0.985
16,16,1.802,0.11,0.021,1.725,0.8,-1.659,-1.315,-0.41,0.859,8.665,-0.119,1.144,2.487,3.752,5.269,0.211,0.32,0.113,0.086,0.061,0.095,0.211,0.32,0.113,0.086,0.061,0.095,0.211,0.32,0.113,0.086,0.061,0.095,0.0,0.994,0.0,0.0,0.0,0.0,8.643,-0.172,1.136,3.5,2.29,2.99,8.62,-0.224,1.12,0.0,0.0,0.0,8.665,-0.119,1.153,7.0,4.58,5.98,0.95,0.95,0.792,0.299,0.868,0.904,3.5,0.523,1.923,3.323,4.723,6.123,130.864,56.085,178.451,0.841,1.286,0.985
17,17,1.916,0.112,0.014,2.589,1.478,-2.598,-1.884,-0.87,1.286,8.719,0.042,1.135,2.469,3.691,5.239,0.227,0.417,0.113,0.098,0.022,0.077,0.227,0.417,0.113,0.098,0.022,0.077,0.227,0.417,0.113,0.098,0.022,0.077,0.0,1.0,0.0,0.0,0.0,0.0,8.67,-0.091,1.136,3.5,2.29,2.99,8.62,-0.224,1.12,0.0,0.0,0.0,8.719,0.042,1.153,7.0,4.58,5.98,0.95,0.95,0.433,0.296,0.858,0.902,3.5,0.523,1.923,3.323,4.723,6.123,59.484,22.139,178.451,0.841,1.286,0.985
