#Recorded data from Servotor32
#datetime: 20-11-2020_21h-00m-56s
#filename: tetrapod_x_b_sensors_open_vertical_floor_loaded_20-11-2020_21h-00m-56s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,114,111,14,6000,-6000,0,6000,0,-6000,3807,811,3811,3807,3811,811,5,0,0,-18,-6,6
1,2,227,110,19,6000,-6000,0,6000,0,-6000,4208,663,3663,4208,3663,663,358,174,185,349,124,188
2,3,339,110,20,6000,-6000,0,6000,0,-6000,4610,514,3514,4610,3514,514,695,108,117,741,51,36
3,4,452,111,14,5999,-5999,0,5999,0,-5999,5014,364,3364,5014,3364,364,963,60,37,964,17,67
4,6,677,110,19,5962,-5962,0,5962,0,-5962,5780,67,3067,5780,3067,67,963,54,37,1000,11,42
5,7,790,110,20,5689,-5689,0,5689,0,-5689,5845,-81,2919,5845,2919,-81,1096,126,37,994,11,42
6,9,1014,110,14,438,-438,0,438,0,-438,5548,-235,2622,5548,2622,-235,866,102,62,1000,11,79
7,10,1128,111,18,64,1271,-1335,64,-1335,1271,5398,170,2472,5398,2472,170,289,90,99,482,73,115
8,11,1239,110,20,10,5270,-5280,10,-5280,5270,5250,572,2324,5250,2324,572,273,156,74,120,79,261
9,12,1353,112,15,1,5899,-5900,1,-5900,5899,5099,980,2172,5099,2172,980,214,623,93,84,56,691
10,13,1466,110,24,0,5984,-5985,0,-5985,5984,4950,1382,2024,4950,2024,1382,182,1036,68,60,34,1006
11,14,1578,110,19,0,5998,-5998,0,-5998,5998,4802,1783,1875,4802,1875,1783,251,1042,74,66,101,1018
12,15,1692,110,18,0,6000,-6000,0,-6000,6000,4653,2185,1727,4653,1727,2185,203,1090,68,48,34,1121
13,16,1807,110,25,0,6000,-6000,0,-6000,6000,4505,2586,1578,4505,1578,2586,241,1066,93,42,45,1042
14,17,1919,110,21,0,6000,-6000,0,-6000,6000,4356,2988,1430,4356,1430,2988,209,1042,62,42,45,1006
15,18,2034,112,15,0,6000,-6000,0,-6000,6000,4205,3397,1279,4205,1279,3397,139,1024,49,36,56,1018
16,19,2148,111,18,0,6000,-6000,0,-6000,6000,4055,3802,1129,4055,1129,3802,187,1042,62,18,51,1036
17,20,2260,110,21,0,6000,-6000,0,-6000,6000,3907,4203,980,3907,980,4203,144,1036,62,24,22,1036
18,21,2373,111,14,0,6000,-6000,0,-6000,6000,3757,4608,830,3757,830,4608,150,1198,74,48,34,1109
19,22,2487,110,18,0,5999,-5999,0,-5999,5999,3608,5009,682,3608,682,5009,187,1048,99,6,45,1048
20,23,2599,110,20,0,5995,-5995,0,-5995,5995,3460,5407,533,3460,533,5407,209,1078,111,48,51,1048
21,24,2714,112,15,0,5962,-5962,0,-5962,5962,3309,5783,382,3309,382,5783,150,1042,62,30,45,1036
22,25,2828,111,25,0,5694,-5694,0,-5694,5694,3159,5850,232,3159,232,5850,134,1066,74,18,51,1048
23,26,2940,110,21,0,2860,-2860,0,-2860,2860,3010,5701,84,3010,84,5701,176,1090,74,48,45,1042
24,27,3054,111,14,0,418,-418,0,-418,418,2860,5552,-24,2860,-24,5552,230,892,74,72,39,861
25,28,3168,111,18,-385,61,324,-385,324,61,2711,5402,298,2711,298,5402,225,383,93,30,56,236
26,29,3280,110,21,-4380,9,4370,-4380,4370,9,2562,5253,700,2562,700,5253,144,144,142,48,67,73
27,30,3392,110,15,-5751,1,5749,-5751,5749,1,2414,5105,1101,2414,1101,5105,182,281,512,139,388,97
28,31,3506,110,25,-5962,0,5961,-5962,5961,0,2265,4956,1503,2265,1503,4956,96,156,889,90,798,79
29,32,3618,110,20,-5994,0,5994,-5994,5994,0,2117,4808,1904,2117,1904,4808,86,263,1000,90,966,30
30,33,3732,111,17,-5999,0,5999,-5999,5999,0,1967,4658,2309,1967,2309,4658,86,144,1049,84,994,30
31,34,3848,111,25,-6000,0,6000,-6000,6000,0,1817,4508,2715,1817,2715,4508,80,126,1049,78,1034,30
32,35,3959,110,20,-6000,0,6000,-6000,6000,0,1668,4360,3116,1668,3116,4360,91,168,1093,90,1045,12
33,36,4072,110,14,-6000,0,6000,-6000,6000,0,1520,4211,3518,1520,3518,4211,70,156,1111,108,1022,6
34,37,4183,110,23,-6000,0,6000,-6000,6000,0,1371,4063,3919,1371,3919,4063,96,263,1204,163,1135,36
35,38,4295,111,16,-6000,0,6000,-6000,6000,0,1222,3913,4324,1222,4324,3913,96,138,1080,120,1028,61
36,39,4407,110,18,-6000,0,6000,-6000,6000,0,1073,3764,4726,1073,4726,3764,96,222,1080,72,1045,67
37,40,4519,110,19,-5999,0,5999,-5999,5999,0,925,3616,5126,925,5126,3616,70,251,1062,84,1039,61
38,41,4632,110,14,-5991,0,5991,-5991,5991,0,776,3467,5520,776,5520,3467,91,222,1062,102,1034,-12
39,42,4743,110,23,-5932,0,5932,-5932,5932,0,628,3319,5860,628,5860,3319,86,102,1136,145,1169,79
40,43,4855,110,16,-5416,0,5416,-5416,5416,0,479,3170,5765,479,5765,3170,59,114,1080,84,1017,6
41,44,4968,111,18,-1293,0,1293,-1293,1293,0,329,3020,5615,329,5615,3020,48,138,1086,199,1067,55
42,45,5080,110,21,-198,-1,199,-198,199,-1,218,2872,5467,218,5467,2872,91,138,944,102,871,42
43,46,5194,111,15,313,-342,29,313,29,-342,410,2722,5317,410,5317,2722,112,162,309,157,298,42
44,47,5308,110,18,3182,-3186,4,3182,4,-3186,812,2573,5168,812,5168,2573,123,150,216,193,253,109
45,48,5419,110,20,5566,-5567,1,5566,1,-5567,1213,2425,5020,1213,5020,2425,305,186,259,367,287,55
46,49,5532,110,15,5933,-5933,0,5933,0,-5933,1615,2276,4871,1615,4871,2276,840,96,185,801,112,42
47,50,5646,110,24,5990,-5990,0,5990,0,-5990,2016,2128,4723,2016,4723,2128,1048,90,222,1030,135,97
48,51,5758,110,20,5998,-5998,0,5998,0,-5998,2418,1979,4574,2418,4574,1979,1043,198,210,1066,152,36
49,52,5870,110,19,6000,-6000,0,6000,0,-6000,2819,1831,4426,2819,4426,1831,1160,168,185,1072,169,30
50,53,5982,110,22,6000,-6000,0,6000,0,-6000,3221,1682,4277,3221,4277,1682,1032,132,191,1084,191,30
51,54,6094,110,15,6000,-6000,0,6000,0,-6000,3622,1534,4129,3622,4129,1534,1080,72,222,1066,191,30
52,55,6207,110,18,6000,-6000,0,6000,0,-6000,4024,1385,3980,4024,3980,1385,1048,90,216,1139,225,103
53,56,6319,110,20,6000,-6000,0,6000,0,-6000,4425,1237,3832,4425,3832,1237,1053,90,179,1078,112,36
54,57,6433,112,13,6000,-6000,0,6000,0,-6000,4834,1086,3681,4834,3681,1086,1171,138,204,1042,174,12
55,58,6548,112,18,5998,-5998,0,5998,0,-5998,5241,935,3529,5241,3529,935,1086,174,253,1247,202,152
56,59,6659,110,20,5985,-5985,0,5985,0,-5985,5629,786,3381,5629,3381,786,1064,66,204,1060,191,18
57,60,6773,111,16,5876,-5876,0,5876,0,-5876,5910,636,3231,5910,3231,636,1064,84,191,1072,124,115
58,61,6888,111,25,4828,-4828,0,4828,0,-4828,5762,486,3081,5762,3081,486,1037,120,210,1211,191,42
59,62,7000,110,21,765,-765,0,765,0,-765,5614,339,2933,5614,2933,339,968,108,173,1066,163,61
60,63,7114,112,14,106,-96,-10,106,-10,-96,5462,245,2782,5462,2782,245,572,84,228,554,135,55
61,64,7227,110,18,16,503,-519,16,-519,503,5314,528,2633,5314,2633,528,123,96,284,271,253,97
62,65,7339,110,20,3,4059,-4062,3,-4062,4059,5165,929,2485,5165,2485,929,102,168,204,289,169,73
63,66,7453,111,14,0,5716,-5717,0,-5717,5716,5016,1334,2335,5016,2335,1334,225,611,327,380,242,424
