#Recorded data from Servotor32
#datetime: 20-11-2020_21h-00m-56s
#filename: tetrapod_x_b_sensors_open_vertical_floor_loaded_20-11-2020_21h-00m-56s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.114,0.111,0.014,6.0,-6.0,0.0,6.0,0.0,-6.0,3.807,0.811,3.811,3.807,3.811,0.811,0.005,0.0,0.0,-0.018,-0.006,0.006,0.005,0.0,0.0,0.0,0.0,0.006,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.688,0.104,0.689,0.688,0.689,0.104,3.807,0.811,3.811,3.807,3.811,0.811,0.981,0.981,0.981,0.981,0.981,0.981
1,2,0.227,0.11,0.019,6.0,-6.0,0.0,6.0,0.0,-6.0,4.208,0.663,3.663,4.208,3.663,0.663,0.358,0.174,0.185,0.349,0.124,0.188,0.358,0.174,0.185,0.349,0.124,0.188,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.766,0.092,0.657,0.766,0.657,0.092,3.807,0.811,3.811,3.807,3.811,0.811,0.981,0.981,0.981,0.981,0.981,0.981
2,3,0.339,0.11,0.02,6.0,-6.0,0.0,6.0,0.0,-6.0,4.61,0.514,3.514,4.61,3.514,0.514,0.695,0.108,0.117,0.741,0.051,0.036,0.695,0.108,0.117,0.741,0.051,0.036,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.165,0.08,0.624,0.165,0.624,0.08,3.807,0.811,3.811,3.807,3.811,0.811,3.286,0.981,0.981,3.286,0.981,0.981
3,4,0.452,0.111,0.014,5.999,-5.999,0.0,5.999,0.0,-5.999,5.014,0.364,3.364,5.014,3.364,0.364,0.963,0.06,0.037,0.964,0.017,0.067,0.963,0.06,0.037,0.964,0.017,0.067,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.427,0.07,0.588,0.427,0.588,0.07,3.807,0.811,3.811,3.807,3.811,0.811,3.286,0.981,0.981,3.286,0.981,0.981
4,6,0.677,0.11,0.019,5.962,-5.962,0.0,5.962,0.0,-5.962,5.78,0.067,3.067,5.78,3.067,0.067,0.963,0.054,0.037,1.0,0.011,0.042,0.963,0.054,0.037,1.0,0.011,0.042,1.998,0.0,0.0,1.998,0.0,0.0,0.991,0.0,0.0,0.991,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.902,0.053,0.516,0.902,0.516,0.053,3.807,0.811,3.811,3.807,3.811,0.811,3.286,0.981,0.981,3.286,0.981,0.981
5,7,0.79,0.11,0.02,5.689,-5.689,0.0,5.689,0.0,-5.689,5.845,-0.081,2.919,5.845,2.919,-0.081,1.096,0.126,0.037,0.994,0.011,0.042,1.0,0.126,0.037,0.994,0.011,0.042,1.983,0.0,0.0,1.983,0.0,0.0,0.388,0.0,0.0,0.388,0.0,0.0,5.104,2.96,3.0,5.104,3.0,2.96,4.208,-0.081,0.0,4.208,0.0,-0.081,6.0,6.0,6.0,6.0,6.0,6.0,0.919,0.05,0.48,0.919,0.48,0.05,3.807,0.811,3.811,3.807,3.811,0.811,3.286,0.968,0.981,3.286,0.981,0.968
6,9,1.014,0.11,0.014,0.438,-0.438,0.0,0.438,0.0,-0.438,5.548,-0.235,2.622,5.548,2.622,-0.235,0.866,0.102,0.062,1.0,0.011,0.079,0.866,0.102,0.062,1.0,0.011,0.079,0.776,0.0,0.0,0.776,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.144,5.026,2.882,3.0,5.026,3.0,2.882,4.208,-0.235,0.0,4.208,0.0,-0.235,5.845,6.0,6.0,5.845,6.0,6.0,0.867,0.05,0.408,0.867,0.408,0.05,3.807,0.811,3.811,3.807,3.811,0.811,3.597,0.944,0.981,3.597,0.981,0.944
7,10,1.128,0.111,0.018,0.064,1.271,-1.335,0.064,-1.335,1.271,5.398,0.17,2.472,5.398,2.472,0.17,0.289,0.09,0.099,0.482,0.073,0.115,0.289,0.09,0.099,0.482,0.073,0.115,0.0,0.287,0.0,0.0,0.0,0.287,0.0,0.999,0.0,0.0,0.0,0.999,5.026,2.882,3.0,5.026,3.0,2.882,4.208,-0.235,0.0,4.208,0.0,-0.235,5.845,6.0,6.0,5.845,6.0,6.0,0.792,0.072,0.373,0.792,0.373,0.072,3.807,0.811,3.811,3.807,3.811,0.811,3.597,0.944,0.981,3.597,0.981,0.944
8,11,1.239,0.11,0.02,0.01,5.27,-5.28,0.01,-5.28,5.27,5.25,0.572,2.324,5.25,2.324,0.572,0.273,0.156,0.074,0.12,0.079,0.261,0.273,0.156,0.074,0.12,0.079,0.261,0.0,1.999,0.0,0.0,0.0,1.999,0.0,1.0,0.0,0.0,0.0,1.0,5.026,2.882,3.0,5.026,3.0,2.882,4.208,-0.235,0.0,4.208,0.0,-0.235,5.845,6.0,6.0,5.845,6.0,6.0,0.691,0.101,0.34,0.691,0.34,0.101,3.807,0.811,3.811,3.807,3.811,0.811,3.597,0.944,0.981,3.597,0.981,0.944
9,12,1.353,0.112,0.015,0.001,5.899,-5.9,0.001,-5.9,5.899,5.099,0.98,2.172,5.099,2.172,0.98,0.214,0.623,0.093,0.084,0.056,0.691,0.214,0.623,0.093,0.084,0.056,0.691,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,5.026,2.882,3.0,5.026,3.0,2.882,4.208,-0.235,0.0,4.208,0.0,-0.235,5.845,6.0,6.0,5.845,6.0,6.0,0.565,0.142,0.307,0.565,0.307,0.142,3.807,0.811,3.811,3.807,3.811,0.811,3.597,0.944,0.981,3.597,0.981,0.944
