#Recorded data from Servotor32
#datetime: 20-11-2020_20h-54m-24s
#filename: tripod_x_b_sensors_open_vertical_floor_loaded_20-11-2020_20h-54m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,-11,6,-18,-6,6,0
1,0,0,110,0,5100,-5100,5100,-5100,5100,-5100,2880,1480,2880,1480,2880,1480,6,-24,-6,6,17,0
2,1,113,110,14,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,11,-12,0,0,28,38
3,2,227,110,18,5100,-5100,5100,-5100,5100,-5100,3540,1040,3540,1040,3540,1040,406,171,482,214,432,218
4,3,339,110,20,5100,-5100,5100,-5100,5100,-5100,3870,820,3870,820,3870,820,694,37,841,107,563,115
5,4,454,112,14,5098,-5098,5098,-5098,5098,-5098,4205,596,4205,596,4205,596,994,24,988,65,989,58
6,5,568,111,18,5090,-5090,5090,-5090,5090,-5090,4531,374,4531,374,4531,374,1044,55,1122,185,1114,109
7,6,679,110,19,5048,-5048,5048,-5048,5048,-5048,4822,154,4822,154,4822,154,1044,37,1018,101,1040,83
8,7,792,110,14,4789,-4789,4789,-4789,4789,-4789,4854,-66,4854,-66,4854,-66,1056,43,1024,101,1017,83
9,8,903,110,23,2715,-2715,2715,-2715,2715,-2715,4634,-286,4634,-286,4634,-286,1011,6,994,83,989,135
10,9,1015,110,14,418,-418,418,-418,418,-418,4414,-318,4414,-318,4414,-318,950,67,1018,155,1006,135
11,10,1128,111,18,-1424,1424,-1424,1424,-1424,1424,4192,14,4192,14,4192,14,328,85,518,220,500,90
12,11,1240,110,20,-4534,4534,-4534,4534,-4534,4534,3972,344,3972,344,3972,344,311,366,195,256,278,237
13,13,1468,111,25,-5088,5088,-5088,5088,-5088,5088,3528,1010,3528,1010,3528,1010,156,622,183,881,222,1032
14,14,1580,110,21,-5098,5098,-5098,5098,-5098,5098,3308,1340,3308,1340,3308,1340,150,1055,140,1024,233,1096
15,15,1694,112,15,-5100,5100,-5100,5100,-5100,5100,3084,1676,3084,1676,3084,1676,106,1091,128,1065,188,1135
16,16,1807,110,18,-5100,5100,-5100,5100,-5100,5100,2864,2006,2864,2006,2864,2006,106,1165,116,1089,193,1115
17,17,1919,110,21,-5100,5100,-5100,5100,-5100,5100,2644,2336,2644,2336,2644,2336,167,1061,159,1060,193,1173
18,18,2033,111,15,-5100,5100,-5100,5100,-5100,5100,2422,2669,2422,2669,2422,2669,83,1091,128,1119,233,1160
19,19,2146,110,25,-5100,5100,-5100,5100,-5100,5100,2202,2999,2202,2999,2202,2999,144,1232,226,1173,250,1205
20,20,2259,110,21,-5100,5100,-5100,5100,-5100,5100,1982,3329,1982,3329,1982,3329,67,1085,189,1077,176,1135
21,21,2372,110,15,-5100,5100,-5100,5100,-5100,5100,1762,3659,1762,3659,1762,3659,28,1128,195,1083,182,1071
22,22,2487,111,17,-5099,5099,-5099,5099,-5099,5099,1540,3992,1540,3992,1540,3992,106,1207,250,1226,193,1160
23,23,2599,110,20,-5097,5097,-5097,5097,-5097,5097,1320,4320,1320,4320,1320,4320,39,1171,165,1095,222,1173
24,24,2712,110,14,-5082,5082,-5082,5082,-5082,5082,1100,4638,1100,4638,1100,4638,89,1183,201,1179,227,1179
25,25,2823,110,23,-5004,5004,-5004,5004,-5004,5004,880,4892,880,4892,880,4892,56,1189,238,1232,284,1263
26,26,2935,111,15,-4484,4484,-4484,4484,-4484,4484,658,4734,658,4734,658,4734,83,1238,213,1250,295,1288
27,27,3048,110,18,-1187,1187,-1187,1187,-1187,1187,439,4514,439,4514,439,4514,161,1232,299,1268,347,1167
28,28,3159,110,19,-182,182,-182,182,-182,182,242,4294,242,4294,242,4294,167,1055,305,1012,261,1013
29,29,3271,110,13,157,-157,157,-157,157,-157,240,4074,240,4074,240,4074,128,421,280,429,261,397
30,30,3383,110,17,1731,-1731,1731,-1731,1731,-1731,569,3854,569,3854,569,3854,178,287,311,417,318,263
31,31,3495,110,15,4579,-4579,4579,-4579,4579,-4579,899,3634,899,3634,899,3634,444,244,463,458,403,237
