#Recorded data from Servotor32
#datetime: 20-11-2020_20h-54m-24s
#filename: tripod_x_b_sensors_open_vertical_floor_loaded_20-11-2020_20h-54m-24s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,-0.011,0.006,-0.018,-0.006,0.006,0.0,0.0,0.006,0.0,0.0,0.006,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,0,0.0,0.11,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.88,1.48,2.88,1.48,2.88,1.48,0.006,-0.024,-0.006,0.006,0.017,0.0,0.006,0.0,0.0,0.006,0.017,0.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.594,0.225,0.594,0.225,0.594,0.225,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
2,1,0.113,0.11,0.014,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.21,1.26,3.21,1.26,3.21,1.26,0.011,-0.012,0.0,0.0,0.028,0.038,0.011,0.0,0.0,0.0,0.028,0.038,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.112,0.184,0.112,0.184,0.112,0.184,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
3,2,0.227,0.11,0.018,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.54,1.04,3.54,1.04,3.54,1.04,0.406,0.171,0.482,0.214,0.432,0.218,0.406,0.171,0.482,0.214,0.432,0.218,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.233,0.149,0.233,0.149,0.233,0.149,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
4,3,0.339,0.11,0.02,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.87,0.82,3.87,0.82,3.87,0.82,0.694,0.037,0.841,0.107,0.563,0.115,0.694,0.037,0.841,0.107,0.563,0.115,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.421,0.119,0.421,0.119,0.421,0.119,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
5,4,0.454,0.112,0.014,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.205,0.596,4.205,0.596,4.205,0.596,0.994,0.024,0.988,0.065,0.989,0.058,0.994,0.024,0.988,0.065,0.989,0.058,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.639,0.095,0.639,0.095,0.639,0.095,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
6,5,0.568,0.111,0.018,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.531,0.374,4.531,0.374,4.531,0.374,1.044,0.055,1.122,0.185,1.114,0.109,1.0,0.055,1.0,0.185,1.0,0.109,2.994,0.0,2.994,0.0,2.994,0.0,0.988,0.0,0.988,0.0,0.988,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.808,0.075,0.808,0.075,0.808,0.075,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
7,6,0.679,0.11,0.019,5.048,-5.048,5.048,-5.048,5.048,-5.048,4.822,0.154,4.822,0.154,4.822,0.154,1.044,0.037,1.018,0.101,1.04,0.083,1.0,0.037,1.0,0.101,1.0,0.083,2.965,0.0,2.965,0.0,2.965,0.0,0.93,0.0,0.93,0.0,0.93,0.0,3.99,2.55,3.99,2.55,3.99,2.55,2.88,0.0,2.88,0.0,2.88,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.901,0.059,0.901,0.059,0.901,0.059,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.155,2.653,1.155,2.653,1.155
8,7,0.792,0.11,0.014,4.789,-4.789,4.789,-4.789,4.789,-4.789,4.854,-0.066,4.854,-0.066,4.854,-0.066,1.056,0.043,1.024,0.101,1.017,0.083,1.0,0.043,1.0,0.101,1.0,0.083,2.79,0.0,2.79,0.0,2.79,0.0,0.459,0.0,0.459,0.0,0.459,0.0,3.99,2.517,3.99,2.517,3.99,2.517,2.88,-0.066,2.88,-0.066,2.88,-0.066,5.1,5.1,5.1,5.1,5.1,5.1,0.908,0.05,0.908,0.05,0.908,0.05,2.55,1.7,2.55,1.7,2.55,1.7,2.653,1.14,2.653,1.14,2.653,1.14
9,8,0.903,0.11,0.023,2.715,-2.715,2.715,-2.715,2.715,-2.715,4.634,-0.286,4.634,-0.286,4.634,-0.286,1.011,0.006,0.994,0.083,0.989,0.135,1.0,0.006,0.994,0.083,0.989,0.135,1.377,0.0,1.377,0.0,1.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.867,2.407,3.867,2.407,3.867,2.407,2.88,-0.286,2.88,-0.286,2.88,-0.286,4.854,5.1,4.854,5.1,4.854,5.1,0.908,0.05,0.908,0.05,0.908,0.05,2.55,1.7,2.55,1.7,2.55,1.7,2.983,1.093,2.983,1.093,2.983,1.093
