#Recorded data from Servotor32
#datetime: 20-11-2020_21h-03m-43s
#filename: wave_x_b_sensors_open_vertical_floor_loaded_20-11-2020_21h-03m-43s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-7000,-4200,-1400,1400,4200,3979,451,1851,3251,4651,6052,-48,23,0,6,-34,-12,1,112,110,12,7000
2,-7001,-4200,-1400,1401,4201,5418,236,1636,3036,4436,5837,602,17,40,0,6,-18,4,449,110,18,6999
3,-6999,-4199,-1399,1401,4201,6373,93,1493,2893,4293,5694,946,23,23,17,-11,6,6,674,111,13,6973
4,-6977,-4186,-1395,1397,4188,6829,21,1421,2821,4221,5622,952,35,69,6,-17,-25,7,789,111,17,6709
5,-6715,-4028,-1342,1345,4031,6954,-51,1349,2749,4149,5550,957,35,34,79,45,43,8,901,110,20,3126
6,-3130,-1878,-625,627,1880,6882,-122,1278,2678,4078,5479,941,6,40,0,6,-43,9,1014,110,13,481
7,-482,-289,-96,97,289,6811,-116,1206,2606,4006,5407,919,46,34,17,34,12,10,1125,110,16,581
8,771,-886,-523,-155,213,6739,356,1135,2535,3935,5336,543,40,23,6,-11,-18,11,1237,110,14,3601
9,5972,-5990,-3593,-1195,1203,6668,835,1063,2463,3863,5264,97,75,80,11,0,-67,12,1350,111,18,4113
10,6850,-6852,-4111,-1370,1371,6595,1318,991,2391,3791,5192,113,428,178,107,45,0,13,1462,110,21,4187
11,6977,-6977,-4186,-1395,1396,6524,1796,920,2319,3719,5121,134,769,34,6,-11,6,14,1575,111,14,4198
12,6997,-6997,-4198,-1399,1399,6452,2279,847,2247,3647,5048,86,988,57,28,0,-12,15,1689,111,17,4200
13,6999,-7000,-4200,-1400,1400,6380,2762,775,2175,3575,4976,97,1023,80,6,6,-31,16,1801,110,19,4200
14,7000,-7000,-4200,-1400,1400,6308,3240,704,2104,3504,4905,91,1029,57,17,6,-31,17,1914,111,14,4200
15,6999,-7000,-4200,-1400,1400,5950,5642,345,1745,3145,4546,113,1046,86,39,6,6,22,2476,110,14,4200
16,6992,-6994,-4196,-1398,1399,5807,6591,202,1602,3002,4403,124,1098,86,22,28,-18,24,2701,110,19,4156
17,6923,-6925,-4155,-1385,1386,5735,6982,131,1530,2930,4331,167,1058,80,39,17,0,25,2815,111,14,3622
18,6032,-6035,-3621,-1206,1208,5663,6914,58,1458,2858,4259,113,1087,98,34,28,18,26,2928,110,17,588
19,979,-979,-588,-196,196,5592,6843,-10,1387,2787,4188,140,971,92,62,39,49,27,3040,110,18,97
20,170,-118,-123,-50,23,5520,6771,121,1315,2715,4116,161,792,121,67,28,31,28,3152,110,13,451
21,1337,2167,-2199,-1321,-435,5449,6700,600,1244,2644,4045,140,272,121,34,34,18,29,3264,110,15,1254
22,3759,6256,-6261,-3757,-1251,5377,6628,1078,1172,2572,3973,237,335,305,90,62,31,30,3376,110,14,1378
23,4132,6886,-6886,-4132,-1377,5306,6557,1557,1101,2501,3902,156,214,707,107,62,61,31,3490,111,18,1397
24,4190,6983,-6983,-4190,-1397,5234,6485,2039,1029,2428,3830,134,197,1057,107,62,61,32,3601,110,20,1400
25,4199,6997,-6997,-4198,-1399,5162,6413,2518,957,2357,3758,140,202,1092,140,56,37,33,3714,110,14,1400
26,4200,7000,-7000,-4200,-1400,5091,6342,2996,886,2285,3687,134,197,1046,129,56,49,34,3825,110,16,1400
27,4201,6999,-7000,-4200,-1400,4661,5912,5872,456,1856,3257,145,318,1086,129,73,31,40,4501,110,19,1400
28,4200,6997,-6999,-4199,-1399,4589,5841,6348,385,1784,3185,156,214,1132,107,73,43,41,4615,112,13,1396
29,4188,6977,-6979,-4187,-1395,4517,5768,6812,312,1712,3113,177,214,1167,135,90,55,42,4730,111,17,1351
30,4052,6748,-6751,-4050,-1350,4445,5696,6973,240,1639,3041,167,231,1086,90,84,43,43,4841,110,20,706
31,2118,3526,-3529,-2117,-705,4373,5625,6902,168,1568,2969,156,202,1126,129,96,55,44,4955,112,13,98
32,293,488,-489,-293,-98,4300,5552,6829,116,1495,2896,167,243,1086,146,96,61,45,5069,111,17,-29
33,86,201,145,-258,-144,4228,5480,6757,341,1423,2824,226,202,471,112,79,55,46,5181,110,20,-641
34,649,1938,3200,-3216,-1930,4157,5408,6685,820,1352,2753,183,191,282,146,96,55,47,5294,111,13,-1289
35,1290,3869,6445,-6447,-3868,4084,5336,6613,1303,1279,2680,161,318,270,360,112,104,48,5410,111,17,-1384
36,1384,4152,6919,-6919,-4152,4012,5264,6541,1785,1207,2608,161,214,207,893,112,98,49,5521,110,20,-1397
37,1398,4193,6987,-6988,-4193,3941,5192,6470,2264,1136,2537,134,208,207,1096,112,55,50,5634,110,14,-1400
38,1400,4199,6998,-6998,-4199,3869,5121,6398,2742,1064,2465,161,306,236,1101,140,55,51,5745,110,16,-1400
39,1399,4197,6993,-6994,-4196,3294,4546,5823,6585,489,1890,108,208,264,1140,79,74,59,6648,110,16,-1385
40,1387,4158,6927,-6929,-4157,3223,4474,5752,6979,418,1819,118,277,224,1090,124,61,60,6759,110,17,-1216
41,1218,3651,6081,-6084,-3650,3151,4403,5680,6914,346,1747,113,254,259,1118,101,61,61,6871,110,14,-200
42,201,601,1001,-1002,-601,3080,4331,5609,6842,275,1676,102,197,241,1084,107,55,62,6983,110,14,-35
43,29,94,158,-147,-99,3008,4260,5537,6771,263,1604,140,208,253,831,96,80,63,7095,110,13,-390
44,-124,142,408,618,-654,2937,4188,5466,6699,662,1533,113,156,236,309,112,74,64,7210,111,17,-3122
45,-1040,1043,3125,5199,-5204,2864,4116,5394,6627,1145,1460,156,220,224,202,185,55,65,7322,110,21,-4034
46,-1345,1345,4035,6723,-6724,2793,4044,5322,6556,1623,1389,210,266,287,281,433,141,66,7434,110,14,-4174
