#Recorded data from Servotor32
#datetime: 20-11-2020_21h-03m-43s
#filename: wave_x_b_sensors_open_vertical_floor_loaded_20-11-2020_21h-03m-43s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: wave
#Feedback config: open
#Sensors: vertical
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=7.00
#y_bar=0.13
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.80
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: loaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.841,0.841,0.841,0.841,0.841,0.841
1,-7000,-4.2,-1.4,1.4,4.2,3.979,0.451,1.851,3.251,4.651,6.052,-0.048,0.023,0.0,0.006,-0.034,-0.012,0.001,0.112,0.11,0.012,7.0,0.0,0.001,0.112,0.11,0.012,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.905,1.0,1.0,1.0,5.021,3.476,3.5,3.5,3.5,3.483,3.042,-0.048,0.0,0.0,0.0,-0.034,7.0,7.0,7.0,7.0,7.0,7.0,0.823,0.05,0.051,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.488,0.836,0.841,0.841,0.841,0.837
2,-7001,-4.2,-1.4,1.401,4.201,5.418,0.236,1.636,3.036,4.436,5.837,0.602,0.017,0.04,0.0,0.006,-0.018,0.004,0.449,0.11,0.018,6.999,0.0,0.004,0.449,0.11,0.018,1.0,1.0,1.0,0.905,1.0,1.0,1.0,0.0,1.0,0.744,1.0,1.0,1.0,4.547,3.476,3.5,3.5,3.5,3.483,3.042,-0.048,0.0,0.0,0.0,-0.034,6.052,7.0,7.0,7.0,7.0,7.0,0.926,0.083,0.051,0.052,0.05,0.052,0.0,0.0,0.0,0.0,0.0,0.0,1.956,0.836,0.841,0.841,0.841,0.837
3,-6999,-4.199,-1.399,1.401,4.201,6.373,0.093,1.493,2.893,4.293,5.694,0.946,0.023,0.023,0.017,-0.011,0.006,0.006,0.674,0.111,0.013,6.973,0.006,0.006,0.674,0.111,0.013,1.0,0.0,1.0,0.744,1.0,1.0,1.0,0.0,1.0,0.594,0.999,1.0,1.0,4.547,3.476,3.508,0.02,3.5,-0.014,3.042,-0.048,0.017,0.0,0.0,-0.034,6.052,7.0,7.0,0.04,7.0,0.006,0.904,0.108,0.05,0.609,0.051,0.609,0.0,0.0,0.0,0.0,0.0,0.0,1.956,0.836,0.843,147.222,0.841,147.222
4,-6977,-4.186,-1.395,1.397,4.188,6.829,0.021,1.421,2.821,4.221,5.622,0.952,0.035,0.069,0.006,-0.017,-0.025,0.007,0.789,0.111,0.017,6.709,0.0,0.007,0.789,0.111,0.017,1.0,0.0,1.0,0.594,0.999,1.0,1.0,0.001,1.0,0.498,0.999,1.0,1.0,4.547,3.476,3.508,0.046,0.008,-0.014,3.042,-0.048,0.017,0.023,0.0,-0.034,6.052,7.0,7.0,0.069,0.017,0.006,0.891,0.108,0.051,0.95,0.296,0.391,0.0,0.0,0.0,0.0,0.0,0.0,1.956,0.836,0.843,128.019,346.405,147.222
5,-6715,-4.028,-1.342,1.345,4.031,6.954,-0.051,1.349,2.749,4.149,5.55,0.957,0.035,0.034,0.079,0.045,0.043,0.008,0.901,0.11,0.02,3.126,0.043,0.008,0.901,0.11,0.02,1.0,0.001,1.0,0.498,0.999,1.0,1.0,0.0,1.0,0.394,0.998,1.0,1.0,4.547,3.476,3.508,0.046,0.042,0.014,3.042,-0.048,0.017,0.023,0.006,-0.017,6.052,7.0,7.0,0.069,0.079,0.045,0.877,0.109,0.051,0.177,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,1.956,0.836,0.843,128.019,80.67,94.982
6,-3130,-1.878,-0.625,0.627,1.88,6.882,-0.122,1.278,2.678,4.078,5.479,0.941,0.006,0.04,0.0,0.006,-0.043,0.009,1.014,0.11,0.013,0.481,0.0,0.009,1.0,0.11,0.013,0.481,0.0,1.0,0.394,0.998,1.0,1.0,0.0,1.0,0.313,0.998,1.0,1.0,4.547,0.454,3.503,0.052,0.04,0.014,3.042,-0.048,0.006,0.034,0.0,-0.017,6.052,0.957,7.0,0.069,0.079,0.045,0.861,0.945,0.05,0.126,0.05,0.319,0.0,0.0,0.0,0.0,0.0,0.0,1.956,5.86,0.842,168.254,74.543,94.982
7,-482,-0.289,-0.096,0.097,0.289,6.811,-0.116,1.206,2.606,4.006,5.407,0.919,0.046,0.034,0.017,0.034,0.012,0.01,1.125,0.11,0.016,0.581,0.012,0.01,1.0,0.11,0.016,0.581,0.0,1.0,0.313,0.998,1.0,1.0,0.0,1.0,0.352,0.997,1.0,1.0,4.547,0.454,3.503,0.037,0.04,0.026,3.042,-0.048,0.006,0.034,0.0,0.006,6.052,0.957,7.0,0.04,0.079,0.045,0.843,0.938,0.052,0.05,0.157,0.783,0.0,0.0,0.0,0.0,0.0,0.0,1.956,5.86,0.842,981.48,74.543,150.997
8,771,64.65,-0.523,-0.155,0.213,6.739,0.356,1.135,2.535,3.935,5.336,0.543,0.04,0.023,0.006,-0.011,-0.018,0.011,1.237,0.11,0.014,3.601,0.0,0.011,1.0,0.11,0.014,1.0,0.0,1.0,0.352,0.997,1.0,1.0,0.0,1.0,0.825,0.996,1.0,1.0,4.547,0.454,0.026,0.032,0.008,0.012,3.042,-0.048,0.006,0.023,0.0,-0.011,6.052,0.957,0.046,0.04,0.017,0.034,0.824,0.627,0.887,0.05,0.296,0.05,0.0,0.0,0.0,0.0,0.0,0.0,1.956,5.86,147.222,346.405,346.405,130.864
9,5972,59.546,-3.593,-1.195,1.203,6.668,0.835,1.063,2.463,3.863,5.264,0.097,0.075,0.08,0.011,0.0,-0.067,0.012,1.35,0.111,0.018,4.113,0.0,0.012,1.0,0.111,0.018,1.0,0.0,1.0,0.825,0.996,1.0,1.0,0.0,1.0,0.982,0.995,1.0,1.0,4.547,0.454,0.057,0.052,0.012,0.012,3.042,-0.048,0.04,0.023,0.006,-0.011,6.052,0.957,0.075,0.08,0.017,0.034,0.803,0.11,0.95,0.95,0.433,0.182,0.0,0.0,0.0,0.0,0.0,0.0,1.956,5.86,168.254,103.314,535.353,130.864
