#Recorded data from Servotor32
#datetime: 20-11-2020_22h-30m-55s
#filename: tetrapod_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-30m-55s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,112,110,13,6000,-6000,0,6000,0,-6000,3803,813,3813,3803,3813,813,1010,500,-96,12,521,1029
1,2,228,111,17,6000,-6000,0,6000,0,-6000,4208,663,3663,4208,3663,663,941,513,288,120,507,738
2,3,339,110,20,6000,-6000,0,6000,0,-6000,4610,514,3514,4610,3514,514,853,301,562,482,555,68
3,4,454,112,15,5999,-5999,0,5999,0,-5999,5018,363,3363,5018,3363,363,824,231,575,590,568,243
4,5,568,111,25,5995,-5995,0,5995,0,-5995,5419,213,3213,5419,3213,213,873,199,630,771,534,252
5,6,680,110,21,5961,-5961,0,5961,0,-5961,5700,65,3065,5817,3065,65,951,192,562,819,562,-49
6,7,793,111,12,5422,-5422,0,5422,0,-5422,5601,-85,2915,6041,2915,-85,980,179,507,880,500,0
7,8,908,111,16,2750,-2750,0,2750,0,-2750,5451,-235,2765,5891,2765,-235,1000,160,521,843,473,136
8,9,1020,110,14,423,-423,0,423,0,-423,5303,-383,2616,5743,2616,-381,1010,186,452,904,438,146
9,10,1134,111,12,62,-48,-14,62,-14,-48,5153,-502,2467,5593,2467,-495,990,141,397,880,418,136
10,11,1247,110,11,9,299,-308,9,-308,299,5004,-369,2318,5445,2318,-504,1000,122,370,916,370,155
11,12,1359,110,12,1,1987,-1989,1,-1989,1987,4856,32,2170,5296,2170,-102,980,115,315,904,342,58
12,13,1473,111,10,0,5413,-5413,0,-5413,5413,4706,437,2020,5146,2020,303,1059,135,452,831,308,19
13,14,1587,111,16,0,5914,-5914,0,-5914,5914,4556,842,1870,4996,1870,708,961,83,356,855,308,0
14,15,1699,110,12,0,5987,-5987,0,-5987,5987,4408,1244,1721,4848,1721,1109,931,96,274,916,301,10
15,16,1813,111,11,0,5998,-5998,0,-5998,5998,4258,1649,1572,4698,1572,1515,971,167,288,892,281,49
16,17,1926,110,16,0,6000,-6000,0,-6000,6000,4109,2050,1423,4550,1423,1916,971,237,233,904,240,107
17,18,2038,110,11,0,6000,-6000,0,-6000,6000,3961,2452,1275,4401,1275,2318,853,244,137,795,116,126
18,19,2152,111,11,0,6000,-6000,0,-6000,6000,3811,2857,1125,4251,1125,2723,853,321,164,807,212,223
