#Recorded data from Servotor32
#datetime: 20-11-2020_22h-30m-55s
#filename: tetrapod_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-30m-55s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tetrapod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=3.00
#y_bar=0.27
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.82
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,1,0.112,0.11,0.013,6.0,-6.0,0.0,6.0,0.0,-6.0,3.803,0.813,3.813,3.803,3.813,0.813,1.01,0.5,-0.096,0.012,0.521,1.029,1.0,0.5,0.0,0.012,0.521,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.687,0.105,0.69,0.687,0.69,0.105,3.803,0.813,3.813,3.803,3.813,0.813,0.981,0.981,0.981,0.981,0.981,0.981
1,2,0.228,0.111,0.017,6.0,-6.0,0.0,6.0,0.0,-6.0,4.208,0.663,3.663,4.208,3.663,0.663,0.941,0.513,0.288,0.12,0.507,0.738,0.941,0.513,0.288,0.12,0.507,0.738,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.766,0.092,0.657,0.766,0.657,0.092,5.646,3.078,1.728,0.72,3.042,4.428,0.981,0.981,0.981,0.981,0.981,0.981
2,3,0.339,0.11,0.02,6.0,-6.0,0.0,6.0,0.0,-6.0,4.61,0.514,3.514,4.61,3.514,0.514,0.853,0.301,0.562,0.482,0.555,0.068,0.853,0.301,0.562,0.482,0.555,0.068,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.165,0.08,0.624,0.165,0.624,0.08,5.118,1.806,3.372,2.892,3.33,0.408,3.286,0.981,0.981,3.286,0.981,0.981
3,4,0.454,0.112,0.015,5.999,-5.999,0.0,5.999,0.0,-5.999,5.018,0.363,3.363,5.018,3.363,0.363,0.824,0.231,0.575,0.59,0.568,0.243,0.824,0.231,0.575,0.59,0.568,0.243,2.0,0.0,0.0,2.0,0.0,0.0,0.999,0.0,0.0,0.999,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.43,0.07,0.588,0.43,0.588,0.07,5.685,1.386,3.45,5.265,3.408,1.458,3.286,0.981,0.981,3.286,0.981,0.981
4,5,0.568,0.111,0.025,5.995,-5.995,0.0,5.995,0.0,-5.995,5.419,0.213,3.213,5.419,3.213,0.213,0.873,0.199,0.63,0.771,0.534,0.252,0.873,0.199,0.63,0.771,0.534,0.252,1.998,0.0,0.0,1.998,0.0,0.0,0.992,0.0,0.0,0.992,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.738,0.061,0.552,0.738,0.552,0.061,5.772,1.194,3.78,5.59,3.204,1.512,3.286,0.981,0.981,3.286,0.981,0.981
5,6,0.68,0.11,0.021,5.961,-5.961,0.0,5.961,0.0,-5.961,5.7,0.065,3.065,5.817,3.065,0.065,0.951,0.192,0.562,0.819,0.562,-0.049,0.951,0.192,0.562,0.819,0.562,0.0,1.985,0.0,0.0,1.985,0.0,0.0,0.561,0.0,0.0,0.806,0.0,0.0,5.104,3.0,3.0,5.104,3.0,3.0,4.208,0.0,0.0,4.208,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.876,0.053,0.516,0.912,0.516,0.053,5.912,1.152,3.372,5.676,3.372,0.0,3.286,0.981,0.981,3.286,0.981,0.981
6,7,0.793,0.111,0.012,5.422,-5.422,0.0,5.422,0.0,-5.422,5.601,-0.085,2.915,6.041,2.915,-0.085,0.98,0.179,0.507,0.88,0.5,0.0,0.98,0.179,0.507,0.88,0.5,0.0,1.121,0.0,0.0,1.613,0.0,0.0,0.062,0.0,0.0,0.14,0.0,0.0,4.954,2.958,3.0,5.124,3.0,2.958,4.208,-0.085,0.0,4.208,0.0,-0.085,5.7,6.0,6.0,6.041,6.0,6.0,0.928,0.05,0.479,0.95,0.479,0.05,5.964,1.074,3.042,5.785,3.0,0.0,3.947,0.968,0.981,3.213,0.981,0.968
7,8,0.908,0.111,0.016,2.75,-2.75,0.0,2.75,0.0,-2.75,5.451,-0.235,2.765,5.891,2.765,-0.235,1.0,0.16,0.521,0.843,0.473,0.136,1.0,0.16,0.521,0.843,0.473,0.136,0.125,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954,2.882,3.0,5.124,3.0,2.882,4.208,-0.235,0.0,4.208,0.0,-0.235,5.7,6.0,6.0,6.041,6.0,6.0,0.877,0.05,0.443,0.921,0.443,0.05,5.7,0.889,3.126,5.753,2.838,0.743,3.947,0.944,0.981,3.213,0.981,0.944
8,9,1.02,0.11,0.014,0.423,-0.423,0.0,0.423,0.0,-0.423,5.303,-0.383,2.616,5.743,2.616,-0.381,1.01,0.186,0.452,0.904,0.438,0.146,1.0,0.186,0.452,0.904,0.438,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.004,4.954,2.808,3.0,5.124,3.0,2.81,4.208,-0.383,0.0,4.208,0.0,-0.381,5.7,6.0,6.0,6.041,6.0,6.0,0.799,0.05,0.407,0.879,0.407,0.05,5.7,0.925,2.712,5.865,2.628,0.675,3.947,0.923,0.981,3.213,0.981,0.923
9,10,1.134,0.111,0.012,0.062,-0.048,-0.014,0.062,-0.014,-0.048,5.153,-0.502,2.467,5.593,2.467,-0.495,0.99,0.141,0.397,0.88,0.418,0.136,0.99,0.141,0.397,0.88,0.418,0.136,0.0,0.002,0.0,0.0,0.0,0.008,0.0,0.056,0.0,0.0,0.0,0.065,4.954,2.749,3.0,5.124,3.0,2.752,4.208,-0.502,0.0,4.208,0.0,-0.495,5.7,6.0,6.0,6.041,6.0,6.0,0.687,0.05,0.372,0.818,0.372,0.05,5.685,0.517,2.382,5.821,2.508,0.487,3.947,0.906,0.981,3.213,0.981,0.907
10,11,1.247,0.11,0.011,0.009,0.299,-0.308,0.009,-0.308,0.299,5.004,-0.369,2.318,5.445,2.318,-0.504,1.0,0.122,0.37,0.916,0.37,0.155,1.0,0.122,0.37,0.916,0.37,0.155,0.0,0.112,0.0,0.0,0.0,0.129,0.0,0.51,0.0,0.0,0.0,0.257,4.954,2.749,3.0,5.124,3.0,2.748,4.208,-0.502,0.0,4.208,0.0,-0.504,5.7,6.0,6.0,6.041,6.0,6.0,0.549,0.056,0.339,0.737,0.339,0.05,5.7,0.291,2.22,5.887,2.22,0.512,3.947,0.906,0.981,3.213,0.981,0.905
11,12,1.359,0.11,0.012,0.001,1.987,-1.989,0.001,-1.989,1.987,4.856,0.032,2.17,5.296,2.17,-0.102,0.98,0.115,0.315,0.904,0.342,0.058,0.98,0.115,0.315,0.904,0.342,0.058,0.0,1.019,0.0,0.0,0.0,0.513,0.0,1.0,0.0,0.0,0.0,1.0,4.954,2.749,3.0,5.124,3.0,2.748,4.208,-0.502,0.0,4.208,0.0,-0.504,5.7,6.0,6.0,6.041,6.0,6.0,0.404,0.079,0.307,0.634,0.307,0.07,5.67,0.246,1.89,5.865,2.052,-0.127,3.947,0.906,0.981,3.213,0.981,0.905
12,13,1.473,0.111,0.01,0.0,5.413,-5.413,0.0,-5.413,5.413,4.706,0.437,2.02,5.146,2.02,0.303,1.059,0.135,0.452,0.831,0.308,0.019,1.0,0.135,0.452,0.831,0.308,0.019,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,4.954,2.749,3.0,5.124,3.0,2.748,4.208,-0.502,0.0,4.208,0.0,-0.504,5.7,6.0,6.0,6.041,6.0,6.0,0.273,0.11,0.277,0.517,0.277,0.099,5.7,0.376,2.712,5.731,1.848,-0.38,3.947,0.906,0.981,3.213,0.981,0.905
