#Recorded data from Servotor32
#datetime: 20-11-2020_22h-26m-31s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-26m-31s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,-1,-100,0,0,5100,-5100,5100,-5100,5100,-5100,2550,1700,2550,1700,2550,1700,990,507,-26,13,506,942
1,1,112,110,19,5100,-5100,5100,-5100,5100,-5100,3210,1260,3210,1260,3210,1260,1041,507,13,-13,494,1010
2,2,227,112,14,5100,-5100,5100,-5100,5100,-5100,3546,1036,3546,1036,3546,1036,1092,480,377,-103,468,808
3,3,340,110,17,5100,-5100,5100,-5100,5100,-5100,3876,816,3876,816,3876,816,867,351,688,-103,582,192
4,4,452,110,19,5098,-5098,5098,-5098,5098,-5098,4204,596,4204,596,4204,596,827,243,805,-26,741,269
5,5,566,111,15,5090,-5090,5090,-5090,5090,-5090,4531,374,4531,374,4531,374,837,162,805,-38,804,250
6,6,680,110,17,5048,-5048,5048,-5048,5048,-5048,4831,154,4778,154,4857,154,878,155,922,13,791,279
7,7,792,110,12,4787,-4787,4787,-4787,4787,-4787,4886,-66,4682,-66,5121,-66,939,135,987,0,861,298
8,8,906,110,12,3045,-3045,3045,-3045,3045,-3045,4666,-286,4463,-286,4901,-286,959,135,896,-38,930,192
9,9,1020,110,10,472,-472,472,-472,472,-472,4446,-494,4243,-350,4681,-252,1051,108,935,0,886,-29
10,10,1132,110,11,-1029,1029,-1029,1029,-1029,1029,4226,-168,4023,-20,4461,-10,980,88,909,-51,886,183
11,11,1245,111,10,-4264,4264,-4264,4264,-4264,4264,4004,165,3801,313,4239,323,1010,68,935,-26,911,144
12,12,1357,110,16,-4971,4971,-4971,4971,-4971,4971,3784,495,3581,643,4019,653,1133,122,1091,-51,861,-125
13,13,1468,110,5,-5080,5080,-5080,5080,-5080,5080,3564,825,3361,973,3799,983,1031,74,922,-51,930,19
14,14,1581,110,14,-5097,5097,-5097,5097,-5097,5097,3344,1155,3141,1303,3579,1313,980,122,844,26,886,38
15,15,1693,110,12,-5100,5100,-5100,5100,-5100,5100,3124,1485,2921,1633,3359,1643,959,149,805,26,766,77
16,16,1808,112,12,-5100,5100,-5100,5100,-5100,5100,2900,1821,2697,1969,3135,1979,939,209,831,64,835,115
17,17,1922,111,18,-5100,5100,-5100,5100,-5100,5100,2678,2154,2475,2302,2913,2312,1010,297,740,192,677,212
18,18,2034,110,13,-5100,5100,-5100,5100,-5100,5100,2458,2484,2255,2632,2693,2642,857,385,701,218,608,337
19,19,2147,111,13,-5100,5100,-5100,5100,-5100,5100,2236,2817,2033,2965,2471,2975,796,514,571,321,500,356
20,20,2260,110,17,-5100,5100,-5100,5100,-5100,5100,2016,3147,1813,3295,2251,3305,765,568,545,462,658,385
21,21,2372,110,10,-5100,5100,-5100,5100,-5100,5100,1796,3477,1593,3625,2031,3635,704,669,468,474,348,510
22,22,2485,111,11,-5100,5100,-5100,5100,-5100,5100,1574,3810,1371,3958,1809,3968,827,723,481,628,506,663
23,23,2597,110,14,-5099,5099,-5099,5099,-5099,5099,1354,4104,1151,4287,1589,4298,643,905,532,628,310,606
24,24,2709,111,5,-5003,5003,-5003,5003,-5003,5003,1132,4396,929,4620,1367,4631,541,892,286,744,222,692
25,25,2822,111,10,-4977,4977,-4977,4977,-4977,4977,910,4445,707,4951,1145,4961,765,980,351,769,127,779
26,26,2934,110,13,-4333,4333,-4333,4333,-4333,4333,690,4242,487,5172,925,5273,439,986,260,808,247,731
27,27,3048,112,11,-3239,3239,-3239,3239,-3239,3239,466,4019,263,4952,701,5052,622,993,273,833,51,827
28,28,3161,110,10,-518,518,-518,518,-518,518,246,3799,44,4732,481,4832,500,1041,182,833,310,846
29,29,3273,110,12,-78,78,-78,78,-78,78,26,3579,-164,4512,281,4612,306,1041,143,923,114,837
30,30,3387,111,10,72,-72,72,-72,72,-72,-196,3357,-322,4290,234,4390,347,1095,130,821,44,788
31,31,3500,110,9,633,-633,633,-633,633,-633,-378,3137,-162,4070,561,4170,265,1000,156,897,-82,837
32,32,3612,110,11,2620,-2620,2620,-2620,2620,-2620,-48,2917,168,3850,891,3950,255,919,39,1000,139,913
33,33,3725,110,11,4718,-4718,4718,-4718,4718,-4718,282,2697,498,3630,1221,3730,173,926,91,949,51,721
34,34,3836,110,15,5041,-5041,5041,-5041,5041,-5041,612,2477,828,3410,1551,3510,92,818,143,846,70,885
35,35,3948,110,13,5091,-5091,5091,-5091,5091,-5091,942,2257,1158,3190,1881,3290,51,804,143,846,51,856
36,36,4061,110,16,5099,-5099,5099,-5099,5099,-5099,1272,2037,1488,2970,2211,3070,41,818,169,795,101,721
37,37,4173,110,12,5100,-5100,5100,-5100,5100,-5100,1602,1817,1818,2750,2541,2850,153,716,169,782,247,769
38,38,4287,111,13,5100,-5100,5100,-5100,5100,-5100,1935,1595,2151,2528,2874,2628,265,703,351,718,241,683
39,39,4400,110,17,5100,-5100,5100,-5100,5100,-5100,2265,1375,2481,2308,3204,2408,245,635,455,692,354,587
40,40,4512,110,11,5100,-5100,5100,-5100,5100,-5100,2595,1155,2811,2088,3534,2188,378,561,468,590,500,654
41,41,4625,110,11,5100,-5100,5100,-5100,5100,-5100,2925,935,3141,1868,3864,1968,531,730,597,397,551,423
42,42,4736,110,14,5100,-5100,5100,-5100,5100,-5100,3255,715,3470,1648,4194,1748,571,541,701,397,658,394
43,43,4849,111,5,5099,-5099,5099,-5099,5099,-5099,3587,493,3799,1426,4526,1526,796,514,870,346,696,356
44,44,4962,111,10,5086,-5086,5086,-5086,5086,-5086,3919,271,4059,1204,4858,1304,806,547,987,282,734,125
45,45,5074,110,13,4900,-4900,4900,-4900,4900,-4900,4207,51,4268,984,5138,1084,908,466,974,308,861,356
46,46,5188,111,12,4510,-4510,4510,-4510,4510,-4510,4336,-171,4411,762,5146,862,908,412,922,282,886,163
47,47,5301,110,18,3144,-3144,3144,-3144,3144,-3144,4116,-391,4191,542,4927,642,929,264,1026,205,892,135
48,48,5413,110,12,486,-486,486,-486,486,-486,3896,-611,3971,344,4707,445,990,338,1052,90,880,77
49,49,5526,110,10,-44,44,-44,44,-44,44,3676,-828,3751,474,4487,771,1122,338,1052,51,810,-115
50,50,5641,111,9,-2376,2376,-2376,2376,-2376,2376,3454,-495,3529,807,4265,1104,980,230,1104,-64,842,-87
51,51,5753,110,11,-4681,4681,-4681,4681,-4681,4681,3234,-165,3309,1137,4045,1434,1041,304,1104,26,804,-173
52,52,5867,111,12,-5039,5039,-5039,5039,-5039,5039,3012,168,3087,1470,3823,1767,1010,236,1169,-192,810,-67
53,53,5982,111,17,-5091,5091,-5091,5091,-5091,5091,2790,501,2865,1803,3601,2100,969,115,961,0,835,48
54,54,6093,110,12,-5099,5099,-5099,5099,-5099,5099,2570,831,2645,2133,3381,2430,898,162,935,13,835,96
55,55,6206,111,11,-5100,5100,-5100,5100,-5100,5100,2348,1164,2423,2466,3159,2763,837,189,818,128,823,173
56,57,6433,110,12,-5100,5100,-5100,5100,-5100,5100,1906,1827,1981,3129,2717,3426,745,304,714,321,722,375
57,58,6546,110,12,-5100,5100,-5100,5100,-5100,5100,1686,2157,1761,3459,2497,3756,704,399,636,397,690,510
58,59,6657,110,15,-5100,5100,-5100,5100,-5100,5100,1466,2487,1541,3789,2277,4086,755,574,675,385,392,462
59,60,6769,110,6,-5100,5100,-5100,5100,-5100,5100,1246,2817,1321,4119,2057,4415,541,608,455,603,380,663
60,61,6881,110,10,-5099,5099,-5099,5099,-5099,5099,1026,3147,1101,4449,1837,4745,561,750,662,641,462,663
61,62,6993,110,11,-5098,5098,-5098,5098,-5098,5098,806,3477,881,4768,1617,5050,429,777,338,821,297,837
62,63,7107,111,11,-5008,5008,-5008,5008,-5008,5008,584,3809,659,5085,1395,5368,367,872,312,821,373,798
63,64,7220,110,13,-5001,5001,-5001,5001,-5001,5001,364,4094,439,5413,1175,5596,418,1014,416,731,247,865
64,65,7332,110,11,-4696,4696,-4696,4696,-4696,4696,144,4383,219,5674,955,5520,255,953,208,782,76,865
65,66,7446,111,11,-3678,3678,-3678,3678,-3678,3678,-78,4175,-3,5453,733,5302,276,993,247,872,266,817
66,67,7557,110,10,-615,615,-615,615,-615,615,-283,3955,-217,5233,513,5082,102,1007,130,846,234,856
67,68,7669,111,6,-35,35,-35,35,-35,35,-481,3733,-430,5011,512,4860,204,1041,234,897,-38,856
68,69,7783,111,9,659,-659,659,-659,659,-659,-175,3511,-318,4789,458,4638,112,1034,208,897,120,875
69,70,7894,110,13,2775,-2775,2775,-2775,2775,-2775,155,3291,12,4569,788,4418,112,993,143,923,127,846
70,71,8006,110,11,4742,-4742,4742,-4742,4742,-4742,485,3071,342,4349,1118,4198,92,993,169,923,82,663
71,72,8120,110,16,5045,-5045,5045,-5045,5045,-5045,815,2851,672,4129,1448,3978,71,973,91,936,63,856
72,73,8232,110,10,5092,-5092,5092,-5092,5092,-5092,1145,2631,1002,3909,1778,3758,51,953,78,923,25,856
73,74,8346,111,11,5099,-5099,5099,-5099,5099,-5099,1478,2409,1335,3687,2111,3536,214,939,143,872,101,798
74,75,8457,110,16,5100,-5100,5100,-5100,5100,-5100,1808,2189,1665,3467,2441,3316,235,892,286,821,152,750
75,76,8569,110,14,5100,-5100,5100,-5100,5100,-5100,2138,1969,1995,3247,2771,3096,357,912,455,718,203,567
76,77,8682,111,18,5100,-5100,5100,-5100,5100,-5100,2471,1747,2328,3025,3104,2874,347,872,494,590,222,615
77,78,8793,110,12,5100,-5100,5100,-5100,5100,-5100,2801,1527,2658,2805,3434,2654,541,811,481,603,462,567
78,79,8907,112,11,5100,-5100,5100,-5100,5100,-5100,3137,1303,2994,2581,3770,2430,714,797,675,449,513,442
79,80,9021,111,15,5100,-5100,5100,-5100,5100,-5100,3470,1081,3327,2359,4103,2208,765,642,766,397,589,269
80,81,9133,110,12,5100,-5100,5100,-5100,5100,-5100,3800,861,3657,2139,4433,1988,878,635,805,372,703,327
81,82,9246,111,11,5096,-5096,5096,-5096,5096,-5096,4129,639,3977,1917,4764,1766,949,574,987,333,728,288
82,83,9361,111,13,5053,-5053,5053,-5053,5053,-5053,4450,417,4309,1695,5087,1544,990,541,857,244,810,135
83,84,9473,110,12,5034,-5034,5034,-5034,5034,-5034,4649,197,4565,1475,5372,1324,1071,466,1052,269,873,183
84,85,9587,112,11,4422,-4422,4422,-4422,4422,-4422,4452,-27,4455,1251,5239,1100,1071,432,1026,244,873,144
85,86,9701,111,11,1249,-1249,1249,-1249,1249,-1249,4230,-249,4233,1029,5017,879,1010,304,1026,128,867,-10
86,87,9813,110,12,192,-192,192,-192,192,-192,4010,-469,4013,815,4797,840,1041,405,1117,64,835,-96
87,88,9926,110,10,-464,464,-464,464,-464,464,3790,-534,3793,627,4577,1004,1020,284,948,128,899,-29
88,89,10037,110,8,-1564,1564,-1564,1564,-1564,1564,3570,-206,3573,956,4357,1334,1061,243,948,-13,867,-135
89,90,10149,110,7,-4547,4547,-4547,4547,-4547,4547,3350,124,3353,1286,4137,1664,969,203,948,51,892,-19
