#Recorded data from Servotor32
#datetime: 20-11-2020_22h-26m-31s
#filename: tripod_x_b_sensors_closed_horizontal_floor_unloaded_20-11-2020_22h-26m-31s.csv
#
#------------------------------------------------------
#Settings:
#
#Identity: 0
#Gait: tripod
#Feedback config: closed
#Sensors: horizontal
#Sensors cut: 0
#
#------------------------------------------------------
#Parameters:
#
#g=1.70
#y_bar=0.40
#a=5.00
#tau_x=0.13
#tau_b=0.20
#Y_max=0.95
#sensor_start=5
#dt=110ms
#direction=1.00
#ics_tau=0.85
#
#------------------------------------------------------
#Recording info:
#
#Ground: floor
#Extra load: unloaded
#Tripod calibration: 0
#Surface: rubber
#Recorded datatype: int
#
#-calibration: for gait specific motor limits due to weight force
#-sensor_start: number of loops when feedback loop closes
#-sensor_start ensures starting stability for closed loop
#-because motors are in stance position at the start
#
#------------------------------------------------------
#Leg numbering:
#
#0: front left
#1: middle left
#2: back left
#3: back right
#4: middle right
#5: front right
#
#------------------------------------------------------
#Recorded variables:
#
#n: step count
#t: total time
#dt: step time
#delay: waiting time for calculation time to reach step time dt
#
#x_i: neural membrane
#b_v_i: neural bias (vertical)
#sensor_i: normalized sensor values
#
#------------------------------------------------------
#Calculated variables from recorded data:
#
#fb_i: membrane feedback unscaled
#y_v_i: neural activation (vertical)
#b_v_avg_i: neural bias average value (vertical)
#b_v_min: minimal neural bias value of current period
#b_v_max: maximal neural bias value of current period
#y_h_i: neural activation (horizontal)
#b_v_sens_h_i: vertical neural bias (via horizontal sensors)
#
#------------------------------------------------------
#File info:
#
##out marks the columns recorded on Servotor32
#Initial conditions in first row at n=-1
#
#------------------------------------------------------
#Data:#
#number,#out0, #out1, #out2, #out3, #out4, #out5, #out6, #out7, #out8, #out9, #out10, #out11, #out12, #out13, #out14, #out15, #out16, #out17, #out18, #out19, #out20, #out21
,n,t,dt,delay,x_0,x_1,x_2,x_3,x_4,x_5,b_v_0,b_v_1,b_v_2,b_v_3,b_v_4,b_v_5,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_cut_0,sensor_cut_1,sensor_cut_2,sensor_cut_3,sensor_cut_4,sensor_cut_5,fb_0,fb_1,fb_2,fb_3,fb_4,fb_5,y_v_0,y_v_1,y_v_2,y_v_3,y_v_4,y_v_5,b_v_avg_0,b_v_avg_1,b_v_avg_2,b_v_avg_3,b_v_avg_4,b_v_avg_5,b_v_min_0,b_v_min_1,b_v_min_2,b_v_min_3,b_v_min_4,b_v_min_5,b_v_max_0,b_v_max_1,b_v_max_2,b_v_max_3,b_v_max_4,b_v_max_5,y_h_0,y_h_1,y_h_2,y_h_3,y_h_4,y_h_5,b_v_sens_h_0,b_v_sens_h_1,b_v_sens_h_2,b_v_sens_h_3,b_v_sens_h_4,b_v_sens_h_5,a_h_0,a_h_1,a_h_2,a_h_3,a_h_4,a_h_5
0,-1,-0.1,0.0,0.0,5.1,-5.1,5.1,-5.1,5.1,-5.1,2.55,1.7,2.55,1.7,2.55,1.7,0.99,0.507,-0.026,0.013,0.506,0.942,0.99,0.507,0.0,0.013,0.506,0.942,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.5,0.273,0.5,0.273,0.5,0.273,2.55,1.7,2.55,1.7,2.55,1.7,1.155,1.155,1.155,1.155,1.155,1.155
1,1,0.112,0.11,0.019,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.21,1.26,3.21,1.26,3.21,1.26,1.041,0.507,0.013,-0.013,0.494,1.01,1.0,0.507,0.013,0.0,0.494,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.55,2.55,2.55,2.55,2.55,2.55,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.682,0.184,0.682,0.184,0.682,0.184,5.1,2.586,0.066,0.0,2.519,5.1,1.155,1.155,1.155,1.155,1.155,1.155
2,2,0.227,0.112,0.014,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.546,1.036,3.546,1.036,3.546,1.036,1.092,0.48,0.377,-0.103,0.468,0.808,1.0,0.48,0.377,0.0,0.468,0.808,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.155,2.55,4.155,2.55,4.155,2.55,3.21,0.0,3.21,0.0,3.21,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.13,0.148,0.13,0.148,0.13,0.148,5.1,2.448,1.923,0.0,2.387,4.121,3.116,1.155,3.116,1.155,3.116,1.155
3,3,0.34,0.11,0.017,5.1,-5.1,5.1,-5.1,5.1,-5.1,3.876,0.816,3.876,0.816,3.876,0.816,0.867,0.351,0.688,-0.103,0.582,0.192,0.867,0.351,0.688,0.0,0.582,0.192,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.155,2.55,4.155,2.55,4.155,2.55,3.21,0.0,3.21,0.0,3.21,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.295,0.119,0.295,0.119,0.295,0.119,4.849,1.79,4.51,0.0,4.31,0.979,3.116,1.155,3.116,1.155,3.116,1.155
4,4,0.452,0.11,0.019,5.098,-5.098,5.098,-5.098,5.098,-5.098,4.204,0.596,4.204,0.596,4.204,0.596,0.827,0.243,0.805,-0.026,0.741,0.269,0.827,0.243,0.805,0.0,0.741,0.269,2.999,0.0,2.999,0.0,2.999,0.0,0.998,0.0,0.998,0.0,0.998,0.0,4.155,2.55,4.155,2.55,4.155,2.55,3.21,0.0,3.21,0.0,3.21,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.538,0.095,0.538,0.095,0.538,0.095,4.773,1.239,4.731,0.0,4.61,1.372,3.116,1.155,3.116,1.155,3.116,1.155
5,5,0.566,0.111,0.015,5.09,-5.09,5.09,-5.09,5.09,-5.09,4.531,0.374,4.531,0.374,4.531,0.374,0.837,0.162,0.805,-0.038,0.804,0.25,0.837,0.162,0.805,0.0,0.804,0.25,2.993,0.0,2.993,0.0,2.993,0.0,0.988,0.0,0.988,0.0,0.988,0.0,4.155,2.55,4.155,2.55,4.155,2.55,3.21,0.0,3.21,0.0,3.21,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.763,0.075,0.763,0.075,0.763,0.075,4.792,0.826,4.731,0.0,4.73,1.275,3.116,1.155,3.116,1.155,3.116,1.155
6,6,0.68,0.11,0.017,5.048,-5.048,5.048,-5.048,5.048,-5.048,4.831,0.154,4.778,0.154,4.857,0.154,0.878,0.155,0.922,0.013,0.791,0.279,0.878,0.155,0.922,0.013,0.791,0.279,2.965,0.0,2.965,0.0,2.965,0.0,0.709,0.0,0.617,0.0,0.847,0.0,4.155,2.55,4.155,2.55,4.155,2.55,3.21,0.0,3.21,0.0,3.21,0.0,5.1,5.1,5.1,5.1,5.1,5.1,0.892,0.059,0.874,0.059,0.899,0.059,4.869,0.79,4.953,0.066,4.705,1.423,3.116,1.155,3.116,1.155,3.116,1.155
7,7,0.792,0.11,0.012,4.787,-4.787,4.787,-4.787,4.787,-4.787,4.886,-0.066,4.682,-0.066,5.121,-0.066,0.939,0.135,0.987,0.0,0.861,0.298,0.939,0.135,0.987,0.0,0.861,0.298,2.128,0.0,1.851,0.0,2.542,0.0,0.271,0.0,0.191,0.0,0.437,0.0,4.155,2.517,3.994,2.517,4.166,2.517,3.21,-0.066,3.21,-0.066,3.21,-0.066,5.1,5.1,4.778,5.1,5.121,5.1,0.907,0.05,0.93,0.05,0.95,0.05,4.985,0.689,5.075,0.0,4.837,1.52,3.116,1.14,3.756,1.14,3.082,1.14
8,8,0.906,0.11,0.012,3.045,-3.045,3.045,-3.045,3.045,-3.045,4.666,-0.286,4.463,-0.286,4.901,-0.286,0.959,0.135,0.896,-0.038,0.93,0.192,0.959,0.135,0.896,0.0,0.93,0.192,0.814,0.0,0.574,0.0,1.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.048,2.407,3.994,2.407,4.166,2.407,3.21,-0.286,3.21,-0.286,3.21,-0.286,4.886,5.1,4.778,5.1,5.121,5.1,0.898,0.05,0.853,0.05,0.906,0.05,5.023,0.631,4.615,-0.066,4.987,0.926,3.514,1.093,3.756,1.093,3.082,1.093
9,9,1.02,0.11,0.01,0.472,-0.472,0.472,-0.472,0.472,-0.472,4.446,-0.494,4.243,-0.35,4.681,-0.252,1.051,0.108,0.935,0.0,0.886,-0.029,1.0,0.108,0.935,0.0,0.886,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.021,0.0,0.283,0.0,0.283,4.048,2.303,3.994,2.375,4.166,2.407,3.21,-0.494,3.21,-0.35,3.21,-0.286,4.886,5.1,4.778,5.1,5.121,5.1,0.802,0.05,0.718,0.05,0.83,0.052,4.886,0.296,4.676,-0.286,4.903,-0.286,3.514,1.053,3.756,1.081,3.082,1.093
